,D1,D2,D3,D4,D5,D6,D7
0H-1H,--,soins4,soins4,soins4,soins4,soins4,soins4
1H-2H,--,--,--,--,--,--,--
2H-3H,--,--,--,--,--,--,--
3H-4H,--,--,--,--,--,--,--
4H-5H,--,--,--,--,--,--,--
5H-6H,soins1,soins1,soins1,soins1,soins1,soins1,--
6H-7H,soins1,soins1,soins1,soins1,soins1,soins1,--
7H-8H,soins1,soins1,soins1,soins1,soins1,soins1,--
8H-9H,soins1,soins1,soins1,soins1,soins1,soins1,--
9H-10H,soins1,soins1,soins1,soins1,soins1,soins1,--
10H-11H,soins2,soins2,soins2,soins2,soins2,soins2,--
11H-12H,soins2,soins2,soins2,soins2,soins2,soins2,--
12H-13H,soins2,soins2,soins2,soins2,soins2,soins2,--
13H-14H,soins2,soins2,soins2,soins2,soins2,soins2,--
14H-15H,soins2,soins2,soins2,soins2,soins2,soins2,--
15H-16H,soins3,soins3,soins3,soins3,soins3,soins3,--
16H-17H,soins3,soins3,soins3,soins3,soins3,soins3,--
17H-18H,soins3,soins3,soins3,soins3,soins3,soins3,--
18H-19H,soins3,soins3,soins3,soins3,soins3,soins3,--
19H-20H,soins3,soins3,soins3,soins3,soins3,soins3,--
20H-21H,soins4,soins4,soins4,soins4,soins4,soins4,--
21H-22H,soins4,soins4,soins4,soins4,soins4,soins4,--
22H-23H,soins4,soins4,soins4,soins4,soins4,soins4,--
23H-24H,soins4,soins4,soins4,soins4,soins4,soins4,--
