2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo001) create task: ([128, 137.0], 0) for (mo001, 0, Comp2)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo001) create task: ([137.0, 145.0], 0) for (mo001, 1, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo001) create task: ([145.0, 146.0], 0) for (mo001, 2, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo001) create task: ([146.0, 155.0], 0) for (mo001, 3, Comp2)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo001) create task: ([155.0, 156.0], 0) for (mo001, 4, Comp3)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo001) create task: ([156.0, 163.0], 0) for (mo001, 5, Comp2)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo002) create task: ([358, 365.0], 0) for (mo002, 0, Comp3)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo002) create task: ([365.0, 367.0], 0) for (mo002, 1, Comp3)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo002) create task: ([367.0, 372.0], 0) for (mo002, 2, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo002) create task: ([372.0, 376.0], 0) for (mo002, 3, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo002) create task: ([376.0, 379.0], 0) for (mo002, 4, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo002) create task: ([379.0, 381.0], 0) for (mo002, 5, Comp2)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo002) create task: ([381.0, 390.0], 0) for (mo002, 6, Comp3)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([239, 245.0], 0) for (mo003, 0, Comp3)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([245.0, 247.0], 0) for (mo003, 1, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([247.0, 255.0], 0) for (mo003, 2, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([255.0, 260.0], 0) for (mo003, 3, Comp2)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([260.0, 262.0], 0) for (mo003, 4, Comp3)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([262.0, 269.0], 0) for (mo003, 5, Comp2)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([269.0, 277.0], 0) for (mo003, 6, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([277.0, 279.0], 0) for (mo003, 7, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo003) create task: ([279.0, 288.0], 0) for (mo003, 8, Comp2)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo004) create task: ([160, 162.0], 0) for (mo004, 0, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo004) create task: ([162.0, 167.0], 0) for (mo004, 1, Comp2)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo004) create task: ([167.0, 169.0], 0) for (mo004, 2, Comp1)
2024-12-29 06:14:29,308 - INFO - at 0:: CustomerAgent(mo004) create task: ([169.0, 175.0], 0) for (mo004, 3, Comp2)
