2024-12-29 06:10:30,662 - INFO - at 0:: CustomerAgent(mo001) create task: ([76, 81.0], 0) for (mo001, 0, Comp2)
2024-12-29 06:10:30,662 - INFO - at 0:: CustomerAgent(mo001) create task: ([81.0, 86.0], 0) for (mo001, 1, Comp3)
2024-12-29 06:10:30,663 - INFO - at 0:: CustomerAgent(mo001) create task: ([86.0, 90.0], 0) for (mo001, 2, Comp3)
2024-12-29 06:10:30,663 - INFO - at 0:: CustomerAgent(mo001) create task: ([90.0, 94.0], 0) for (mo001, 3, Comp2)
2024-12-29 06:10:30,663 - INFO - at 0:: CustomerAgent(mo001) create task: ([94.0, 95.0], 0) for (mo001, 4, Comp3)
2024-12-29 06:10:30,664 - INFO - at 0:: CustomerAgent(mo001) create task: ([95.0, 102.0], 0) for (mo001, 5, Comp3)
2024-12-29 06:10:30,664 - INFO - at 0:: CustomerAgent(mo001) create task: ([102.0, 106.0], 0) for (mo001, 6, Comp1)
2024-12-29 06:10:30,665 - INFO - at 0:: CustomerAgent(mo001) create task: ([106.0, 111.0], 0) for (mo001, 7, Comp1)
2024-12-29 06:10:30,666 - INFO - at 0:: CustomerAgent(mo001) create task: ([111.0, 112.0], 0) for (mo001, 8, Comp2)
2024-12-29 06:10:30,667 - INFO - at 0:: CustomerAgent(mo002) create task: ([444, 453.0], 0) for (mo002, 0, Comp1)
2024-12-29 06:10:30,667 - INFO - at 0:: CustomerAgent(mo002) create task: ([453.0, 455.0], 0) for (mo002, 1, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo002) create task: ([455.0, 457.0], 0) for (mo002, 2, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo002) create task: ([457.0, 460.0], 0) for (mo002, 3, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo002) create task: ([460.0, 462.0], 0) for (mo002, 4, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo003) create task: ([302, 308.0], 0) for (mo003, 0, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo003) create task: ([308.0, 313.0], 0) for (mo003, 1, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo003) create task: ([313.0, 320.0], 0) for (mo003, 2, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo003) create task: ([320.0, 327.0], 0) for (mo003, 3, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo003) create task: ([327.0, 336.0], 0) for (mo003, 4, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo003) create task: ([336.0, 337.0], 0) for (mo003, 5, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo003) create task: ([337.0, 342.0], 0) for (mo003, 6, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo003) create task: ([342.0, 348.0], 0) for (mo003, 7, Comp2)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo004) create task: ([234, 235.0], 0) for (mo004, 0, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo004) create task: ([235.0, 239.0], 0) for (mo004, 1, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo004) create task: ([239.0, 240.0], 0) for (mo004, 2, Comp2)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo004) create task: ([240.0, 248.0], 0) for (mo004, 3, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo004) create task: ([248.0, 251.0], 0) for (mo004, 4, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo004) create task: ([251.0, 257.0], 0) for (mo004, 5, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo004) create task: ([257.0, 265.0], 0) for (mo004, 6, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo005) create task: ([191, 194.0], 0) for (mo005, 0, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo005) create task: ([194.0, 203.0], 0) for (mo005, 1, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo005) create task: ([203.0, 210.0], 0) for (mo005, 2, Comp2)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo005) create task: ([210.0, 219.0], 0) for (mo005, 3, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo005) create task: ([219.0, 221.0], 0) for (mo005, 4, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo005) create task: ([221.0, 222.0], 0) for (mo005, 5, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo005) create task: ([222.0, 226.0], 0) for (mo005, 6, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo006) create task: ([296, 298.0], 0) for (mo006, 0, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo006) create task: ([298.0, 307.0], 0) for (mo006, 1, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo006) create task: ([307.0, 308.0], 0) for (mo006, 2, Comp2)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo006) create task: ([308.0, 311.0], 0) for (mo006, 3, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo006) create task: ([311.0, 318.0], 0) for (mo006, 4, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo007) create task: ([56, 64.0], 0) for (mo007, 0, Comp2)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo007) create task: ([64.0, 65.0], 0) for (mo007, 1, Comp2)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo007) create task: ([65.0, 74.0], 0) for (mo007, 2, Comp2)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo007) create task: ([74.0, 82.0], 0) for (mo007, 3, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo007) create task: ([82.0, 87.0], 0) for (mo007, 4, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo008) create task: ([264, 266.0], 0) for (mo008, 0, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo008) create task: ([266.0, 267.0], 0) for (mo008, 1, Comp2)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo008) create task: ([267.0, 269.0], 0) for (mo008, 2, Comp3)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo008) create task: ([269.0, 270.0], 0) for (mo008, 3, Comp1)
2024-12-29 06:10:30,668 - INFO - at 0:: CustomerAgent(mo008) create task: ([270.0, 274.0], 0) for (mo008, 4, Comp2)
2024-12-29 06:10:30,682 - INFO - at 0:: CustomerAgent(mo009) create task: ([21, 29.0], 0) for (mo009, 0, Comp3)
2024-12-29 06:10:30,682 - INFO - at 0:: CustomerAgent(mo009) create task: ([29.0, 37.0], 0) for (mo009, 1, Comp1)
2024-12-29 06:10:30,683 - INFO - at 0:: CustomerAgent(mo009) create task: ([37.0, 43.0], 0) for (mo009, 2, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo009) create task: ([43.0, 48.0], 0) for (mo009, 3, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo009) create task: ([48.0, 51.0], 0) for (mo009, 4, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo009) create task: ([51.0, 60.0], 0) for (mo009, 5, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo010) create task: ([400, 401.0], 0) for (mo010, 0, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo010) create task: ([401.0, 402.0], 0) for (mo010, 1, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo010) create task: ([402.0, 405.0], 0) for (mo010, 2, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo010) create task: ([405.0, 407.0], 0) for (mo010, 3, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo010) create task: ([407.0, 416.0], 0) for (mo010, 4, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo011) create task: ([468, 475.0], 0) for (mo011, 0, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo011) create task: ([475.0, 478.0], 0) for (mo011, 1, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo011) create task: ([478.0, 486.0], 0) for (mo011, 2, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo011) create task: ([486.0, 492.0], 0) for (mo011, 3, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo011) create task: ([492.0, 501.0], 0) for (mo011, 4, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([320, 325.0], 0) for (mo012, 0, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([325.0, 330.0], 0) for (mo012, 1, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([330.0, 339.0], 0) for (mo012, 2, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([339.0, 340.0], 0) for (mo012, 3, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([340.0, 345.0], 0) for (mo012, 4, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([345.0, 352.0], 0) for (mo012, 5, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([352.0, 360.0], 0) for (mo012, 6, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([360.0, 361.0], 0) for (mo012, 7, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo012) create task: ([361.0, 369.0], 0) for (mo012, 8, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo013) create task: ([484, 490.0], 0) for (mo013, 0, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo013) create task: ([490.0, 494.0], 0) for (mo013, 1, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo013) create task: ([494.0, 499.0], 0) for (mo013, 2, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo013) create task: ([499.0, 501.0], 0) for (mo013, 3, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo013) create task: ([501.0, 510.0], 0) for (mo013, 4, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo014) create task: ([7, 8.0], 0) for (mo014, 0, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo014) create task: ([8.0, 16.0], 0) for (mo014, 1, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo014) create task: ([16.0, 18.0], 0) for (mo014, 2, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo014) create task: ([18.0, 21.0], 0) for (mo014, 3, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo014) create task: ([21.0, 30.0], 0) for (mo014, 4, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo014) create task: ([30.0, 37.0], 0) for (mo014, 5, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo015) create task: ([181, 190.0], 0) for (mo015, 0, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo015) create task: ([190.0, 191.0], 0) for (mo015, 1, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo015) create task: ([191.0, 200.0], 0) for (mo015, 2, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo015) create task: ([200.0, 206.0], 0) for (mo015, 3, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo015) create task: ([206.0, 209.0], 0) for (mo015, 4, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo015) create task: ([209.0, 213.0], 0) for (mo015, 5, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo015) create task: ([213.0, 218.0], 0) for (mo015, 6, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo016) create task: ([319, 328.0], 0) for (mo016, 0, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo016) create task: ([328.0, 334.0], 0) for (mo016, 1, Comp2)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo016) create task: ([334.0, 343.0], 0) for (mo016, 2, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo016) create task: ([343.0, 352.0], 0) for (mo016, 3, Comp1)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo016) create task: ([352.0, 357.0], 0) for (mo016, 4, Comp3)
2024-12-29 06:10:30,684 - INFO - at 0:: CustomerAgent(mo016) create task: ([357.0, 360.0], 0) for (mo016, 5, Comp2)
2024-12-29 06:10:30,698 - INFO - at 0:: CustomerAgent(mo017) create task: ([55, 60.0], 0) for (mo017, 0, Comp2)
2024-12-29 06:10:30,698 - INFO - at 0:: CustomerAgent(mo017) create task: ([60.0, 68.0], 0) for (mo017, 1, Comp1)
2024-12-29 06:10:30,699 - INFO - at 0:: CustomerAgent(mo017) create task: ([68.0, 77.0], 0) for (mo017, 2, Comp3)
2024-12-29 06:10:30,699 - INFO - at 0:: CustomerAgent(mo017) create task: ([77.0, 78.0], 0) for (mo017, 3, Comp2)
2024-12-29 06:10:30,700 - INFO - at 0:: CustomerAgent(mo017) create task: ([78.0, 81.0], 0) for (mo017, 4, Comp1)
2024-12-29 06:10:30,700 - INFO - at 0:: CustomerAgent(mo018) create task: ([412, 420.0], 0) for (mo018, 0, Comp1)
2024-12-29 06:10:30,700 - INFO - at 0:: CustomerAgent(mo018) create task: ([420.0, 429.0], 0) for (mo018, 1, Comp3)
2024-12-29 06:10:30,700 - INFO - at 0:: CustomerAgent(mo018) create task: ([429.0, 430.0], 0) for (mo018, 2, Comp2)
2024-12-29 06:10:30,701 - INFO - at 0:: CustomerAgent(mo018) create task: ([430.0, 432.0], 0) for (mo018, 3, Comp3)
2024-12-29 06:10:30,701 - INFO - at 0:: CustomerAgent(mo018) create task: ([432.0, 439.0], 0) for (mo018, 4, Comp3)
2024-12-29 06:10:30,701 - INFO - at 0:: CustomerAgent(mo018) create task: ([439.0, 444.0], 0) for (mo018, 5, Comp2)
2024-12-29 06:10:30,702 - INFO - at 0:: CustomerAgent(mo019) create task: ([315, 324.0], 0) for (mo019, 0, Comp2)
2024-12-29 06:10:30,702 - INFO - at 0:: CustomerAgent(mo019) create task: ([324.0, 329.0], 0) for (mo019, 1, Comp2)
2024-12-29 06:10:30,702 - INFO - at 0:: CustomerAgent(mo019) create task: ([329.0, 335.0], 0) for (mo019, 2, Comp3)
2024-12-29 06:10:30,702 - INFO - at 0:: CustomerAgent(mo019) create task: ([335.0, 340.0], 0) for (mo019, 3, Comp2)
2024-12-29 06:10:30,703 - INFO - at 0:: CustomerAgent(mo019) create task: ([340.0, 342.0], 0) for (mo019, 4, Comp2)
2024-12-29 06:10:30,703 - INFO - at 0:: CustomerAgent(mo020) create task: ([513, 515.0], 0) for (mo020, 0, Comp2)
2024-12-29 06:10:30,703 - INFO - at 0:: CustomerAgent(mo020) create task: ([515.0, 519.0], 0) for (mo020, 1, Comp1)
2024-12-29 06:10:30,704 - INFO - at 0:: CustomerAgent(mo020) create task: ([519.0, 527.0], 0) for (mo020, 2, Comp2)
2024-12-29 06:10:30,704 - INFO - at 0:: CustomerAgent(mo020) create task: ([527.0, 536.0], 0) for (mo020, 3, Comp3)
2024-12-29 06:10:30,704 - INFO - at 0:: CustomerAgent(mo020) create task: ([536.0, 541.0], 0) for (mo020, 4, Comp2)
2024-12-29 06:10:30,704 - INFO - at 0:: CustomerAgent(mo020) create task: ([541.0, 549.0], 0) for (mo020, 5, Comp1)
2024-12-29 06:10:30,726 - INFO - at 0:: ProducerAgent(ma1) plan ([76, 81.0], ma1) for (mo001, 0, Comp2)
2024-12-29 06:10:30,728 - INFO - at 0:: ProducerAgent(ma1) plan ([90.0, 94.0], ma1) for (mo001, 3, Comp2)
2024-12-29 06:10:30,733 - INFO - at 0:: ProducerAgent(ma1) plan ([102.0, 108.0], ma1) for (mo001, 6, Comp1)
2024-12-29 06:10:30,733 - INFO - at 0:: ProducerAgent(ma1) plan ([108.0, 115.5], ma1) for (mo001, 7, Comp1)
2024-12-29 06:10:30,733 - INFO - at 0:: ProducerAgent(ma1) plan ([115.5, 116.5], ma1) for (mo001, 8, Comp2)
2024-12-29 06:10:30,733 - INFO - at 0:: ProducerAgent(ma1) plan ([444, 457.5], ma1) for (mo002, 0, Comp1)
2024-12-29 06:10:30,739 - INFO - at 0:: ProducerAgent(ma1) plan ([457.5, 462.0], ma1) for (mo002, 3, Comp1)
2024-12-29 06:10:30,739 - INFO - at 0:: ProducerAgent(ma1) plan ([462.0, 471.0], ma1) for (mo003, 0, Comp1)
2024-12-29 06:10:30,739 - INFO - at 0:: ProducerAgent(ma1) plan ([471.0, 481.5], ma1) for (mo003, 2, Comp1)
2024-12-29 06:10:30,739 - INFO - at 0:: ProducerAgent(ma1) plan ([481.5, 492.0], ma1) for (mo003, 3, Comp1)
2024-12-29 06:10:30,743 - INFO - at 0:: ProducerAgent(ma1) plan ([492.0, 493.5], ma1) for (mo003, 5, Comp1)
2024-12-29 06:10:30,744 - INFO - at 0:: ProducerAgent(ma1) plan ([493.5, 501.0], ma1) for (mo003, 6, Comp1)
2024-12-29 06:10:30,745 - INFO - at 0:: ProducerAgent(ma1) plan ([501.0, 507.0], ma1) for (mo003, 7, Comp2)
2024-12-29 06:10:30,746 - INFO - at 0:: ProducerAgent(ma1) plan ([507.0, 508.5], ma1) for (mo004, 0, Comp1)
2024-12-29 06:10:30,747 - INFO - at 0:: ProducerAgent(ma1) plan ([508.5, 509.5], ma1) for (mo004, 2, Comp2)
2024-12-29 06:10:30,755 - INFO - at 0:: ProducerAgent(ma1) create task: ([509.5, 514.5], 0) for (ma1, 0, R1) with duration 101.0
2024-12-29 06:10:30,760 - INFO - at 0:: ProducerAgent(ma1) create task: ([514.5, 519.5], 0) for (ma1, 1, R1) with duration 101.0
2024-12-29 06:10:30,771 - INFO - at 0:: ProducerAgent(ma2) plan ([81.0, 88.5], ma2) for (mo001, 1, Comp3)
2024-12-29 06:10:30,772 - INFO - at 0:: ProducerAgent(ma2) plan ([88.5, 94.5], ma2) for (mo001, 2, Comp3)
2024-12-29 06:10:30,773 - INFO - at 0:: ProducerAgent(ma2) plan ([94.5, 96.0], ma2) for (mo001, 4, Comp3)
2024-12-29 06:10:30,774 - INFO - at 0:: ProducerAgent(ma2) plan ([96.0, 106.5], ma2) for (mo001, 5, Comp3)
2024-12-29 06:10:30,775 - INFO - at 0:: ProducerAgent(ma2) plan ([453.0, 456.0], ma2) for (mo002, 1, Comp3)
2024-12-29 06:10:30,776 - INFO - at 0:: ProducerAgent(ma2) plan ([456.0, 459.0], ma2) for (mo002, 2, Comp3)
2024-12-29 06:10:30,776 - INFO - at 0:: ProducerAgent(ma2) plan ([460.0, 463.0], ma2) for (mo002, 4, Comp3)
2024-12-29 06:10:30,776 - INFO - at 0:: ProducerAgent(ma2) plan ([463.0, 470.5], ma2) for (mo003, 1, Comp3)
2024-12-29 06:10:30,776 - INFO - at 0:: ProducerAgent(ma2) plan ([470.5, 484.0], ma2) for (mo003, 4, Comp3)
2024-12-29 06:10:30,776 - INFO - at 0:: ProducerAgent(ma2) plan ([484.0, 490.0], ma2) for (mo004, 1, Comp3)
2024-12-29 06:10:30,782 - INFO - at 0:: ProducerAgent(ma2) plan ([490.0, 494.5], ma2) for (mo004, 4, Comp3)
2024-12-29 06:10:30,783 - INFO - at 0:: ProducerAgent(ma2) plan ([494.5, 503.5], ma2) for (mo004, 5, Comp3)
2024-12-29 06:10:30,783 - INFO - at 0:: ProducerAgent(ma2) plan ([503.5, 508.0], ma2) for (mo005, 0, Comp3)
2024-12-29 06:10:30,783 - INFO - at 0:: ProducerAgent(ma2) plan ([508.0, 509.5], ma2) for (mo005, 5, Comp3)
