2024-12-29 06:10:50,919 - INFO - at 0:: CustomerAgent(mo001) create task: ([213, 220.0], 0) for (mo001, 0, Comp2)
2024-12-29 06:10:50,919 - INFO - at 0:: CustomerAgent(mo001) create task: ([220.0, 223.0], 0) for (mo001, 1, Comp3)
2024-12-29 06:10:50,919 - INFO - at 0:: CustomerAgent(mo001) create task: ([223.0, 228.0], 0) for (mo001, 2, Comp2)
2024-12-29 06:10:50,920 - INFO - at 0:: CustomerAgent(mo001) create task: ([228.0, 229.0], 0) for (mo001, 3, Comp1)
2024-12-29 06:10:50,920 - INFO - at 0:: CustomerAgent(mo001) create task: ([229.0, 230.0], 0) for (mo001, 4, Comp3)
2024-12-29 06:10:50,920 - INFO - at 0:: CustomerAgent(mo001) create task: ([230.0, 238.0], 0) for (mo001, 5, Comp2)
2024-12-29 06:10:50,921 - INFO - at 0:: CustomerAgent(mo001) create task: ([238.0, 242.0], 0) for (mo001, 6, Comp3)
2024-12-29 06:10:50,921 - INFO - at 0:: CustomerAgent(mo001) create task: ([242.0, 251.0], 0) for (mo001, 7, Comp2)
2024-12-29 06:10:50,921 - INFO - at 0:: CustomerAgent(mo002) create task: ([17, 21.0], 0) for (mo002, 0, Comp1)
2024-12-29 06:10:50,922 - INFO - at 0:: CustomerAgent(mo002) create task: ([21.0, 30.0], 0) for (mo002, 1, Comp1)
2024-12-29 06:10:50,922 - INFO - at 0:: CustomerAgent(mo002) create task: ([30.0, 38.0], 0) for (mo002, 2, Comp1)
2024-12-29 06:10:50,923 - INFO - at 0:: CustomerAgent(mo002) create task: ([38.0, 44.0], 0) for (mo002, 3, Comp1)
2024-12-29 06:10:50,924 - INFO - at 0:: CustomerAgent(mo002) create task: ([44.0, 52.0], 0) for (mo002, 4, Comp2)
2024-12-29 06:10:50,925 - INFO - at 0:: CustomerAgent(mo002) create task: ([52.0, 58.0], 0) for (mo002, 5, Comp3)
2024-12-29 06:10:50,926 - INFO - at 0:: CustomerAgent(mo002) create task: ([58.0, 59.0], 0) for (mo002, 6, Comp3)
2024-12-29 06:10:50,926 - INFO - at 0:: CustomerAgent(mo003) create task: ([94, 100.0], 0) for (mo003, 0, Comp1)
2024-12-29 06:10:50,926 - INFO - at 0:: CustomerAgent(mo003) create task: ([100.0, 105.0], 0) for (mo003, 1, Comp2)
2024-12-29 06:10:50,927 - INFO - at 0:: CustomerAgent(mo003) create task: ([105.0, 111.0], 0) for (mo003, 2, Comp1)
2024-12-29 06:10:50,927 - INFO - at 0:: CustomerAgent(mo003) create task: ([111.0, 119.0], 0) for (mo003, 3, Comp3)
2024-12-29 06:10:50,928 - INFO - at 0:: CustomerAgent(mo003) create task: ([119.0, 124.0], 0) for (mo003, 4, Comp3)
2024-12-29 06:10:50,928 - INFO - at 0:: CustomerAgent(mo003) create task: ([124.0, 131.0], 0) for (mo003, 5, Comp1)
2024-12-29 06:10:50,928 - INFO - at 0:: CustomerAgent(mo003) create task: ([131.0, 135.0], 0) for (mo003, 6, Comp3)
2024-12-29 06:10:50,929 - INFO - at 0:: CustomerAgent(mo003) create task: ([135.0, 144.0], 0) for (mo003, 7, Comp2)
2024-12-29 06:10:50,929 - INFO - at 0:: CustomerAgent(mo004) create task: ([269, 276.0], 0) for (mo004, 0, Comp1)
2024-12-29 06:10:50,929 - INFO - at 0:: CustomerAgent(mo004) create task: ([276.0, 285.0], 0) for (mo004, 1, Comp3)
2024-12-29 06:10:50,930 - INFO - at 0:: CustomerAgent(mo004) create task: ([285.0, 287.0], 0) for (mo004, 2, Comp1)
2024-12-29 06:10:50,931 - INFO - at 0:: CustomerAgent(mo004) create task: ([287.0, 296.0], 0) for (mo004, 3, Comp2)
2024-12-29 06:10:50,931 - INFO - at 0:: CustomerAgent(mo004) create task: ([296.0, 303.0], 0) for (mo004, 4, Comp2)
2024-12-29 06:10:50,934 - INFO - at 0:: CustomerAgent(mo005) create task: ([211, 212.0], 0) for (mo005, 0, Comp2)
2024-12-29 06:10:50,934 - INFO - at 0:: CustomerAgent(mo005) create task: ([212.0, 221.0], 0) for (mo005, 1, Comp1)
2024-12-29 06:10:50,935 - INFO - at 0:: CustomerAgent(mo005) create task: ([221.0, 222.0], 0) for (mo005, 2, Comp3)
2024-12-29 06:10:50,935 - INFO - at 0:: CustomerAgent(mo005) create task: ([222.0, 224.0], 0) for (mo005, 3, Comp1)
2024-12-29 06:10:50,936 - INFO - at 0:: CustomerAgent(mo005) create task: ([224.0, 226.0], 0) for (mo005, 4, Comp1)
2024-12-29 06:10:50,936 - INFO - at 0:: CustomerAgent(mo005) create task: ([226.0, 233.0], 0) for (mo005, 5, Comp1)
2024-12-29 06:10:50,936 - INFO - at 0:: CustomerAgent(mo005) create task: ([233.0, 239.0], 0) for (mo005, 6, Comp3)
2024-12-29 06:10:50,937 - INFO - at 0:: CustomerAgent(mo006) create task: ([313, 318.0], 0) for (mo006, 0, Comp2)
2024-12-29 06:10:50,937 - INFO - at 0:: CustomerAgent(mo006) create task: ([318.0, 320.0], 0) for (mo006, 1, Comp3)
2024-12-29 06:10:50,938 - INFO - at 0:: CustomerAgent(mo006) create task: ([320.0, 323.0], 0) for (mo006, 2, Comp2)
2024-12-29 06:10:50,938 - INFO - at 0:: CustomerAgent(mo006) create task: ([323.0, 328.0], 0) for (mo006, 3, Comp2)
2024-12-29 06:10:50,938 - INFO - at 0:: CustomerAgent(mo006) create task: ([328.0, 330.0], 0) for (mo006, 4, Comp1)
2024-12-29 06:10:50,940 - INFO - at 0:: CustomerAgent(mo006) create task: ([330.0, 335.0], 0) for (mo006, 5, Comp1)
2024-12-29 06:10:50,942 - INFO - at 0:: CustomerAgent(mo006) create task: ([335.0, 336.0], 0) for (mo006, 6, Comp1)
2024-12-29 06:10:50,943 - INFO - at 0:: CustomerAgent(mo007) create task: ([96, 101.0], 0) for (mo007, 0, Comp3)
2024-12-29 06:10:50,943 - INFO - at 0:: CustomerAgent(mo007) create task: ([101.0, 102.0], 0) for (mo007, 1, Comp1)
2024-12-29 06:10:50,944 - INFO - at 0:: CustomerAgent(mo007) create task: ([102.0, 108.0], 0) for (mo007, 2, Comp1)
2024-12-29 06:10:50,944 - INFO - at 0:: CustomerAgent(mo007) create task: ([108.0, 110.0], 0) for (mo007, 3, Comp2)
2024-12-29 06:10:50,944 - INFO - at 0:: CustomerAgent(mo007) create task: ([110.0, 112.0], 0) for (mo007, 4, Comp2)
2024-12-29 06:10:50,945 - INFO - at 0:: CustomerAgent(mo007) create task: ([112.0, 120.0], 0) for (mo007, 5, Comp3)
2024-12-29 06:10:50,945 - INFO - at 0:: CustomerAgent(mo007) create task: ([120.0, 127.0], 0) for (mo007, 6, Comp2)
2024-12-29 06:10:50,945 - INFO - at 0:: CustomerAgent(mo007) create task: ([127.0, 130.0], 0) for (mo007, 7, Comp2)
2024-12-29 06:10:50,946 - INFO - at 0:: CustomerAgent(mo008) create task: ([242, 249.0], 0) for (mo008, 0, Comp2)
2024-12-29 06:10:50,946 - INFO - at 0:: CustomerAgent(mo008) create task: ([249.0, 252.0], 0) for (mo008, 1, Comp1)
2024-12-29 06:10:50,947 - INFO - at 0:: CustomerAgent(mo008) create task: ([252.0, 261.0], 0) for (mo008, 2, Comp3)
2024-12-29 06:10:50,947 - INFO - at 0:: CustomerAgent(mo008) create task: ([261.0, 266.0], 0) for (mo008, 3, Comp1)
2024-12-29 06:10:50,947 - INFO - at 0:: CustomerAgent(mo008) create task: ([266.0, 270.0], 0) for (mo008, 4, Comp2)
2024-12-29 06:10:50,948 - INFO - at 0:: CustomerAgent(mo008) create task: ([270.0, 271.0], 0) for (mo008, 5, Comp3)
2024-12-29 06:10:50,948 - INFO - at 0:: CustomerAgent(mo008) create task: ([271.0, 277.0], 0) for (mo008, 6, Comp1)
2024-12-29 06:10:50,948 - INFO - at 0:: CustomerAgent(mo008) create task: ([277.0, 284.0], 0) for (mo008, 7, Comp2)
2024-12-29 06:10:50,949 - INFO - at 0:: CustomerAgent(mo009) create task: ([342, 350.0], 0) for (mo009, 0, Comp1)
