2024-12-29 06:10:17,900 - INFO - at 0:: CustomerAgent(mo001) create task: ([401, 407.0], 0) for (mo001, 0, Comp2)
2024-12-29 06:10:17,901 - INFO - at 0:: CustomerAgent(mo001) create task: ([407.0, 408.0], 0) for (mo001, 1, Comp3)
2024-12-29 06:10:17,901 - INFO - at 0:: CustomerAgent(mo001) create task: ([408.0, 415.0], 0) for (mo001, 2, Comp3)
2024-12-29 06:10:17,902 - INFO - at 0:: CustomerAgent(mo001) create task: ([415.0, 417.0], 0) for (mo001, 3, Comp3)
2024-12-29 06:10:17,902 - INFO - at 0:: CustomerAgent(mo001) create task: ([417.0, 421.0], 0) for (mo001, 4, Comp2)
2024-12-29 06:10:17,902 - INFO - at 0:: CustomerAgent(mo001) create task: ([421.0, 425.0], 0) for (mo001, 5, Comp1)
2024-12-29 06:10:17,903 - INFO - at 0:: CustomerAgent(mo001) create task: ([425.0, 433.0], 0) for (mo001, 6, Comp1)
2024-12-29 06:10:17,903 - INFO - at 0:: CustomerAgent(mo001) create task: ([433.0, 436.0], 0) for (mo001, 7, Comp3)
2024-12-29 06:10:17,903 - INFO - at 0:: CustomerAgent(mo001) create task: ([436.0, 444.0], 0) for (mo001, 8, Comp3)
2024-12-29 06:10:17,904 - INFO - at 0:: CustomerAgent(mo002) create task: ([289, 294.0], 0) for (mo002, 0, Comp3)
2024-12-29 06:10:17,905 - INFO - at 0:: CustomerAgent(mo002) create task: ([294.0, 296.0], 0) for (mo002, 1, Comp2)
2024-12-29 06:10:17,907 - INFO - at 0:: CustomerAgent(mo002) create task: ([296.0, 303.0], 0) for (mo002, 2, Comp1)
2024-12-29 06:10:17,908 - INFO - at 0:: CustomerAgent(mo002) create task: ([303.0, 309.0], 0) for (mo002, 3, Comp3)
2024-12-29 06:10:17,908 - INFO - at 0:: CustomerAgent(mo002) create task: ([309.0, 318.0], 0) for (mo002, 4, Comp2)
2024-12-29 06:10:17,909 - INFO - at 0:: CustomerAgent(mo002) create task: ([318.0, 325.0], 0) for (mo002, 5, Comp1)
2024-12-29 06:10:17,909 - INFO - at 0:: CustomerAgent(mo003) create task: ([496, 497.0], 0) for (mo003, 0, Comp3)
2024-12-29 06:10:17,909 - INFO - at 0:: CustomerAgent(mo003) create task: ([497.0, 499.0], 0) for (mo003, 1, Comp3)
2024-12-29 06:10:17,909 - INFO - at 0:: CustomerAgent(mo003) create task: ([499.0, 502.0], 0) for (mo003, 2, Comp2)
2024-12-29 06:10:17,910 - INFO - at 0:: CustomerAgent(mo003) create task: ([502.0, 510.0], 0) for (mo003, 3, Comp3)
2024-12-29 06:10:17,910 - INFO - at 0:: CustomerAgent(mo003) create task: ([510.0, 513.0], 0) for (mo003, 4, Comp3)
2024-12-29 06:10:17,910 - INFO - at 0:: CustomerAgent(mo003) create task: ([513.0, 515.0], 0) for (mo003, 5, Comp3)
