2024-12-29 06:20:49,868 - INFO - at 0:: CustomerAgent(mo001) create task: ([256, 263.0], 0) for (mo001, 0, Comp2)
2024-12-29 06:20:49,871 - INFO - at 0:: CustomerAgent(mo001) create task: ([263.0, 268.0], 0) for (mo001, 1, Comp2)
2024-12-29 06:20:49,872 - INFO - at 0:: CustomerAgent(mo001) create task: ([268.0, 270.0], 0) for (mo001, 2, Comp2)
2024-12-29 06:20:49,873 - INFO - at 0:: CustomerAgent(mo001) create task: ([270.0, 276.0], 0) for (mo001, 3, Comp2)
2024-12-29 06:20:49,873 - INFO - at 0:: CustomerAgent(mo001) create task: ([276.0, 277.0], 0) for (mo001, 4, Comp3)
2024-12-29 06:20:49,874 - INFO - at 0:: CustomerAgent(mo002) create task: ([15, 16.0], 0) for (mo002, 0, Comp2)
2024-12-29 06:20:49,876 - INFO - at 0:: CustomerAgent(mo002) create task: ([16.0, 22.0], 0) for (mo002, 1, Comp1)
2024-12-29 06:20:49,876 - INFO - at 0:: CustomerAgent(mo002) create task: ([22.0, 25.0], 0) for (mo002, 2, Comp3)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo002) create task: ([25.0, 31.0], 0) for (mo002, 3, Comp1)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo002) create task: ([31.0, 36.0], 0) for (mo002, 4, Comp1)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo002) create task: ([36.0, 40.0], 0) for (mo002, 5, Comp1)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo002) create task: ([40.0, 42.0], 0) for (mo002, 6, Comp3)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo002) create task: ([42.0, 47.0], 0) for (mo002, 7, Comp1)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo002) create task: ([47.0, 52.0], 0) for (mo002, 8, Comp1)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([429, 433.0], 0) for (mo003, 0, Comp2)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([433.0, 434.0], 0) for (mo003, 1, Comp2)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([434.0, 439.0], 0) for (mo003, 2, Comp2)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([439.0, 443.0], 0) for (mo003, 3, Comp1)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([443.0, 446.0], 0) for (mo003, 4, Comp3)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([446.0, 448.0], 0) for (mo003, 5, Comp2)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([448.0, 457.0], 0) for (mo003, 6, Comp2)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([457.0, 463.0], 0) for (mo003, 7, Comp1)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo003) create task: ([463.0, 469.0], 0) for (mo003, 8, Comp3)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo004) create task: ([237, 242.0], 0) for (mo004, 0, Comp2)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo004) create task: ([242.0, 250.0], 0) for (mo004, 1, Comp1)
2024-12-29 06:20:49,877 - INFO - at 0:: CustomerAgent(mo004) create task: ([250.0, 251.0], 0) for (mo004, 2, Comp3)
2024-12-29 06:20:49,885 - INFO - at 0:: CustomerAgent(mo004) create task: ([251.0, 259.0], 0) for (mo004, 3, Comp1)
2024-12-29 06:20:49,887 - INFO - at 0:: CustomerAgent(mo004) create task: ([259.0, 264.0], 0) for (mo004, 4, Comp3)
2024-12-29 06:20:49,888 - INFO - at 0:: CustomerAgent(mo004) create task: ([264.0, 269.0], 0) for (mo004, 5, Comp1)
2024-12-29 06:20:49,888 - INFO - at 0:: CustomerAgent(mo004) create task: ([269.0, 275.0], 0) for (mo004, 6, Comp2)
2024-12-29 06:20:49,889 - INFO - at 0:: CustomerAgent(mo005) create task: ([194, 196.0], 0) for (mo005, 0, Comp2)
2024-12-29 06:20:49,889 - INFO - at 0:: CustomerAgent(mo005) create task: ([196.0, 197.0], 0) for (mo005, 1, Comp1)
2024-12-29 06:20:49,890 - INFO - at 0:: CustomerAgent(mo005) create task: ([197.0, 206.0], 0) for (mo005, 2, Comp1)
2024-12-29 06:20:49,890 - INFO - at 0:: CustomerAgent(mo005) create task: ([206.0, 215.0], 0) for (mo005, 3, Comp2)
2024-12-29 06:20:49,890 - INFO - at 0:: CustomerAgent(mo005) create task: ([215.0, 223.0], 0) for (mo005, 4, Comp2)
2024-12-29 06:20:49,891 - INFO - at 0:: CustomerAgent(mo006) create task: ([97, 103.0], 0) for (mo006, 0, Comp1)
2024-12-29 06:20:49,891 - INFO - at 0:: CustomerAgent(mo006) create task: ([103.0, 108.0], 0) for (mo006, 1, Comp1)
2024-12-29 06:20:49,891 - INFO - at 0:: CustomerAgent(mo006) create task: ([108.0, 117.0], 0) for (mo006, 2, Comp1)
2024-12-29 06:20:49,892 - INFO - at 0:: CustomerAgent(mo006) create task: ([117.0, 123.0], 0) for (mo006, 3, Comp1)
2024-12-29 06:20:49,892 - INFO - at 0:: CustomerAgent(mo006) create task: ([123.0, 124.0], 0) for (mo006, 4, Comp3)
2024-12-29 06:20:49,892 - INFO - at 0:: CustomerAgent(mo006) create task: ([124.0, 128.0], 0) for (mo006, 5, Comp3)
2024-12-29 06:20:49,893 - INFO - at 0:: CustomerAgent(mo007) create task: ([195, 199.0], 0) for (mo007, 0, Comp3)
2024-12-29 06:20:49,893 - INFO - at 0:: CustomerAgent(mo007) create task: ([199.0, 200.0], 0) for (mo007, 1, Comp1)
2024-12-29 06:20:49,893 - INFO - at 0:: CustomerAgent(mo007) create task: ([200.0, 204.0], 0) for (mo007, 2, Comp3)
2024-12-29 06:20:49,893 - INFO - at 0:: CustomerAgent(mo007) create task: ([204.0, 206.0], 0) for (mo007, 3, Comp3)
2024-12-29 06:20:49,894 - INFO - at 0:: CustomerAgent(mo007) create task: ([206.0, 209.0], 0) for (mo007, 4, Comp3)
2024-12-29 06:20:49,894 - INFO - at 0:: CustomerAgent(mo008) create task: ([253, 256.0], 0) for (mo008, 0, Comp1)
2024-12-29 06:20:49,894 - INFO - at 0:: CustomerAgent(mo008) create task: ([256.0, 264.0], 0) for (mo008, 1, Comp1)
2024-12-29 06:20:49,895 - INFO - at 0:: CustomerAgent(mo008) create task: ([264.0, 271.0], 0) for (mo008, 2, Comp2)
2024-12-29 06:20:49,895 - INFO - at 0:: CustomerAgent(mo008) create task: ([271.0, 276.0], 0) for (mo008, 3, Comp3)
2024-12-29 06:20:49,895 - INFO - at 0:: CustomerAgent(mo008) create task: ([276.0, 277.0], 0) for (mo008, 4, Comp3)
2024-12-29 06:20:49,895 - INFO - at 0:: CustomerAgent(mo008) create task: ([277.0, 281.0], 0) for (mo008, 5, Comp1)
2024-12-29 06:20:49,896 - INFO - at 0:: CustomerAgent(mo008) create task: ([281.0, 282.0], 0) for (mo008, 6, Comp3)
2024-12-29 06:20:49,896 - INFO - at 0:: CustomerAgent(mo009) create task: ([190, 199.0], 0) for (mo009, 0, Comp2)
2024-12-29 06:20:49,896 - INFO - at 0:: CustomerAgent(mo009) create task: ([199.0, 203.0], 0) for (mo009, 1, Comp2)
2024-12-29 06:20:49,897 - INFO - at 0:: CustomerAgent(mo009) create task: ([203.0, 208.0], 0) for (mo009, 2, Comp3)
2024-12-29 06:20:49,897 - INFO - at 0:: CustomerAgent(mo009) create task: ([208.0, 215.0], 0) for (mo009, 3, Comp2)
2024-12-29 06:20:49,897 - INFO - at 0:: CustomerAgent(mo009) create task: ([215.0, 221.0], 0) for (mo009, 4, Comp3)
2024-12-29 06:20:49,897 - INFO - at 0:: CustomerAgent(mo009) create task: ([221.0, 225.0], 0) for (mo009, 5, Comp2)
2024-12-29 06:20:49,898 - INFO - at 0:: CustomerAgent(mo009) create task: ([225.0, 234.0], 0) for (mo009, 6, Comp3)
2024-12-29 06:20:49,898 - INFO - at 0:: CustomerAgent(mo010) create task: ([110, 118.0], 0) for (mo010, 0, Comp1)
2024-12-29 06:20:49,898 - INFO - at 0:: CustomerAgent(mo010) create task: ([118.0, 119.0], 0) for (mo010, 1, Comp2)
2024-12-29 06:20:49,899 - INFO - at 0:: CustomerAgent(mo010) create task: ([119.0, 125.0], 0) for (mo010, 2, Comp3)
