2024-12-29 06:11:04,781 - INFO - at 0:: CustomerAgent(mo001) create task: ([124, 125.0], 0) for (mo001, 0, Comp1)
2024-12-29 06:11:04,782 - INFO - at 0:: CustomerAgent(mo001) create task: ([125.0, 134.0], 0) for (mo001, 1, Comp3)
2024-12-29 06:11:04,782 - INFO - at 0:: CustomerAgent(mo001) create task: ([134.0, 140.0], 0) for (mo001, 2, Comp1)
2024-12-29 06:11:04,782 - INFO - at 0:: CustomerAgent(mo001) create task: ([140.0, 145.0], 0) for (mo001, 3, Comp1)
2024-12-29 06:11:04,783 - INFO - at 0:: CustomerAgent(mo001) create task: ([145.0, 153.0], 0) for (mo001, 4, Comp3)
2024-12-29 06:11:04,784 - INFO - at 0:: CustomerAgent(mo001) create task: ([153.0, 154.0], 0) for (mo001, 5, Comp3)
2024-12-29 06:11:04,786 - INFO - at 0:: CustomerAgent(mo002) create task: ([454, 462.0], 0) for (mo002, 0, Comp1)
2024-12-29 06:11:04,786 - INFO - at 0:: CustomerAgent(mo002) create task: ([462.0, 469.0], 0) for (mo002, 1, Comp3)
2024-12-29 06:11:04,787 - INFO - at 0:: CustomerAgent(mo002) create task: ([469.0, 478.0], 0) for (mo002, 2, Comp1)
2024-12-29 06:11:04,787 - INFO - at 0:: CustomerAgent(mo002) create task: ([478.0, 483.0], 0) for (mo002, 3, Comp3)
2024-12-29 06:11:04,788 - INFO - at 0:: CustomerAgent(mo002) create task: ([483.0, 491.0], 0) for (mo002, 4, Comp2)
2024-12-29 06:11:04,788 - INFO - at 0:: CustomerAgent(mo002) create task: ([491.0, 497.0], 0) for (mo002, 5, Comp1)
2024-12-29 06:11:04,789 - INFO - at 0:: CustomerAgent(mo003) create task: ([58, 60.0], 0) for (mo003, 0, Comp1)
2024-12-29 06:11:04,789 - INFO - at 0:: CustomerAgent(mo003) create task: ([60.0, 65.0], 0) for (mo003, 1, Comp2)
2024-12-29 06:11:04,789 - INFO - at 0:: CustomerAgent(mo003) create task: ([65.0, 67.0], 0) for (mo003, 2, Comp1)
2024-12-29 06:11:04,790 - INFO - at 0:: CustomerAgent(mo003) create task: ([67.0, 74.0], 0) for (mo003, 3, Comp2)
2024-12-29 06:11:04,790 - INFO - at 0:: CustomerAgent(mo003) create task: ([74.0, 75.0], 0) for (mo003, 4, Comp3)
2024-12-29 06:11:04,791 - INFO - at 0:: CustomerAgent(mo003) create task: ([75.0, 77.0], 0) for (mo003, 5, Comp2)
2024-12-29 06:11:04,791 - INFO - at 0:: CustomerAgent(mo003) create task: ([77.0, 79.0], 0) for (mo003, 6, Comp1)
2024-12-29 06:11:04,791 - INFO - at 0:: CustomerAgent(mo004) create task: ([436, 437.0], 0) for (mo004, 0, Comp3)
2024-12-29 06:11:04,792 - INFO - at 0:: CustomerAgent(mo004) create task: ([437.0, 445.0], 0) for (mo004, 1, Comp2)
2024-12-29 06:11:04,792 - INFO - at 0:: CustomerAgent(mo004) create task: ([445.0, 447.0], 0) for (mo004, 2, Comp1)
2024-12-29 06:11:04,793 - INFO - at 0:: CustomerAgent(mo004) create task: ([447.0, 453.0], 0) for (mo004, 3, Comp3)
2024-12-29 06:11:04,793 - INFO - at 0:: CustomerAgent(mo004) create task: ([453.0, 454.0], 0) for (mo004, 4, Comp3)
2024-12-29 06:11:04,793 - INFO - at 0:: CustomerAgent(mo004) create task: ([454.0, 455.0], 0) for (mo004, 5, Comp1)
2024-12-29 06:11:04,794 - INFO - at 0:: CustomerAgent(mo004) create task: ([455.0, 459.0], 0) for (mo004, 6, Comp2)
2024-12-29 06:11:04,797 - INFO - at 0:: CustomerAgent(mo004) create task: ([459.0, 467.0], 0) for (mo004, 7, Comp2)
2024-12-29 06:11:04,797 - INFO - at 0:: CustomerAgent(mo004) create task: ([467.0, 475.0], 0) for (mo004, 8, Comp2)
2024-12-29 06:11:04,798 - INFO - at 0:: CustomerAgent(mo005) create task: ([199, 202.0], 0) for (mo005, 0, Comp3)
2024-12-29 06:11:04,798 - INFO - at 0:: CustomerAgent(mo005) create task: ([202.0, 204.0], 0) for (mo005, 1, Comp2)
2024-12-29 06:11:04,798 - INFO - at 0:: CustomerAgent(mo005) create task: ([204.0, 209.0], 0) for (mo005, 2, Comp2)
2024-12-29 06:11:04,799 - INFO - at 0:: CustomerAgent(mo005) create task: ([209.0, 212.0], 0) for (mo005, 3, Comp1)
2024-12-29 06:11:04,800 - INFO - at 0:: CustomerAgent(mo005) create task: ([212.0, 214.0], 0) for (mo005, 4, Comp2)
2024-12-29 06:11:04,800 - INFO - at 0:: CustomerAgent(mo005) create task: ([214.0, 218.0], 0) for (mo005, 5, Comp2)
2024-12-29 06:11:04,802 - INFO - at 0:: CustomerAgent(mo005) create task: ([218.0, 219.0], 0) for (mo005, 6, Comp1)
2024-12-29 06:11:04,802 - INFO - at 0:: CustomerAgent(mo006) create task: ([516, 522.0], 0) for (mo006, 0, Comp2)
2024-12-29 06:11:04,803 - INFO - at 0:: CustomerAgent(mo006) create task: ([522.0, 525.0], 0) for (mo006, 1, Comp1)
2024-12-29 06:11:04,803 - INFO - at 0:: CustomerAgent(mo006) create task: ([525.0, 526.0], 0) for (mo006, 2, Comp3)
