2024-12-29 06:10:57,378 - INFO - at 0:: CustomerAgent(mo001) create task: ([161, 167.0], 0) for (mo001, 0, Comp1)
2024-12-29 06:10:57,378 - INFO - at 0:: CustomerAgent(mo001) create task: ([167.0, 176.0], 0) for (mo001, 1, Comp3)
2024-12-29 06:10:57,379 - INFO - at 0:: CustomerAgent(mo001) create task: ([176.0, 177.0], 0) for (mo001, 2, Comp2)
2024-12-29 06:10:57,380 - INFO - at 0:: CustomerAgent(mo001) create task: ([177.0, 180.0], 0) for (mo001, 3, Comp2)
2024-12-29 06:10:57,380 - INFO - at 0:: CustomerAgent(mo001) create task: ([180.0, 184.0], 0) for (mo001, 4, Comp1)
2024-12-29 06:10:57,381 - INFO - at 0:: CustomerAgent(mo001) create task: ([184.0, 190.0], 0) for (mo001, 5, Comp3)
2024-12-29 06:10:57,385 - INFO - at 0:: CustomerAgent(mo001) create task: ([190.0, 194.0], 0) for (mo001, 6, Comp2)
2024-12-29 06:10:57,386 - INFO - at 0:: CustomerAgent(mo001) create task: ([194.0, 197.0], 0) for (mo001, 7, Comp3)
2024-12-29 06:10:57,387 - INFO - at 0:: CustomerAgent(mo001) create task: ([197.0, 203.0], 0) for (mo001, 8, Comp3)
2024-12-29 06:10:57,389 - INFO - at 0:: CustomerAgent(mo002) create task: ([387, 389.0], 0) for (mo002, 0, Comp3)
2024-12-29 06:10:57,389 - INFO - at 0:: CustomerAgent(mo002) create task: ([389.0, 393.0], 0) for (mo002, 1, Comp2)
2024-12-29 06:10:57,390 - INFO - at 0:: CustomerAgent(mo002) create task: ([393.0, 398.0], 0) for (mo002, 2, Comp3)
2024-12-29 06:10:57,391 - INFO - at 0:: CustomerAgent(mo002) create task: ([398.0, 406.0], 0) for (mo002, 3, Comp3)
2024-12-29 06:10:57,392 - INFO - at 0:: CustomerAgent(mo002) create task: ([406.0, 415.0], 0) for (mo002, 4, Comp3)
2024-12-29 06:10:57,392 - INFO - at 0:: CustomerAgent(mo002) create task: ([415.0, 423.0], 0) for (mo002, 5, Comp2)
2024-12-29 06:10:57,393 - INFO - at 0:: CustomerAgent(mo002) create task: ([423.0, 428.0], 0) for (mo002, 6, Comp1)
2024-12-29 06:10:57,393 - INFO - at 0:: CustomerAgent(mo003) create task: ([10, 15.0], 0) for (mo003, 0, Comp2)
