2024-12-29 06:21:01,505 - INFO - at 0:: CustomerAgent(mo001) create task: ([123, 125.0], 0) for (mo001, 0, Comp2)
2024-12-29 06:21:01,505 - INFO - at 0:: CustomerAgent(mo001) create task: ([125.0, 127.0], 0) for (mo001, 1, Comp2)
2024-12-29 06:21:01,506 - INFO - at 0:: CustomerAgent(mo001) create task: ([127.0, 131.0], 0) for (mo001, 2, Comp2)
2024-12-29 06:21:01,506 - INFO - at 0:: CustomerAgent(mo001) create task: ([131.0, 136.0], 0) for (mo001, 3, Comp1)
2024-12-29 06:21:01,506 - INFO - at 0:: CustomerAgent(mo001) create task: ([136.0, 145.0], 0) for (mo001, 4, Comp2)
2024-12-29 06:21:01,507 - INFO - at 0:: CustomerAgent(mo001) create task: ([145.0, 153.0], 0) for (mo001, 5, Comp3)
2024-12-29 06:21:01,507 - INFO - at 0:: CustomerAgent(mo001) create task: ([153.0, 158.0], 0) for (mo001, 6, Comp1)
2024-12-29 06:21:01,508 - INFO - at 0:: CustomerAgent(mo002) create task: ([506, 511.0], 0) for (mo002, 0, Comp1)
2024-12-29 06:21:01,508 - INFO - at 0:: CustomerAgent(mo002) create task: ([511.0, 513.0], 0) for (mo002, 1, Comp1)
2024-12-29 06:21:01,508 - INFO - at 0:: CustomerAgent(mo002) create task: ([513.0, 517.0], 0) for (mo002, 2, Comp2)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo002) create task: ([517.0, 522.0], 0) for (mo002, 3, Comp2)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo002) create task: ([522.0, 529.0], 0) for (mo002, 4, Comp3)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo002) create task: ([529.0, 530.0], 0) for (mo002, 5, Comp2)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo003) create task: ([307, 311.0], 0) for (mo003, 0, Comp3)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo003) create task: ([311.0, 317.0], 0) for (mo003, 1, Comp1)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo003) create task: ([317.0, 325.0], 0) for (mo003, 2, Comp3)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo003) create task: ([325.0, 331.0], 0) for (mo003, 3, Comp2)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo003) create task: ([331.0, 337.0], 0) for (mo003, 4, Comp2)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo003) create task: ([337.0, 338.0], 0) for (mo003, 5, Comp1)
2024-12-29 06:21:01,509 - INFO - at 0:: CustomerAgent(mo003) create task: ([338.0, 346.0], 0) for (mo003, 6, Comp1)
2024-12-29 06:21:01,513 - INFO - at 0:: CustomerAgent(mo003) create task: ([346.0, 354.0], 0) for (mo003, 7, Comp1)
2024-12-29 06:21:01,513 - INFO - at 0:: CustomerAgent(mo003) create task: ([354.0, 359.0], 0) for (mo003, 8, Comp3)
2024-12-29 06:21:01,514 - INFO - at 0:: CustomerAgent(mo004) create task: ([241, 242.0], 0) for (mo004, 0, Comp3)
2024-12-29 06:21:01,515 - INFO - at 0:: CustomerAgent(mo004) create task: ([242.0, 247.0], 0) for (mo004, 1, Comp3)
2024-12-29 06:21:01,515 - INFO - at 0:: CustomerAgent(mo004) create task: ([247.0, 251.0], 0) for (mo004, 2, Comp2)
2024-12-29 06:21:01,517 - INFO - at 0:: CustomerAgent(mo004) create task: ([251.0, 258.0], 0) for (mo004, 3, Comp1)
2024-12-29 06:21:01,517 - INFO - at 0:: CustomerAgent(mo004) create task: ([258.0, 264.0], 0) for (mo004, 4, Comp3)
2024-12-29 06:21:01,518 - INFO - at 0:: CustomerAgent(mo004) create task: ([264.0, 271.0], 0) for (mo004, 5, Comp2)
