2024-12-29 05:56:37,287 - INFO - at 0:: CustomerAgent(mo001) create task: ([253, 262.0], 0) for (mo001, 0, Comp3)
2024-12-29 05:56:37,288 - INFO - at 0:: CustomerAgent(mo001) create task: ([262.0, 263.0], 0) for (mo001, 1, Comp1)
2024-12-29 05:56:37,288 - INFO - at 0:: CustomerAgent(mo001) create task: ([263.0, 270.0], 0) for (mo001, 2, Comp1)
2024-12-29 05:56:37,288 - INFO - at 0:: CustomerAgent(mo001) create task: ([270.0, 275.0], 0) for (mo001, 3, Comp1)
2024-12-29 05:56:37,289 - INFO - at 0:: CustomerAgent(mo001) create task: ([275.0, 277.0], 0) for (mo001, 4, Comp3)
2024-12-29 05:56:37,289 - INFO - at 0:: CustomerAgent(mo001) create task: ([277.0, 281.0], 0) for (mo001, 5, Comp2)
2024-12-29 05:56:37,290 - INFO - at 0:: CustomerAgent(mo001) create task: ([281.0, 283.0], 0) for (mo001, 6, Comp2)
2024-12-29 05:56:37,290 - INFO - at 0:: CustomerAgent(mo001) create task: ([283.0, 290.0], 0) for (mo001, 7, Comp2)
2024-12-29 05:56:37,290 - INFO - at 0:: CustomerAgent(mo002) create task: ([515, 522.0], 0) for (mo002, 0, Comp1)
2024-12-29 05:56:37,290 - INFO - at 0:: CustomerAgent(mo002) create task: ([522.0, 524.0], 0) for (mo002, 1, Comp2)
2024-12-29 05:56:37,293 - INFO - at 0:: CustomerAgent(mo002) create task: ([524.0, 527.0], 0) for (mo002, 2, Comp1)
2024-12-29 05:56:37,293 - INFO - at 0:: CustomerAgent(mo002) create task: ([527.0, 529.0], 0) for (mo002, 3, Comp2)
2024-12-29 05:56:37,294 - INFO - at 0:: CustomerAgent(mo002) create task: ([529.0, 535.0], 0) for (mo002, 4, Comp2)
2024-12-29 05:56:37,295 - INFO - at 0:: CustomerAgent(mo002) create task: ([535.0, 544.0], 0) for (mo002, 5, Comp1)
2024-12-29 05:56:37,295 - INFO - at 0:: CustomerAgent(mo003) create task: ([208, 215.0], 0) for (mo003, 0, Comp3)
2024-12-29 05:56:37,296 - INFO - at 0:: CustomerAgent(mo003) create task: ([215.0, 222.0], 0) for (mo003, 1, Comp1)
2024-12-29 05:56:37,296 - INFO - at 0:: CustomerAgent(mo003) create task: ([222.0, 230.0], 0) for (mo003, 2, Comp2)
2024-12-29 05:56:37,297 - INFO - at 0:: CustomerAgent(mo003) create task: ([230.0, 238.0], 0) for (mo003, 3, Comp2)
2024-12-29 05:56:37,297 - INFO - at 0:: CustomerAgent(mo003) create task: ([238.0, 245.0], 0) for (mo003, 4, Comp2)
2024-12-29 05:56:37,298 - INFO - at 0:: CustomerAgent(mo003) create task: ([245.0, 249.0], 0) for (mo003, 5, Comp1)
2024-12-29 05:56:37,298 - INFO - at 0:: CustomerAgent(mo003) create task: ([249.0, 256.0], 0) for (mo003, 6, Comp3)
2024-12-29 05:56:37,298 - INFO - at 0:: CustomerAgent(mo003) create task: ([256.0, 263.0], 0) for (mo003, 7, Comp3)
2024-12-29 05:56:37,299 - INFO - at 0:: CustomerAgent(mo004) create task: ([1, 3.0], 0) for (mo004, 0, Comp2)
2024-12-29 05:56:37,299 - INFO - at 0:: CustomerAgent(mo004) create task: ([3.0, 4.0], 0) for (mo004, 1, Comp1)
2024-12-29 05:56:37,300 - INFO - at 0:: CustomerAgent(mo004) create task: ([4.0, 12.0], 0) for (mo004, 2, Comp1)
2024-12-29 05:56:37,300 - INFO - at 0:: CustomerAgent(mo004) create task: ([12.0, 14.0], 0) for (mo004, 3, Comp2)
2024-12-29 05:56:37,300 - INFO - at 0:: CustomerAgent(mo004) create task: ([14.0, 20.0], 0) for (mo004, 4, Comp2)
2024-12-29 05:56:37,301 - INFO - at 0:: CustomerAgent(mo004) create task: ([20.0, 21.0], 0) for (mo004, 5, Comp1)
2024-12-29 05:56:37,301 - INFO - at 0:: CustomerAgent(mo004) create task: ([21.0, 26.0], 0) for (mo004, 6, Comp3)
2024-12-29 05:56:37,302 - INFO - at 0:: CustomerAgent(mo004) create task: ([26.0, 34.0], 0) for (mo004, 7, Comp3)
2024-12-29 05:56:37,303 - INFO - at 0:: CustomerAgent(mo005) create task: ([384, 386.0], 0) for (mo005, 0, Comp3)
2024-12-29 05:56:37,305 - INFO - at 0:: CustomerAgent(mo005) create task: ([386.0, 390.0], 0) for (mo005, 1, Comp2)
2024-12-29 05:56:37,305 - INFO - at 0:: CustomerAgent(mo005) create task: ([390.0, 395.0], 0) for (mo005, 2, Comp2)
2024-12-29 05:56:37,306 - INFO - at 0:: CustomerAgent(mo005) create task: ([395.0, 396.0], 0) for (mo005, 3, Comp3)
2024-12-29 05:56:37,306 - INFO - at 0:: CustomerAgent(mo005) create task: ([396.0, 397.0], 0) for (mo005, 4, Comp1)
2024-12-29 05:56:37,307 - INFO - at 0:: CustomerAgent(mo005) create task: ([397.0, 404.0], 0) for (mo005, 5, Comp2)
2024-12-29 05:56:37,307 - INFO - at 0:: CustomerAgent(mo005) create task: ([404.0, 406.0], 0) for (mo005, 6, Comp1)
2024-12-29 05:56:37,308 - INFO - at 0:: CustomerAgent(mo005) create task: ([406.0, 412.0], 0) for (mo005, 7, Comp3)
2024-12-29 05:56:37,308 - INFO - at 0:: CustomerAgent(mo006) create task: ([381, 390.0], 0) for (mo006, 0, Comp2)
2024-12-29 05:56:37,308 - INFO - at 0:: CustomerAgent(mo006) create task: ([390.0, 396.0], 0) for (mo006, 1, Comp2)
2024-12-29 05:56:37,308 - INFO - at 0:: CustomerAgent(mo006) create task: ([396.0, 402.0], 0) for (mo006, 2, Comp3)
2024-12-29 05:56:37,309 - INFO - at 0:: CustomerAgent(mo006) create task: ([402.0, 411.0], 0) for (mo006, 3, Comp1)
2024-12-29 05:56:37,309 - INFO - at 0:: CustomerAgent(mo006) create task: ([411.0, 412.0], 0) for (mo006, 4, Comp1)
2024-12-29 05:56:37,311 - INFO - at 0:: CustomerAgent(mo006) create task: ([412.0, 421.0], 0) for (mo006, 5, Comp3)
2024-12-29 05:56:37,312 - INFO - at 0:: CustomerAgent(mo006) create task: ([421.0, 427.0], 0) for (mo006, 6, Comp2)
2024-12-29 05:56:37,312 - INFO - at 0:: CustomerAgent(mo006) create task: ([427.0, 428.0], 0) for (mo006, 7, Comp2)
2024-12-29 05:56:37,313 - INFO - at 0:: CustomerAgent(mo007) create task: ([37, 40.0], 0) for (mo007, 0, Comp2)
2024-12-29 05:56:37,313 - INFO - at 0:: CustomerAgent(mo007) create task: ([40.0, 48.0], 0) for (mo007, 1, Comp3)
2024-12-29 05:56:37,314 - INFO - at 0:: CustomerAgent(mo007) create task: ([48.0, 56.0], 0) for (mo007, 2, Comp2)
2024-12-29 05:56:37,314 - INFO - at 0:: CustomerAgent(mo007) create task: ([56.0, 57.0], 0) for (mo007, 3, Comp3)
2024-12-29 05:56:37,315 - INFO - at 0:: CustomerAgent(mo007) create task: ([57.0, 64.0], 0) for (mo007, 4, Comp3)
2024-12-29 05:56:37,315 - INFO - at 0:: CustomerAgent(mo007) create task: ([64.0, 72.0], 0) for (mo007, 5, Comp3)
2024-12-29 05:56:37,315 - INFO - at 0:: CustomerAgent(mo007) create task: ([72.0, 79.0], 0) for (mo007, 6, Comp2)
2024-12-29 05:56:37,316 - INFO - at 0:: CustomerAgent(mo007) create task: ([79.0, 87.0], 0) for (mo007, 7, Comp1)
2024-12-29 05:56:37,316 - INFO - at 0:: CustomerAgent(mo008) create task: ([40, 49.0], 0) for (mo008, 0, Comp2)
2024-12-29 05:56:37,317 - INFO - at 0:: CustomerAgent(mo008) create task: ([49.0, 58.0], 0) for (mo008, 1, Comp2)
2024-12-29 05:56:37,317 - INFO - at 0:: CustomerAgent(mo008) create task: ([58.0, 62.0], 0) for (mo008, 2, Comp3)
2024-12-29 05:56:37,317 - INFO - at 0:: CustomerAgent(mo008) create task: ([62.0, 67.0], 0) for (mo008, 3, Comp2)
2024-12-29 05:56:37,318 - INFO - at 0:: CustomerAgent(mo008) create task: ([67.0, 68.0], 0) for (mo008, 4, Comp3)
2024-12-29 05:56:37,318 - INFO - at 0:: CustomerAgent(mo008) create task: ([68.0, 74.0], 0) for (mo008, 5, Comp1)
2024-12-29 05:56:37,319 - INFO - at 0:: CustomerAgent(mo008) create task: ([74.0, 82.0], 0) for (mo008, 6, Comp3)
2024-12-29 05:56:37,319 - INFO - at 0:: CustomerAgent(mo008) create task: ([82.0, 86.0], 0) for (mo008, 7, Comp1)
2024-12-29 05:56:37,320 - INFO - at 0:: CustomerAgent(mo009) create task: ([174, 180.0], 0) for (mo009, 0, Comp3)
2024-12-29 05:56:37,321 - INFO - at 0:: CustomerAgent(mo009) create task: ([180.0, 181.0], 0) for (mo009, 1, Comp2)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo009) create task: ([181.0, 187.0], 0) for (mo009, 2, Comp3)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo009) create task: ([187.0, 190.0], 0) for (mo009, 3, Comp1)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo009) create task: ([190.0, 197.0], 0) for (mo009, 4, Comp2)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo010) create task: ([513, 515.0], 0) for (mo010, 0, Comp3)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo010) create task: ([515.0, 516.0], 0) for (mo010, 1, Comp2)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo010) create task: ([516.0, 524.0], 0) for (mo010, 2, Comp1)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo010) create task: ([524.0, 530.0], 0) for (mo010, 3, Comp1)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo010) create task: ([530.0, 539.0], 0) for (mo010, 4, Comp2)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo010) create task: ([539.0, 545.0], 0) for (mo010, 5, Comp3)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo011) create task: ([425, 426.0], 0) for (mo011, 0, Comp2)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo011) create task: ([426.0, 435.0], 0) for (mo011, 1, Comp3)
2024-12-29 05:56:37,322 - INFO - at 0:: CustomerAgent(mo011) create task: ([435.0, 437.0], 0) for (mo011, 2, Comp1)
2024-12-29 05:56:37,326 - INFO - at 0:: CustomerAgent(mo011) create task: ([437.0, 443.0], 0) for (mo011, 3, Comp1)
2024-12-29 05:56:37,326 - INFO - at 0:: CustomerAgent(mo011) create task: ([443.0, 445.0], 0) for (mo011, 4, Comp1)
2024-12-29 05:56:37,327 - INFO - at 0:: CustomerAgent(mo011) create task: ([445.0, 452.0], 0) for (mo011, 5, Comp2)
2024-12-29 05:56:37,328 - INFO - at 0:: CustomerAgent(mo012) create task: ([158, 160.0], 0) for (mo012, 0, Comp3)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo012) create task: ([160.0, 169.0], 0) for (mo012, 1, Comp3)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo012) create task: ([169.0, 176.0], 0) for (mo012, 2, Comp2)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo012) create task: ([176.0, 181.0], 0) for (mo012, 3, Comp2)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo012) create task: ([181.0, 182.0], 0) for (mo012, 4, Comp3)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo012) create task: ([182.0, 184.0], 0) for (mo012, 5, Comp2)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo013) create task: ([440, 445.0], 0) for (mo013, 0, Comp2)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo013) create task: ([445.0, 447.0], 0) for (mo013, 1, Comp3)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo013) create task: ([447.0, 452.0], 0) for (mo013, 2, Comp2)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo013) create task: ([452.0, 460.0], 0) for (mo013, 3, Comp1)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo013) create task: ([460.0, 461.0], 0) for (mo013, 4, Comp1)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo013) create task: ([461.0, 467.0], 0) for (mo013, 5, Comp3)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo013) create task: ([467.0, 471.0], 0) for (mo013, 6, Comp3)
2024-12-29 05:56:37,329 - INFO - at 0:: CustomerAgent(mo013) create task: ([471.0, 474.0], 0) for (mo013, 7, Comp3)
