2024-12-29 06:10:43,900 - INFO - at 0:: CustomerAgent(mo001) create task: ([253, 262.0], 0) for (mo001, 0, Comp3)
2024-12-29 06:10:43,901 - INFO - at 0:: CustomerAgent(mo001) create task: ([262.0, 263.0], 0) for (mo001, 1, Comp1)
2024-12-29 06:10:43,901 - INFO - at 0:: CustomerAgent(mo001) create task: ([263.0, 270.0], 0) for (mo001, 2, Comp1)
2024-12-29 06:10:43,901 - INFO - at 0:: CustomerAgent(mo001) create task: ([270.0, 275.0], 0) for (mo001, 3, Comp1)
2024-12-29 06:10:43,902 - INFO - at 0:: CustomerAgent(mo001) create task: ([275.0, 277.0], 0) for (mo001, 4, Comp3)
2024-12-29 06:10:43,903 - INFO - at 0:: CustomerAgent(mo001) create task: ([277.0, 281.0], 0) for (mo001, 5, Comp2)
2024-12-29 06:10:43,903 - INFO - at 0:: CustomerAgent(mo001) create task: ([281.0, 283.0], 0) for (mo001, 6, Comp2)
2024-12-29 06:10:43,903 - INFO - at 0:: CustomerAgent(mo001) create task: ([283.0, 290.0], 0) for (mo001, 7, Comp2)
2024-12-29 06:10:43,904 - INFO - at 0:: CustomerAgent(mo002) create task: ([515, 522.0], 0) for (mo002, 0, Comp1)
2024-12-29 06:10:43,904 - INFO - at 0:: CustomerAgent(mo002) create task: ([522.0, 524.0], 0) for (mo002, 1, Comp2)
2024-12-29 06:10:43,904 - INFO - at 0:: CustomerAgent(mo002) create task: ([524.0, 527.0], 0) for (mo002, 2, Comp1)
2024-12-29 06:10:43,905 - INFO - at 0:: CustomerAgent(mo002) create task: ([527.0, 529.0], 0) for (mo002, 3, Comp2)
2024-12-29 06:10:43,905 - INFO - at 0:: CustomerAgent(mo002) create task: ([529.0, 535.0], 0) for (mo002, 4, Comp2)
2024-12-29 06:10:43,905 - INFO - at 0:: CustomerAgent(mo002) create task: ([535.0, 544.0], 0) for (mo002, 5, Comp1)
2024-12-29 06:10:43,905 - INFO - at 0:: CustomerAgent(mo003) create task: ([208, 215.0], 0) for (mo003, 0, Comp3)
2024-12-29 06:10:43,906 - INFO - at 0:: CustomerAgent(mo003) create task: ([215.0, 222.0], 0) for (mo003, 1, Comp1)
2024-12-29 06:10:43,906 - INFO - at 0:: CustomerAgent(mo003) create task: ([222.0, 230.0], 0) for (mo003, 2, Comp2)
2024-12-29 06:10:43,906 - INFO - at 0:: CustomerAgent(mo003) create task: ([230.0, 238.0], 0) for (mo003, 3, Comp2)
2024-12-29 06:10:43,907 - INFO - at 0:: CustomerAgent(mo003) create task: ([238.0, 245.0], 0) for (mo003, 4, Comp2)
2024-12-29 06:10:43,907 - INFO - at 0:: CustomerAgent(mo003) create task: ([245.0, 249.0], 0) for (mo003, 5, Comp1)
2024-12-29 06:10:43,907 - INFO - at 0:: CustomerAgent(mo003) create task: ([249.0, 256.0], 0) for (mo003, 6, Comp3)
2024-12-29 06:10:43,907 - INFO - at 0:: CustomerAgent(mo003) create task: ([256.0, 263.0], 0) for (mo003, 7, Comp3)
2024-12-29 06:10:43,908 - INFO - at 0:: CustomerAgent(mo004) create task: ([1, 3.0], 0) for (mo004, 0, Comp2)
2024-12-29 06:10:43,908 - INFO - at 0:: CustomerAgent(mo004) create task: ([3.0, 4.0], 0) for (mo004, 1, Comp1)
2024-12-29 06:10:43,908 - INFO - at 0:: CustomerAgent(mo004) create task: ([4.0, 12.0], 0) for (mo004, 2, Comp1)
2024-12-29 06:10:43,909 - INFO - at 0:: CustomerAgent(mo004) create task: ([12.0, 14.0], 0) for (mo004, 3, Comp2)
2024-12-29 06:10:43,909 - INFO - at 0:: CustomerAgent(mo004) create task: ([14.0, 20.0], 0) for (mo004, 4, Comp2)
2024-12-29 06:10:43,909 - INFO - at 0:: CustomerAgent(mo004) create task: ([20.0, 21.0], 0) for (mo004, 5, Comp1)
2024-12-29 06:10:43,911 - INFO - at 0:: CustomerAgent(mo004) create task: ([21.0, 26.0], 0) for (mo004, 6, Comp3)
