2024-12-29 06:11:11,690 - INFO - at 0:: CustomerAgent(mo001) create task: ([352, 355.0], 0) for (mo001, 0, Comp3)
2024-12-29 06:11:11,691 - INFO - at 0:: CustomerAgent(mo001) create task: ([355.0, 358.0], 0) for (mo001, 1, Comp3)
2024-12-29 06:11:11,691 - INFO - at 0:: CustomerAgent(mo001) create task: ([358.0, 364.0], 0) for (mo001, 2, Comp2)
2024-12-29 06:11:11,691 - INFO - at 0:: CustomerAgent(mo001) create task: ([364.0, 370.0], 0) for (mo001, 3, Comp1)
2024-12-29 06:11:11,692 - INFO - at 0:: CustomerAgent(mo001) create task: ([370.0, 378.0], 0) for (mo001, 4, Comp1)
2024-12-29 06:11:11,692 - INFO - at 0:: CustomerAgent(mo001) create task: ([378.0, 380.0], 0) for (mo001, 5, Comp2)
2024-12-29 06:11:11,692 - INFO - at 0:: CustomerAgent(mo002) create task: ([122, 124.0], 0) for (mo002, 0, Comp3)
2024-12-29 06:11:11,693 - INFO - at 0:: CustomerAgent(mo002) create task: ([124.0, 128.0], 0) for (mo002, 1, Comp3)
2024-12-29 06:11:11,693 - INFO - at 0:: CustomerAgent(mo002) create task: ([128.0, 130.0], 0) for (mo002, 2, Comp3)
2024-12-29 06:11:11,693 - INFO - at 0:: CustomerAgent(mo002) create task: ([130.0, 137.0], 0) for (mo002, 3, Comp3)
2024-12-29 06:11:11,694 - INFO - at 0:: CustomerAgent(mo002) create task: ([137.0, 139.0], 0) for (mo002, 4, Comp3)
2024-12-29 06:11:11,694 - INFO - at 0:: CustomerAgent(mo002) create task: ([139.0, 143.0], 0) for (mo002, 5, Comp2)
2024-12-29 06:11:11,695 - INFO - at 0:: CustomerAgent(mo003) create task: ([514, 522.0], 0) for (mo003, 0, Comp1)
2024-12-29 06:11:11,695 - INFO - at 0:: CustomerAgent(mo003) create task: ([522.0, 525.0], 0) for (mo003, 1, Comp2)
2024-12-29 06:11:11,695 - INFO - at 0:: CustomerAgent(mo003) create task: ([525.0, 530.0], 0) for (mo003, 2, Comp2)
2024-12-29 06:11:11,695 - INFO - at 0:: CustomerAgent(mo003) create task: ([530.0, 538.0], 0) for (mo003, 3, Comp1)
2024-12-29 06:11:11,696 - INFO - at 0:: CustomerAgent(mo003) create task: ([538.0, 543.0], 0) for (mo003, 4, Comp2)
2024-12-29 06:11:11,696 - INFO - at 0:: CustomerAgent(mo003) create task: ([543.0, 551.0], 0) for (mo003, 5, Comp3)
2024-12-29 06:11:11,697 - INFO - at 0:: CustomerAgent(mo003) create task: ([551.0, 559.0], 0) for (mo003, 6, Comp2)
2024-12-29 06:11:11,698 - INFO - at 0:: CustomerAgent(mo004) create task: ([477, 486.0], 0) for (mo004, 0, Comp1)
2024-12-29 06:11:11,699 - INFO - at 0:: CustomerAgent(mo004) create task: ([486.0, 493.0], 0) for (mo004, 1, Comp2)
2024-12-29 06:11:11,699 - INFO - at 0:: CustomerAgent(mo004) create task: ([493.0, 500.0], 0) for (mo004, 2, Comp3)
2024-12-29 06:11:11,699 - INFO - at 0:: CustomerAgent(mo004) create task: ([500.0, 503.0], 0) for (mo004, 3, Comp2)
2024-12-29 06:11:11,700 - INFO - at 0:: CustomerAgent(mo004) create task: ([503.0, 508.0], 0) for (mo004, 4, Comp3)
2024-12-29 06:11:11,700 - INFO - at 0:: CustomerAgent(mo004) create task: ([508.0, 514.0], 0) for (mo004, 5, Comp3)
2024-12-29 06:11:11,700 - INFO - at 0:: CustomerAgent(mo004) create task: ([514.0, 515.0], 0) for (mo004, 6, Comp1)
2024-12-29 06:11:11,700 - INFO - at 0:: CustomerAgent(mo004) create task: ([515.0, 519.0], 0) for (mo004, 7, Comp2)
2024-12-29 06:11:11,701 - INFO - at 0:: CustomerAgent(mo004) create task: ([519.0, 527.0], 0) for (mo004, 8, Comp2)
2024-12-29 06:11:11,701 - INFO - at 0:: CustomerAgent(mo005) create task: ([10, 11.0], 0) for (mo005, 0, Comp1)
2024-12-29 06:11:11,701 - INFO - at 0:: CustomerAgent(mo005) create task: ([11.0, 13.0], 0) for (mo005, 1, Comp2)
2024-12-29 06:11:11,702 - INFO - at 0:: CustomerAgent(mo005) create task: ([13.0, 18.0], 0) for (mo005, 2, Comp3)
2024-12-29 06:11:11,702 - INFO - at 0:: CustomerAgent(mo005) create task: ([18.0, 21.0], 0) for (mo005, 3, Comp3)
2024-12-29 06:11:11,702 - INFO - at 0:: CustomerAgent(mo005) create task: ([21.0, 25.0], 0) for (mo005, 4, Comp2)
2024-12-29 06:11:11,703 - INFO - at 0:: CustomerAgent(mo006) create task: ([241, 248.0], 0) for (mo006, 0, Comp1)
2024-12-29 06:11:11,703 - INFO - at 0:: CustomerAgent(mo006) create task: ([248.0, 250.0], 0) for (mo006, 1, Comp2)
2024-12-29 06:11:11,703 - INFO - at 0:: CustomerAgent(mo006) create task: ([250.0, 253.0], 0) for (mo006, 2, Comp3)
2024-12-29 06:11:11,704 - INFO - at 0:: CustomerAgent(mo006) create task: ([253.0, 259.0], 0) for (mo006, 3, Comp1)
2024-12-29 06:11:11,704 - INFO - at 0:: CustomerAgent(mo006) create task: ([259.0, 262.0], 0) for (mo006, 4, Comp1)
2024-12-29 06:11:11,705 - INFO - at 0:: CustomerAgent(mo006) create task: ([262.0, 267.0], 0) for (mo006, 5, Comp3)
2024-12-29 06:11:11,705 - INFO - at 0:: CustomerAgent(mo006) create task: ([267.0, 273.0], 0) for (mo006, 6, Comp1)
2024-12-29 06:11:11,707 - INFO - at 0:: CustomerAgent(mo006) create task: ([273.0, 279.0], 0) for (mo006, 7, Comp2)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo007) create task: ([403, 412.0], 0) for (mo007, 0, Comp2)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo007) create task: ([412.0, 413.0], 0) for (mo007, 1, Comp3)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo007) create task: ([413.0, 415.0], 0) for (mo007, 2, Comp1)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo007) create task: ([415.0, 418.0], 0) for (mo007, 3, Comp3)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo007) create task: ([418.0, 423.0], 0) for (mo007, 4, Comp2)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo007) create task: ([423.0, 426.0], 0) for (mo007, 5, Comp3)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo007) create task: ([426.0, 434.0], 0) for (mo007, 6, Comp1)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo007) create task: ([434.0, 437.0], 0) for (mo007, 7, Comp1)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo008) create task: ([151, 152.0], 0) for (mo008, 0, Comp1)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo008) create task: ([152.0, 158.0], 0) for (mo008, 1, Comp2)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo008) create task: ([158.0, 165.0], 0) for (mo008, 2, Comp2)
2024-12-29 06:11:11,708 - INFO - at 0:: CustomerAgent(mo008) create task: ([165.0, 172.0], 0) for (mo008, 3, Comp1)
2024-12-29 06:11:11,713 - INFO - at 0:: CustomerAgent(mo008) create task: ([172.0, 179.0], 0) for (mo008, 4, Comp1)
2024-12-29 06:11:11,714 - INFO - at 0:: CustomerAgent(mo009) create task: ([510, 512.0], 0) for (mo009, 0, Comp3)
