2024-12-29 06:21:37,057 - INFO - at 0:: CustomerAgent(mo001) create task: ([352, 355.0], 0) for (mo001, 0, Comp3)
2024-12-29 06:21:37,057 - INFO - at 0:: CustomerAgent(mo001) create task: ([355.0, 358.0], 0) for (mo001, 1, Comp3)
2024-12-29 06:21:37,058 - INFO - at 0:: CustomerAgent(mo001) create task: ([358.0, 364.0], 0) for (mo001, 2, Comp2)
2024-12-29 06:21:37,058 - INFO - at 0:: CustomerAgent(mo001) create task: ([364.0, 370.0], 0) for (mo001, 3, Comp1)
2024-12-29 06:21:37,058 - INFO - at 0:: CustomerAgent(mo001) create task: ([370.0, 378.0], 0) for (mo001, 4, Comp1)
2024-12-29 06:21:37,059 - INFO - at 0:: CustomerAgent(mo001) create task: ([378.0, 380.0], 0) for (mo001, 5, Comp2)
2024-12-29 06:21:37,059 - INFO - at 0:: CustomerAgent(mo002) create task: ([122, 124.0], 0) for (mo002, 0, Comp3)
2024-12-29 06:21:37,060 - INFO - at 0:: CustomerAgent(mo002) create task: ([124.0, 128.0], 0) for (mo002, 1, Comp3)
2024-12-29 06:21:37,060 - INFO - at 0:: CustomerAgent(mo002) create task: ([128.0, 130.0], 0) for (mo002, 2, Comp3)
2024-12-29 06:21:37,060 - INFO - at 0:: CustomerAgent(mo002) create task: ([130.0, 137.0], 0) for (mo002, 3, Comp3)
2024-12-29 06:21:37,060 - INFO - at 0:: CustomerAgent(mo002) create task: ([137.0, 139.0], 0) for (mo002, 4, Comp3)
2024-12-29 06:21:37,061 - INFO - at 0:: CustomerAgent(mo002) create task: ([139.0, 143.0], 0) for (mo002, 5, Comp2)
2024-12-29 06:21:37,061 - INFO - at 0:: CustomerAgent(mo003) create task: ([514, 522.0], 0) for (mo003, 0, Comp1)
2024-12-29 06:21:37,061 - INFO - at 0:: CustomerAgent(mo003) create task: ([522.0, 525.0], 0) for (mo003, 1, Comp2)
2024-12-29 06:21:37,062 - INFO - at 0:: CustomerAgent(mo003) create task: ([525.0, 530.0], 0) for (mo003, 2, Comp2)
2024-12-29 06:21:37,062 - INFO - at 0:: CustomerAgent(mo003) create task: ([530.0, 538.0], 0) for (mo003, 3, Comp1)
2024-12-29 06:21:37,062 - INFO - at 0:: CustomerAgent(mo003) create task: ([538.0, 543.0], 0) for (mo003, 4, Comp2)
2024-12-29 06:21:37,063 - INFO - at 0:: CustomerAgent(mo003) create task: ([543.0, 551.0], 0) for (mo003, 5, Comp3)
2024-12-29 06:21:37,063 - INFO - at 0:: CustomerAgent(mo003) create task: ([551.0, 559.0], 0) for (mo003, 6, Comp2)
2024-12-29 06:21:37,064 - INFO - at 0:: CustomerAgent(mo004) create task: ([477, 486.0], 0) for (mo004, 0, Comp1)
2024-12-29 06:21:37,065 - INFO - at 0:: CustomerAgent(mo004) create task: ([486.0, 493.0], 0) for (mo004, 1, Comp2)
2024-12-29 06:21:37,066 - INFO - at 0:: CustomerAgent(mo004) create task: ([493.0, 500.0], 0) for (mo004, 2, Comp3)
2024-12-29 06:21:37,066 - INFO - at 0:: CustomerAgent(mo004) create task: ([500.0, 503.0], 0) for (mo004, 3, Comp2)
2024-12-29 06:21:37,067 - INFO - at 0:: CustomerAgent(mo004) create task: ([503.0, 508.0], 0) for (mo004, 4, Comp3)
2024-12-29 06:21:37,067 - INFO - at 0:: CustomerAgent(mo004) create task: ([508.0, 514.0], 0) for (mo004, 5, Comp3)
2024-12-29 06:21:37,067 - INFO - at 0:: CustomerAgent(mo004) create task: ([514.0, 515.0], 0) for (mo004, 6, Comp1)
2024-12-29 06:21:37,068 - INFO - at 0:: CustomerAgent(mo004) create task: ([515.0, 519.0], 0) for (mo004, 7, Comp2)
