function_id,device_id
fn:2d5381037b0447a3a8496fa51f4cf774,dev:e81f0be40afb447d86ffdea45f0c3909
fn:2d5381037b0447a3a8496fa51f4cf774,dev:845a43db82ab4175b1059f8c19a037c6
fn:af67f328df0948a59803b9c991101715,dev:3773861383e14b88a0bcbef6acf35069
fn:af67f328df0948a59803b9c991101715,dev:14ec8f98a8284481b268562c005566ab
fn:af67f328df0948a59803b9c991101715,dev:90f6c1d4b35f41f88b7c23ab236156f3
fn:dcf28ca68e4a476b8b857c52eb7779c8,dev:17bb5c84c6d641f7bc0dc0e614828b33
fn:dcf28ca68e4a476b8b857c52eb7779c8,dev:03916930d0a6421bbaa64debc6f49772
fn:fb79d06941e6419a8363af03813952e0,dev:aa22956569354c2e9f2a1fe094629a51
fn:fb79d06941e6419a8363af03813952e0,dev:edef77ba468a458588ceb0a6fb28a11e
fn:706fc5cb1691432fab534a16a4e92ab1,dev:fc6f989ddf214d878ac3986e810abb86
fn:706fc5cb1691432fab534a16a4e92ab1,dev:aa22956569354c2e9f2a1fe094629a51
fn:ff9415dbd14247efa2436092f90852e9,dev:0ac2819f7fb2458fa24cdd0a8a2da306
fn:f90161b6f5c44df293f707bfb4a45469,dev:dd5e8dd9bd034f64b4ce9b3b43cbdb29
fn:f90161b6f5c44df293f707bfb4a45469,dev:7b6a4757c9224acd8ef4c21cddd5d4da
fn:9815be64cbd848f1a7a3a01d536c55ab,dev:9c728b1aa76d48c894326432ca49374f
fn:9815be64cbd848f1a7a3a01d536c55ab,dev:e308bba9c5934b5cb927e35ff2503a9b
fn:a8f7bec1ba5b4762956a7733e3d8d888,dev:fdf24243a4264dc0a850e61cf222adc1
fn:a8f7bec1ba5b4762956a7733e3d8d888,dev:9c728b1aa76d48c894326432ca49374f
fn:590f6751008048a1908727cb02ec567b,dev:cbe512dea6c44c18a5aaca7a075def18
fn:c989d3c229fd4427978b3d40080e2b2e,dev:a4f7e155109c47c9bdec8250d2576ac8
fn:c989d3c229fd4427978b3d40080e2b2e,dev:b6d5ea44033c41159904ee8fae2b96d3
fn:d89ec17bf89f490aa610d957b1be7434,dev:45c5ae76769643e78a8f5704859d45e4
fn:d89ec17bf89f490aa610d957b1be7434,dev:414e61e0371142fab1ccdc2aaf095f09
fn:d89ec17bf89f490aa610d957b1be7434,dev:67a7c905e86a41939ec611e8be49de7e
fn:eb73cc8bc78842d1a6e7394483424cc4,dev:19f2f9b6b97b445b86738ae6f8c3e483
fn:eb73cc8bc78842d1a6e7394483424cc4,dev:ac4331d3c8fa4318be70a0a33b2b383f
fn:99ae99e24e10461c8676e932adb99c52,dev:abf18a5f270e44a6aac24fed78480e1a
fn:99ae99e24e10461c8676e932adb99c52,dev:cdff65af18e44837b8c7314a1281d6f1
fn:99ae99e24e10461c8676e932adb99c52,dev:724872ac6b7442a78cf4c2e6f0e69bd2
fn:d80d217a5a37461abc25d5cedd806fd1,dev:cfef99c2a5f54e839a77bf5d45c1d248
fn:d80d217a5a37461abc25d5cedd806fd1,dev:a5a33ddfecac46979ccf261293d70b20
fn:bf0cddf420b0489c902e32dc94c9ae21,dev:1d32b4d6a7fd4144a8d8ae713573e297
fn:bf0cddf420b0489c902e32dc94c9ae21,dev:31ff8321bd1c4d4fa4cba7da8f4b47fc
fn:077ead78bd6e4281b361358baf6a7cab,dev:2e9b6afa76604dde995d455a00ca9cb4
fn:67a74c4101864e6082bc9bd1964e0589,dev:31ff8321bd1c4d4fa4cba7da8f4b47fc
fn:67a74c4101864e6082bc9bd1964e0589,dev:f269554404684c39943e86512ee57160
fn:49b8a2313d684b1c9368c6d3c96c64cf,dev:762f0507d6e34964b5bc93286f90010d
fn:49b8a2313d684b1c9368c6d3c96c64cf,dev:b3a9cecae6f340dbaa342679d9239c07
fn:0ccc7b137c0948e1a5e679ea0428bffd,dev:a00bb0ead1fa49d98bf7105e1b0f168c
fn:7e27a12468194c83b7f66216f14e15c3,dev:0340acf7f8844e2bae1ca023a99fac48
