manufacturing_orders.uid,manufacturing_orders.name,manufacturing_orders.release_date,manufacturing_orders.due_date,manufacturing_orders.max_cost,manufacturing_orders.problem_id
mo:f3b1c451a57e402f84409535b75d924e,mo001,373,463,,pb:018c320be46147e6844687c5f104800f
mo:aa40fcf7485946e4bd0480bf164ddf32,mo002,217,277,,pb:018c320be46147e6844687c5f104800f
mo:9a95c1de519142459f179232acbfd82f,mo003,409,459,,pb:018c320be46147e6844687c5f104800f
mo:1316cf80699b4edba387105ef9ec40a5,mo004,18,68,,pb:018c320be46147e6844687c5f104800f
mo:d820e2c63ccf479b9dae9a22899b7e22,mo005,470,520,,pb:018c320be46147e6844687c5f104800f
mo:965bc3e5d28b42f9bf32cae76ead72b9,mo006,442,522,,pb:018c320be46147e6844687c5f104800f
mo:73eb0379d027465f9e0636b5f8400eba,mo007,566,626,,pb:018c320be46147e6844687c5f104800f
mo:d7b9ac23701e480893d47ddd68c6da88,mo008,352,432,,pb:018c320be46147e6844687c5f104800f
mo:51b3cecb8aea4ee09813d1f0490981d2,mo009,615,665,,pb:018c320be46147e6844687c5f104800f
mo:d49c46354f0a4ae791d1a20db64f8af5,mo010,124,184,,pb:018c320be46147e6844687c5f104800f
mo:7590645519ce479db9149d327fbae57e,mo011,349,409,,pb:018c320be46147e6844687c5f104800f
mo:1fe452808ce14d2e8d16fe8e1a218fa6,mo012,431,491,,pb:018c320be46147e6844687c5f104800f
mo:8d99121e3f1749df8f55cf1a2631e8b6,mo013,135,195,,pb:018c320be46147e6844687c5f104800f
mo:87d967e0d50c40ce8218aa72b7de0bbc,mo014,122,202,,pb:018c320be46147e6844687c5f104800f
mo:56abae457e3d47fab6824922394d050a,mo015,395,475,,pb:018c320be46147e6844687c5f104800f
mo:978d0cc856b94546a8fcaedd721db777,mo016,95,185,,pb:018c320be46147e6844687c5f104800f
mo:4e743761ef8543309176a4541a15cadf,mo017,325,385,,pb:018c320be46147e6844687c5f104800f
