uid,duration,routing_id
tf:6d4e76e165d54fe3b18b28d7eb57b2a6,6.0,ro:993fb38d9fa749e6b8cf911e10d66234
tf:0c72cec1ace14827a33000c6bc65d40e,8.0,ro:993fb38d9fa749e6b8cf911e10d66234
tf:6cc692ecdb0647a9861aa42cc3bb418d,2.0,ro:993fb38d9fa749e6b8cf911e10d66234
tf:6d57abb7c2c54b1398cd4064820cb374,4.0,ro:993fb38d9fa749e6b8cf911e10d66234
tf:6d3a6ebff8de4d5a9b6be53d4c16017f,3.0,ro:993fb38d9fa749e6b8cf911e10d66234
tf:cf13890e521a4938ae5aa8f55d09d20c,4.0,ro:993fb38d9fa749e6b8cf911e10d66234
tf:94605028f5654634b4bd62ba5245cc4e,2.0,ro:993fb38d9fa749e6b8cf911e10d66234
tf:1a6c69c5bd354fdabcdf6ce7be0cc600,2.0,ro:582c9aa8207240f18fd0528994b31180
tf:2c152fbb715d4454ace903f75819186f,9.0,ro:582c9aa8207240f18fd0528994b31180
tf:85901464730547c7a0bcfab03df71f4f,6.0,ro:582c9aa8207240f18fd0528994b31180
tf:913ac70e20334f62bdf3499a2b5566d8,1.0,ro:582c9aa8207240f18fd0528994b31180
tf:bfe5177685bb40a587c2553b3a63a0be,5.0,ro:582c9aa8207240f18fd0528994b31180
tf:2e18dd9b08e14a26843ddb64bdb7afed,8.0,ro:582c9aa8207240f18fd0528994b31180
tf:4c76d4ebe03b463d8859265fa47cb5ad,6.0,ro:21ea7ac5c96849a18295743d0baddbad
tf:b7bec9bf732647be967ee5f03f4b07c2,9.0,ro:21ea7ac5c96849a18295743d0baddbad
tf:c6fe719a8e85474081d7cd2c27e3e895,7.0,ro:21ea7ac5c96849a18295743d0baddbad
tf:1cbbb772ea1548638d5dd31a49bf22e5,9.0,ro:21ea7ac5c96849a18295743d0baddbad
tf:ed88f4d9a97e4592881ec1f6eef75423,9.0,ro:21ea7ac5c96849a18295743d0baddbad
tf:79e927ac8e2b403a9964359de6fc0289,2.0,ro:fc661f3800934f3aa7777eed18a60a50
tf:ad367dafaccb414ca45b3f0f2fc52f87,8.0,ro:fc661f3800934f3aa7777eed18a60a50
tf:31d7fa1cf04d438a9bd3f603137f0c2c,7.0,ro:fc661f3800934f3aa7777eed18a60a50
tf:2b189b90cba642d1a262bfada577a92f,3.0,ro:fc661f3800934f3aa7777eed18a60a50
tf:1306f0a72d8f42e5af7afbe6f85f020b,8.0,ro:fc661f3800934f3aa7777eed18a60a50
tf:5cda0c401df64df78d3fb5449574298a,4.0,ro:fc661f3800934f3aa7777eed18a60a50
tf:1f2a71b6c4d34d03bf480159e7a7f0dd,5.0,ro:fc661f3800934f3aa7777eed18a60a50
tf:37977e27c90a42fa8c0f53b2becae46d,7.0,ro:fc661f3800934f3aa7777eed18a60a50
tf:50d1e6f14ab743e89e9df5091d842259,9.0,ro:f80c7cae11e04580b6cefae3da69d912
tf:5603ef42baa3430689f4416a3e4247b2,6.0,ro:f80c7cae11e04580b6cefae3da69d912
tf:707b7043214f4844815c50e1d35d4f4e,8.0,ro:f80c7cae11e04580b6cefae3da69d912
tf:c04762e1afda499785667aa1ba0d14fb,1.0,ro:f80c7cae11e04580b6cefae3da69d912
tf:72fd697d59804c38ada962e3adc6166e,1.0,ro:f80c7cae11e04580b6cefae3da69d912
tf:3f807ed778dd42dcbc29b40d825d115f,2.0,ro:f80c7cae11e04580b6cefae3da69d912
tf:81540fbd04e141b8a8bec1b5abb04877,1.0,ro:f80c7cae11e04580b6cefae3da69d912
tf:d71c2d18b05e4b0c8af19934e242e4a3,6.0,ro:f80c7cae11e04580b6cefae3da69d912
tf:0d8e313cd2af43acac8cee72b3d47ec0,5.0,ro:cc6ac70c40aa46d49df0b3e1aab4c27c
tf:fd2ceebb56434e27984465057dfe0c0d,1.0,ro:cc6ac70c40aa46d49df0b3e1aab4c27c
tf:27d8ba02ba704f629f41b64c3e017e83,9.0,ro:cc6ac70c40aa46d49df0b3e1aab4c27c
tf:202a80a4832645ebbbe2c98bd47b1101,6.0,ro:cc6ac70c40aa46d49df0b3e1aab4c27c
tf:41a0d5562e354e6a9452559e86c5fde6,5.0,ro:cc6ac70c40aa46d49df0b3e1aab4c27c
tf:968175181d744c6a85e733d44f8e8cdf,3.0,ro:cc6ac70c40aa46d49df0b3e1aab4c27c
tf:0016ca824d4d4d77a9495d8e6e7df4dc,3.0,ro:cc6ac70c40aa46d49df0b3e1aab4c27c
tf:f03968ecb497407ea4898282bae10f26,1.0,ro:cc6ac70c40aa46d49df0b3e1aab4c27c
