uid,name,type
ma:93ae518e7b5444ad96bdad9bf1b128d1,ma1,machines
ma:b578662aced74bd4b1b185bd50f7777f,ma2,machines
ma:42a852092bb2475597965495cf28adc2,ma3,machines
mr:2fe8fbd94cce4164b4e872cc3c31b374,mr1,maintenance_ressources
mr:8be6cfeed6074b10b01e2766a0088cea,mr2,maintenance_ressources
ma:3e1b32ad123d427aa0fe4dbded79377a,ma1,machines
ma:b301f78b09f94e4f80131d7818df033a,ma2,machines
ma:8e508633942f467daba058fd25409e2b,ma3,machines
mr:ddd54e3c831042bcb77d960bee536350,mr1,maintenance_ressources
mr:6fc3dc291d2740dd998877935d09e2ff,mr2,maintenance_ressources
ma:c5b807781ea94c52a7bde639541d2c8c,ma1,machines
ma:c9964af24ae748de9b5416a01816cebe,ma2,machines
ma:e90b4a14fa6c41eb9815084e5877084f,ma3,machines
mr:38fa095846334aab820da13633199ee0,mr1,maintenance_ressources
mr:ed5f57acf95a4f71a56efca17c9dc32c,mr2,maintenance_ressources
ma:29f937e726ec499383eeb4f00b586de6,ma1,machines
ma:4cf007d02d0146679cdcc43676df983d,ma2,machines
ma:b2b1a07789ce423a9af01696e50ae0d1,ma3,machines
ma:337b1589088344eead3c231c9a5bcee7,ma1,machines
ma:610f1503985f48c3af95908dc0de1351,ma2,machines
ma:4e41206450744aea815783fb83bfa83e,ma3,machines
ma:9d6d985485924e748c176c46ab172510,ma1,machines
ma:827479427a5843d1af52efcbec8c19ca,ma2,machines
ma:c58901428d5940a793441cd3125c1240,ma3,machines
mr:7f23482653f04634824519a56bb24483,mr1,maintenance_ressources
mr:4520e3287e7f46988e2775b438a7f9b8,mr2,maintenance_ressources
mr:3444c94c291f4d4c91a6ca1429f52cac,mr1,maintenance_ressources
mr:791eb1b5ff734f199e487fe753e0c649,mr2,maintenance_ressources
ma:e7945149d0884ae18950b5db2c52af3d,ma1,machines
ma:b0818cfc54c34afeac10d8239ef086e1,ma2,machines
ma:7c9d0b9ef6424c0ea984aee5bb5c6219,ma3,machines
mr:c380fd10e7d84c46bbeb8c36616bc952,mr1,maintenance_ressources
mr:c07aaed76e8f4c178c74980208673ce6,mr2,maintenance_ressources
mr:f99a846ddb8f44898ca7adf6e966b2f2,mr1,maintenance_ressources
mr:c1ef0b47177f443e87ce70132c6fc7e6,mr2,maintenance_ressources
ma:54b3c289aed04904a79a76bc1a973685,ma1,machines
ma:697da3c276774479bd2a4fdcae9c6d08,ma2,machines
ma:63c89d9052c546ff8ab8b5f1c7071bb1,ma3,machines
mr:a68fa97dc0184868860ea22116a7073a,mr1,maintenance_ressources
mr:1c6d22de3bcc4e45bb68e254b4c2203b,mr2,maintenance_ressources
ma:4c3cb83aa8064e9c879a3a8f04b6d8da,ma1,machines
ma:9f6b20c429f34831bc03c085877a0295,ma2,machines
ma:0c18581713f346f591d15e1bd5e1c805,ma3,machines
mr:6d586c3146e04335b78426609b3e5b6a,mr1,maintenance_ressources
mr:3fab7a17ea0844a38c980f31f20bdff4,mr2,maintenance_ressources
ma:0716fe3a83684bdabdf879b5c9aaa0dd,ma1,machines
ma:5cd5b7c28baa4a5a856b8e9127ed1753,ma2,machines
ma:d301012b85ed425c821546a0013f08b6,ma3,machines
mr:58aded4da6134a3bb2c23c882311c6b9,mr1,maintenance_ressources
mr:859a5579a299402d967c0542151e59c4,mr2,maintenance_ressources
