uid,order_id
ro:993fb38d9fa749e6b8cf911e10d66234,mo:1673753d4a494785a4df8249941584db
ro:582c9aa8207240f18fd0528994b31180,mo:9710b5f8df6a4c1a8db794b87ba24bd9
ro:21ea7ac5c96849a18295743d0baddbad,mo:6529fce3de794acfae2a43d5b239cdb1
ro:fc661f3800934f3aa7777eed18a60a50,mo:79e03a22406a46ce8cc8ae029e8dd376
ro:f80c7cae11e04580b6cefae3da69d912,mo:72c1055bd837491c89e8116cc26d97f8
ro:cc6ac70c40aa46d49df0b3e1aab4c27c,mo:39d74c66a55947e19e4f59e27f7618b7
ro:f3ff0936bbbe44c5b2bba973ed8e0357,mo:d3e164703f31496488364a0322c97bfa
ro:6f0e8f2d941a453cae57f4dd9ca7e8ae,mo:5df2aed3d4d94c1ba13e752750a160f4
ro:bd292bf19e8e464f85f0660b9635426c,mo:c6bcb5f823a64e8ca4f0181a9dfb1c15
ro:84769234ad1244fab18f5e1ac76af734,mo:f49243619b02449088be427e81b45587
ro:0e6b9161d5814f8795074bd153f916cc,mo:cb1e58354fef4726a3b7cf128e682f81
ro:99f978d58c4d44e48ee0e0ecb7ce0df3,mo:9dd7722df6cf44719c9be4761beb4dd5
ro:8ccbdc7ccf2c438d814eb7edf0d18780,mo:73d813f518c3442cae33eed0ae57bfb0
ro:ccf2ab3e5e3d49409db8343a2f026164,mo:9a6b21d6d5e44fa0927b4d5dfeacbd1e
ro:e57d4f33200c49b8afb6e70b7ff776cf,mo:e605220a4bf64a219668f8bad8b64b21
ro:eae191c75375499993e85e05201c050f,mo:8463a9b728484e0093992d816c62ad6f
ro:6593a640f2f849308daf69dd23129a7d,mo:2f1a45aed7924ba8a801f53134842819
ro:493f95e036bf447081cc2981b7d6ff56,mo:6de79ecd7b144eea8f405726579ee63f
ro:153059c3eb9a4071a6a90c86083d651b,mo:0218d991ac7c47c799d8d1642433458c
ro:d671f57328c34935b3791b1a62b05e5e,mo:7fda1265fa684f66aa8668a270453ebe
ro:da7a5c0374934d4bb30bf86c9b9d66fc,mo:b6e0b7b1f0764559b4232daed4ae008a
ro:167f0dda99014670a83431f95c82ab52,mo:c1eade49bcd347b78cbe23f7e5c57d2f
ro:1993d8c636ab452e939ec717ee00818d,mo:52602e387ea34b28817a9fff5193515e
ro:e30c8de3d4374d9b93c9009bfeeb1388,mo:6f03d9ad95a0446c8e281d6ec140c5ef
ro:4f83bbe9e1e7474589e81e77584a010a,mo:a45bac92a29744c9866556b111792034
ro:dc3d703b75aa40e1a997bd342dd15ade,mo:a5b999dde5b948108e09a34eae6a8713
ro:5714df987ca44216bd6f59f5d0823002,mo:72a7cc3c776f4fe4bfb93abf51bcb7a1
ro:db23c0d8723c4bc3a4f57f3506b1d4bd,mo:3be580ead8e445788becd514beec53f9
ro:5806698dddbd4efe88cdd14ee414ff84,mo:535f713cba264302a9f35ebfea412630
ro:d3c02bb4ac004d98b044da4dd07cfffd,mo:400baeb26eb84b2598dcc9eb40d24150
ro:2cdbd67572ff4c5e99277ef3df378a98,mo:bfeda51e87ba4f14bcc65395f5ba1644
ro:a884092947154c70b53ee2840a39d9c3,mo:32ca2c7a5bf24c77832378e44da5bb10
ro:e728e817a35d4f628d3841ff4f6e50e5,mo:4d570c0b8f194ebf8b68621f09e0282d
ro:0fa74a1d62884a91b13d53ecabe9d0c2,mo:d5453ffb2bbc424ba8ebf24a013d9c59
ro:83006e7a4b164e2d86829669cc0844ca,mo:96d53af435e84c489e08ebbc227679d4
ro:6c54beb71c6a4e94a05109e798dbf6a3,mo:91ccfa3b3e024e7f8db450aace965959
ro:925c87c9314a48fab290e678a5b98737,mo:226427065f554564ab2580782bff361d
