uid,rank,activity,type
tf:6d4e76e165d54fe3b18b28d7eb57b2a6,0,Comp2,production_tasks
tf:0c72cec1ace14827a33000c6bc65d40e,1,Comp2,production_tasks
tf:6cc692ecdb0647a9861aa42cc3bb418d,2,Comp2,production_tasks
tf:6d57abb7c2c54b1398cd4064820cb374,3,Comp1,production_tasks
tf:6d3a6ebff8de4d5a9b6be53d4c16017f,4,Comp1,production_tasks
tf:cf13890e521a4938ae5aa8f55d09d20c,5,Comp3,production_tasks
tf:94605028f5654634b4bd62ba5245cc4e,6,Comp3,production_tasks
tf:1a6c69c5bd354fdabcdf6ce7be0cc600,0,Comp3,production_tasks
tf:2c152fbb715d4454ace903f75819186f,1,Comp2,production_tasks
tf:85901464730547c7a0bcfab03df71f4f,2,Comp2,production_tasks
tf:913ac70e20334f62bdf3499a2b5566d8,3,Comp3,production_tasks
tf:bfe5177685bb40a587c2553b3a63a0be,4,Comp3,production_tasks
tf:2e18dd9b08e14a26843ddb64bdb7afed,5,Comp1,production_tasks
tf:4c76d4ebe03b463d8859265fa47cb5ad,0,Comp1,production_tasks
tf:b7bec9bf732647be967ee5f03f4b07c2,1,Comp3,production_tasks
tf:c6fe719a8e85474081d7cd2c27e3e895,2,Comp3,production_tasks
tf:1cbbb772ea1548638d5dd31a49bf22e5,3,Comp1,production_tasks
tf:ed88f4d9a97e4592881ec1f6eef75423,4,Comp1,production_tasks
tf:79e927ac8e2b403a9964359de6fc0289,0,Comp1,production_tasks
tf:ad367dafaccb414ca45b3f0f2fc52f87,1,Comp3,production_tasks
tf:31d7fa1cf04d438a9bd3f603137f0c2c,2,Comp2,production_tasks
tf:2b189b90cba642d1a262bfada577a92f,3,Comp1,production_tasks
tf:1306f0a72d8f42e5af7afbe6f85f020b,4,Comp1,production_tasks
tf:5cda0c401df64df78d3fb5449574298a,5,Comp1,production_tasks
tf:1f2a71b6c4d34d03bf480159e7a7f0dd,6,Comp1,production_tasks
tf:37977e27c90a42fa8c0f53b2becae46d,7,Comp1,production_tasks
tf:50d1e6f14ab743e89e9df5091d842259,0,Comp3,production_tasks
tf:5603ef42baa3430689f4416a3e4247b2,1,Comp2,production_tasks
tf:707b7043214f4844815c50e1d35d4f4e,2,Comp3,production_tasks
tf:c04762e1afda499785667aa1ba0d14fb,3,Comp3,production_tasks
tf:72fd697d59804c38ada962e3adc6166e,4,Comp2,production_tasks
tf:3f807ed778dd42dcbc29b40d825d115f,5,Comp2,production_tasks
tf:81540fbd04e141b8a8bec1b5abb04877,6,Comp1,production_tasks
tf:d71c2d18b05e4b0c8af19934e242e4a3,7,Comp3,production_tasks
tf:0d8e313cd2af43acac8cee72b3d47ec0,0,Comp3,production_tasks
tf:fd2ceebb56434e27984465057dfe0c0d,1,Comp3,production_tasks
tf:27d8ba02ba704f629f41b64c3e017e83,2,Comp3,production_tasks
tf:202a80a4832645ebbbe2c98bd47b1101,3,Comp1,production_tasks
tf:41a0d5562e354e6a9452559e86c5fde6,4,Comp2,production_tasks
tf:968175181d744c6a85e733d44f8e8cdf,5,Comp1,production_tasks
tf:0016ca824d4d4d77a9495d8e6e7df4dc,6,Comp2,production_tasks
tf:f03968ecb497407ea4898282bae10f26,7,Comp2,production_tasks
tf:c45d552ad44748389756510d01f67168,8,Comp1,production_tasks
tf:13728d2c142d445b891c3edb32ee39f4,0,Comp1,production_tasks
tf:bea9d28a20d047caa3a7e858471b33e8,1,Comp2,production_tasks
tf:92eabcb9ce764e42a5f0a05136248daa,2,Comp3,production_tasks
tf:4bb84a8234754d10bab2736a84bf206a,3,Comp3,production_tasks
tf:f4304ab844a742edab1cdce09485e4f9,4,Comp3,production_tasks
tf:b2fc10fdc1e749259de3835cb28c4c87,5,Comp2,production_tasks
tf:1534f84f9e634563bf6c21dc0899945a,6,Comp1,production_tasks
tf:51b5d83673504a9ba0094af9c0922238,7,Comp2,production_tasks
tf:164f06dcaacb448e8cdfc6e744cf2f59,8,Comp3,production_tasks
tf:e448a17743174f1fbfe7cc7b93d008bb,0,Comp2,production_tasks
tf:ea6bb0a3d67d4fb194545547a4b3a89e,1,Comp3,production_tasks
tf:7806496dc7274cf3a25949559732b8b7,2,Comp3,production_tasks
tf:44daa9b2a69c4edfab780bbc7526084a,3,Comp1,production_tasks
tf:791caacf6b2345f79025cc6afce0e91c,4,Comp1,production_tasks
tf:5f46e2fe702b41debb49e7c9e7826bde,5,Comp1,production_tasks
tf:e7e3ac6de95d478ca9533174f0c0b799,0,Comp3,production_tasks
tf:b8f6c4086b764d97821072867fc95995,1,Comp3,production_tasks
tf:d435df519f49433e8968a1d6022964ab,2,Comp2,production_tasks
