competencies.uid,competencies.activity,competencies.capability,competencies.cost,competencies.type,competencies.ressource_id
comp:787607db21dd46f3975ca7261aa48116,Comp1,1.5,0.0,production_competencies,ma:a9e04afc5c5641c1b99c3d5df53cd42d
comp:b9f3b4aca01c43f3afad79395ed5c5eb,Comp2,1.0,0.0,production_competencies,ma:a9e04afc5c5641c1b99c3d5df53cd42d
comp:a5aa4a26816b41998cf2aa785d7b7644,Comp3,1.5,0.0,production_competencies,ma:acc5c8d32f0c4584a341f4b425ac1a45
comp:be29c34963dd42a69b9b2eed731e3f00,Comp1,1.0,0.0,production_competencies,ma:d92c3cb97f434cafb74a33f2abe01268
comp:ba40d8db320449e2882e59ccbb5a674d,Comp3,1.0,0.0,production_competencies,ma:d92c3cb97f434cafb74a33f2abe01268
comp:a5871fcf7be94786aa9e891d0d5ad3c5,R1,1.0,0.0,maintenance_competencies,mr:f2b0a4e30ca24e298f3fe7e089ed4881
comp:493f6d7f92f54748bdcb544d77900de4,R2,1.0,0.0,maintenance_competencies,mr:25a011e46f574b7d89a71076049428ea
comp:3ba48630fed040748a69070a7717c7a1,Comp1,1.5,0.0,production_competencies,ma:8fb0aa48979149ccaa27c32f54a499be
comp:3a3c2ad0c8b549ae8587cf3ebc8fd591,Comp2,1.0,0.0,production_competencies,ma:8fb0aa48979149ccaa27c32f54a499be
comp:05c2d96591494f4abeb3e774cb4bef43,Comp3,1.5,0.0,production_competencies,ma:b61bdbce3b5e4028aa7f0e2bdae79522
comp:4cbbbb731a1847649ec2deca549176d5,Comp1,1.0,0.0,production_competencies,ma:2d06e2ff58e048f28d8f77034ea3d83d
comp:1ddf25b21d9f4fbbaaaaf57e77de8073,Comp3,1.0,0.0,production_competencies,ma:2d06e2ff58e048f28d8f77034ea3d83d
comp:fed2059db8584c2982e2224bb27a36f1,R1,1.0,0.0,maintenance_competencies,mr:3cbe77ad209c4b35b650910a38b45289
comp:aeb245cbff1a484199c692802ef90517,R2,1.0,0.0,maintenance_competencies,mr:c31ac3a6967a491e858c525f80d89cde
comp:25c019d5dbc74341bea01cc9c3748107,Comp1,1.5,0.0,production_competencies,ma:0ca42e9ffd8c42e291cbdb4e0a808434
comp:82c6adecd96748e28e45147e12e38a44,Comp2,1.0,0.0,production_competencies,ma:0ca42e9ffd8c42e291cbdb4e0a808434
comp:ac2a444b45524efaa25134fe07e9c627,Comp3,1.5,0.0,production_competencies,ma:9180381d9c3f435795dc110c6b9d713e
comp:72649f70e15f4799845e5ff454318557,Comp1,1.0,0.0,production_competencies,ma:5edd10fc9fdc49d1af00c922f032d16c
comp:cc90d190f91a478193ce313193b6b661,Comp3,1.0,0.0,production_competencies,ma:5edd10fc9fdc49d1af00c922f032d16c
comp:ab29a778133f4eb791081638693ab07d,R1,1.0,0.0,maintenance_competencies,mr:6b89d83ab91c4080b130c1d3ea872324
comp:36682eaa7c1943e8ab8d33166f88c1d8,R2,1.0,0.0,maintenance_competencies,mr:ca39caf83c1c44e885a0a470191f9b24
comp:3dd3a0a7fc6c4d4faa86a78b95586db2,Comp1,1.5,0.0,production_competencies,ma:6306e0a47ec44d1a8f62a524509e4534
comp:0088b30e8b884c75ab3a561ae99481ce,Comp2,1.0,0.0,production_competencies,ma:6306e0a47ec44d1a8f62a524509e4534
comp:f5dd6bbb634540c3b6bc33dfa7aeb772,Comp3,1.5,0.0,production_competencies,ma:c83e02cfdfee42fc959424ebc49a69f7
comp:a6fa7c907f5e4d2d91cabbf49877706b,Comp1,1.0,0.0,production_competencies,ma:448666324cde4fcb91805b2274416bf9
comp:abe17da552354a7db10984d89ae40636,Comp3,1.0,0.0,production_competencies,ma:448666324cde4fcb91805b2274416bf9
