devices.uid,devices.name,devices.risk_threshold,devices.repair_time,devices.use_duration,devices.repair_skill,devices.json_law,devices.machine_id,devices.phm_module_id
dev:5e9ddde01bf7477eb50088a50aa32848,Dv1,0.01,5.0,230.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 99.06212837226583, ""scale"": 2.0}}",ma:a9e04afc5c5641c1b99c3d5df53cd42d,phm:fcc271d05a16475892b16905b54618fe
dev:aad8dafb00c945f897ec2c914982bf6a,Dv2,0.01,5.0,230.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:a9e04afc5c5641c1b99c3d5df53cd42d,phm:fcc271d05a16475892b16905b54618fe
dev:3a846c33da374c3f9f1401a2204e3569,Dv3,0.01,5.0,26.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 90.00555691471268, ""scale"": 2.0}}",ma:a9e04afc5c5641c1b99c3d5df53cd42d,phm:fcc271d05a16475892b16905b54618fe
dev:6de35e22e1a544af858416b20541ff5c,Dv4,0.01,5.0,78.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:a9e04afc5c5641c1b99c3d5df53cd42d,phm:fcc271d05a16475892b16905b54618fe
dev:a7369e9302fb474480d98fb36e7805fb,Dv1,0.01,5.0,49.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:acc5c8d32f0c4584a341f4b425ac1a45,phm:fcc271d05a16475892b16905b54618fe
dev:f7b8be5d187d41c18daa4930d849d1f3,Dv2,0.01,5.0,3.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 99.70356531650296, ""scale"": 2.0}}",ma:acc5c8d32f0c4584a341f4b425ac1a45,phm:fcc271d05a16475892b16905b54618fe
dev:0592325e831a4a5f9d52e0acc74fd94f,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:acc5c8d32f0c4584a341f4b425ac1a45,phm:fcc271d05a16475892b16905b54618fe
dev:2bcbd013b84b4e78a5c20ba62468f302,Dv4,0.01,5.0,30.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 91.50612865131882, ""scale"": 2.0}}",ma:acc5c8d32f0c4584a341f4b425ac1a45,phm:fcc271d05a16475892b16905b54618fe
dev:17f1f5b33bb74dbcbdde05dbe06cb9f7,Dv1,0.01,5.0,145.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:d92c3cb97f434cafb74a33f2abe01268,phm:fcc271d05a16475892b16905b54618fe
dev:4f8c5a5364294099ad1a74332cd83b7e,Dv2,0.01,5.0,31.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 98.6347362217195, ""scale"": 2.0}}",ma:d92c3cb97f434cafb74a33f2abe01268,phm:fcc271d05a16475892b16905b54618fe
