functions.uid,functions.name,functions.redundant,functions.machine_id,functions.competency_id
fn:ec14859a54f14f8cbb3920cdc89189fc,F1,False,ma:a9e04afc5c5641c1b99c3d5df53cd42d,comp:787607db21dd46f3975ca7261aa48116
fn:a7086c96523b4d60b1fd49f9af3a3b99,F2,True,ma:a9e04afc5c5641c1b99c3d5df53cd42d,comp:b9f3b4aca01c43f3afad79395ed5c5eb
fn:0a32b442125a4624ba0604348fd10f80,F1,False,ma:acc5c8d32f0c4584a341f4b425ac1a45,comp:a5aa4a26816b41998cf2aa785d7b7644
fn:5ee3fb2d847d4586b811fdde71312e75,F1,False,ma:d92c3cb97f434cafb74a33f2abe01268,comp:be29c34963dd42a69b9b2eed731e3f00
fn:f23a00f32da94033adf8045193a71af0,F2,False,ma:d92c3cb97f434cafb74a33f2abe01268,comp:ba40d8db320449e2882e59ccbb5a674d
fn:af8410c695f144739f88e321eabc51f4,f1,False,,
fn:99b1829af2d6418eae965f20ddd0faad,f2,False,,
fn:11afe39dd9b44cab949cb9fc4298a4d5,f1,False,,
fn:2f9064c2a61049c8b2dd85d438707dae,f2,True,,
fn:0f24e43f3a7049c682c0449cb7f04d06,f1,False,,
fn:d792313e8bd14317875c4c2e6d9f411e,f2,True,,
fn:9548ab2ce36a4d8e878fb85f3f9902c7,F1,False,ma:8fb0aa48979149ccaa27c32f54a499be,comp:3ba48630fed040748a69070a7717c7a1
fn:1484aaee755f4c1bbddd7fa0e533f94f,F2,True,ma:8fb0aa48979149ccaa27c32f54a499be,comp:3a3c2ad0c8b549ae8587cf3ebc8fd591
fn:bacaf72c7f344fe388f852709ce7aad0,F1,False,ma:b61bdbce3b5e4028aa7f0e2bdae79522,comp:05c2d96591494f4abeb3e774cb4bef43
fn:a1b6ad8182d84ded817fa71108dd4d0e,F1,False,ma:2d06e2ff58e048f28d8f77034ea3d83d,comp:4cbbbb731a1847649ec2deca549176d5
fn:2fd73c18e9e8439a914085615a74616d,F2,False,ma:2d06e2ff58e048f28d8f77034ea3d83d,comp:1ddf25b21d9f4fbbaaaaf57e77de8073
fn:87927f7caedc4e6bb938f48f3688f451,f1,False,,
fn:97124ef0e90546bea413af19d7bc31b4,f2,False,,
fn:9feeaed6fab045c2b71202594ae32db6,f1,False,,
fn:7b7739b486844a40ba84674ae7524a1d,f2,True,,
fn:a4c0a7e6563842cf8ba39774fcfec448,f1,False,,
fn:003089638b2e44ecad046b939ca74787,f2,True,,
fn:fe4974fd239e46e7af0a187b63a01c18,F1,False,ma:0ca42e9ffd8c42e291cbdb4e0a808434,comp:25c019d5dbc74341bea01cc9c3748107
fn:a98eb150eaab4562862872bf89288bdc,F2,True,ma:0ca42e9ffd8c42e291cbdb4e0a808434,comp:82c6adecd96748e28e45147e12e38a44
fn:2fc6467400bb499bb2b169cd7289fad5,F1,False,ma:9180381d9c3f435795dc110c6b9d713e,comp:ac2a444b45524efaa25134fe07e9c627
fn:8cde9fd6b86f492d84ca91ea866f482a,F1,False,ma:5edd10fc9fdc49d1af00c922f032d16c,comp:72649f70e15f4799845e5ff454318557
fn:b1a4e28b0c384efbb11f299bfad5de8e,F2,False,ma:5edd10fc9fdc49d1af00c922f032d16c,comp:cc90d190f91a478193ce313193b6b661
fn:dc4e27d9a04041e98275f5108d3b6ffa,f1,False,,
fn:4cb4d3e54ff345d5a814d37e9a114dec,f2,False,,
fn:cba55cd66cf544949688a6ce3a0f6cda,f1,False,,
fn:bedbaef081ac472ba659d53e96b0176b,f2,True,,
fn:f722b9725834415eaeb24f3f633cbf3d,f1,False,,
fn:c75fe62af05d427e90e86c893773ab56,f2,True,,
fn:eb014c928b4f4f48a418e33d24b260dd,F1,False,ma:6306e0a47ec44d1a8f62a524509e4534,comp:3dd3a0a7fc6c4d4faa86a78b95586db2
fn:5c26668d458a43bfa55c9bf84bbf9b19,F2,True,ma:6306e0a47ec44d1a8f62a524509e4534,comp:0088b30e8b884c75ab3a561ae99481ce
fn:8e3952cfc7bd436381413a218701e4e6,F1,False,ma:c83e02cfdfee42fc959424ebc49a69f7,comp:f5dd6bbb634540c3b6bc33dfa7aeb772
fn:0f9cb2e7ecd048abb9d271ae33f46d1e,F1,False,ma:448666324cde4fcb91805b2274416bf9,comp:a6fa7c907f5e4d2d91cabbf49877706b
fn:70552b4e3bb94f8a82bd620a4e138f3f,F2,False,ma:448666324cde4fcb91805b2274416bf9,comp:abe17da552354a7db10984d89ae40636
fn:d85f3fc83e0b46ff85c670e98cb1dda5,f1,False,,
fn:d6162fa901af4e6abf0cc003e3c56200,f2,False,,
fn:7a2d6f5afb9747d492550ce6a6e0855b,f1,False,,
fn:7e96821e766748a6bf95fe843643cf9f,f2,True,,
fn:91d7eb87667c4f0192604a7cacf5d826,f1,False,,
fn:27f667e6eb8c47e3b878c229787593f7,f2,True,,
fn:a7e288ddca5e4f8d98bdbd92e3f2d7fc,F1,False,ma:2162cf57ed0944b79a0cd2e9f412dda5,comp:98d6488bdd55486ebdd384d5c938c605
fn:78b9826a536646f88b4bd1c16256d0fa,F2,True,ma:2162cf57ed0944b79a0cd2e9f412dda5,comp:6706b00b0ece4af6af4c5a61c69ba0c8
fn:c4138a9cb64d4d7b8083b7ad4f430a55,F1,False,ma:7c137271f4c644afb93f0f1d62ea8e72,comp:2448c80100d443cd8ddf97ac9b0c96a2
fn:4dd31836ca4d4d518aa777755b6ea6ba,F1,False,ma:a7180ffd57bb4982af2092b62224ffc2,comp:d59c75b498de4851b9dc79fe188b3d1d
fn:75c45d424929404f9699f0f78828a2d1,F2,False,ma:a7180ffd57bb4982af2092b62224ffc2,comp:ccd91bca96694a3ea4ab2acad57f57e6
fn:410e0e047398473d8220d7f1dff6c4df,f1,False,,
fn:fd18bc2de98c47448dba38e9a5494d37,f2,False,,
fn:c6dbbc2c76734b0095217b075b9e98d0,f1,False,,
fn:25e703e9fb5040da81dfe25c342ce510,f2,True,,
fn:94ffcc84cd8e4020bb5d8637817ac9de,f1,False,,
fn:b9225ec563c244ff8356f2fe9a84f218,f2,True,,
fn:798ccd79c7b24ac1a926bc77a7594faa,F1,False,ma:80bc6281528945b29f472e7d5e9f6f98,comp:3c24c80d1a0347c8a647f15f94287db5
fn:4e85cd15226e4f3d8931b4bca83231a6,F2,True,ma:80bc6281528945b29f472e7d5e9f6f98,comp:85a801502e2a4ddd8d407962afc43b4b
fn:c476afa8a7fe455c8de8e1eb3ab8a353,F1,False,ma:72b95339224d45adbc554e5a0d27e80b,comp:1ccf58a571d24b6890b95f653af6084d
fn:4b955019a42f4b2bbe22c677ff6b1e4f,F1,False,ma:30fa81713c584edcb0279f05e9b9b9da,comp:18fd6f340927404699611f5952dc24ee
fn:8fa9fcce86624f4e8b33d13434ae18da,F2,False,ma:30fa81713c584edcb0279f05e9b9b9da,comp:9a1ecdf6843f47bbb550b0517052233d
fn:958e524ee5344adcb74b833877c5233d,f1,False,,
fn:c2054ad3f71f45cca2b321c889550f44,f2,False,,
fn:f2a49bdfe0be4fde9bbff2a0a0ec1e31,f1,False,,
fn:970e4c7d27f8481f8d6b39f4afc98157,f2,True,,
fn:214307beccfe44769208367ebc53a8d6,f1,False,,
fn:b053ebde9372488b9d0ecbcd9db56d02,f2,True,,
fn:f8f7baa5fce04774a612471c9ff02174,F1,False,ma:167cfcb321d14165b62d3c090e836776,comp:da16e777f8cc490a82cbb19e29c0a84d
