maintenance_tasks.uid,maintenance_tasks.need_date,maintenance_tasks.device_id
tm:3192267008a64d3895c00bbc6504195d,414.0,dev:3a846c33da374c3f9f1401a2204e3569
tm:2777a53cbd2649468b6c215a5b27cba8,456.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:f813a5ae0a4240cd8c49dd0c6a356af3,446.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:54ee22502ccc45f7aee188e005aa6bec,508.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:244c0c36175a47138255930ca05796e9,555.5,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:663a4d33c1544fd19b0c91934ce2481b,554.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:4f591ab902a24f2c859f0391a53c807d,604.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:b0a894bb59894592afa229a9b1796cca,652.5,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:9d47a942ac734af4a98d4731c7147717,657.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:c18df0341f5040db95c2637a3e1b0fa5,701.0,dev:3a846c33da374c3f9f1401a2204e3569
tm:78517504a7ca4f0e861f89bff2b1cd22,765.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:02408ef99b834ea997c92f7345b241bf,798.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:5aa638d9b2944bd98aac1271dd3a4f47,691.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:1da85cea604a40fdb3853b7f1be8f784,650.0,dev:f7b8be5d187d41c18daa4930d849d1f3
tm:aa9cff864e614d6e8b59320d5e354b35,655.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:6d8da317f88f477593526cad276ee811,634.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:5b71730c6d074f73963c9b6003779c2c,790.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:8f515285a4ed472aab4f7815f505be91,784.0,dev:f7b8be5d187d41c18daa4930d849d1f3
tm:7976be0fc5844606bd4f425fd83508de,789.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:08eac47838d14923b8072720b7012243,779.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:075e0999ef904d2faea51695980b169f,414.0,dev:3a846c33da374c3f9f1401a2204e3569
tm:0db11f1d3bd14082becdbe8ebc20b1ad,456.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:e868a5eb5bcb4190a0549cd16835f77d,446.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:fbdc5bdce4204fd785b07d750f9373c9,508.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:96e6a1ebe0c94de282d8621b79efc8d4,555.5,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:f1670d3c40234daca318bf25ce79d9a1,554.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:9bef367b9a1b453dab7a193fd9b8ef39,604.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:a537872e119a438e9e004fb8bee8d9e6,652.5,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:faf7ddc556374c5181f67f4e7a21fcc2,657.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:eebd54478e8e461cb8508e8500631efe,701.0,dev:3a846c33da374c3f9f1401a2204e3569
tm:4dacd135b1fb4b4e857ab0b39e3d0a4c,765.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:06ca9b90c2914ce0a301d9affda06e75,798.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:aea494f7a38146699d6730d8cf238628,691.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:432df59c18d3490e87656c4160456e73,650.0,dev:f7b8be5d187d41c18daa4930d849d1f3
tm:2504215fcddd4df4b21fb3ab7136aa9a,655.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:f1c316b1e3cb49afafe8ff72e24b59a5,634.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:74f9fe1d4c3645419bdcf247f0bcea8d,790.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:329278b4aec7417789d4f4cbe3ffd9b2,784.0,dev:f7b8be5d187d41c18daa4930d849d1f3
tm:f928512fa9ca4248bbb39f1237c756be,789.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:308f8a623a8941798cd2716b380561da,779.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:e7b995c0ef164d7cb8be969e369a59de,531.0,dev:99b24802323d481a8a24a8face6f4843
