manufacturing_orders.uid,manufacturing_orders.name,manufacturing_orders.release_date,manufacturing_orders.due_date,manufacturing_orders.max_cost,manufacturing_orders.problem_id
mo:b7d23646aab14c43a15dfb01f43213e7,mo001,128,188,,pb:f17933edb3db42e7822972cad1794a81
mo:69cd56dd2736458eb45a509830b48c2b,mo002,358,428,,pb:f17933edb3db42e7822972cad1794a81
mo:f085e60d783b4b41b36f5396ac97e47b,mo003,239,329,,pb:f17933edb3db42e7822972cad1794a81
mo:aa6e1a1cdf1b4581b5c90209344fe302,mo004,160,220,,pb:f17933edb3db42e7822972cad1794a81
mo:50f1a3734cea4cdc83ac133540f1723d,mo005,329,409,,pb:f17933edb3db42e7822972cad1794a81
mo:4a5e417a3b7f4351b3fb08f6dac9e331,mo006,177,227,,pb:f17933edb3db42e7822972cad1794a81
mo:360dc66abbbd45138245a4b89ed49078,mo007,262,352,,pb:f17933edb3db42e7822972cad1794a81
mo:81dfdd6b614f4d6dad87f26a4e6abb04,mo008,399,489,,pb:f17933edb3db42e7822972cad1794a81
mo:df081161481e4ee880f391f776a31fc6,mo009,21,71,,pb:f17933edb3db42e7822972cad1794a81
mo:911cc7fab71d436398d10320f1116ca7,mo010,476,546,,pb:f17933edb3db42e7822972cad1794a81
mo:343fe95cc5ef4841a340164b2c61bc69,mo011,309,399,,pb:f17933edb3db42e7822972cad1794a81
mo:d6602738b770425ba882ec82864e456e,mo012,324,374,,pb:f17933edb3db42e7822972cad1794a81
mo:c785217613d649e8bcba0fcc9fd56ea3,mo013,157,237,,pb:f17933edb3db42e7822972cad1794a81
mo:fc26a606413c430e93b1f9ce0abd4f2b,mo014,88,148,,pb:f17933edb3db42e7822972cad1794a81
mo:afd435ee0833476484d5752a93840c54,mo015,184,264,,pb:f17933edb3db42e7822972cad1794a81
mo:f39290b59ce94a81bc521c62a6189cba,mo016,84,134,,pb:f17933edb3db42e7822972cad1794a81
mo:a0e5236bafcd42e3b13b8e45c653b066,mo017,474,524,,pb:f17933edb3db42e7822972cad1794a81
mo:c9b9303b15e340b492b964a5e4db7535,mo018,395,465,,pb:f17933edb3db42e7822972cad1794a81
mo:27e5db18dee242f1b50148d169f7c569,mo019,141,191,,pb:f17933edb3db42e7822972cad1794a81
mo:4ff833462cf5492dae05d2039fbf290d,mo020,111,191,,pb:f17933edb3db42e7822972cad1794a81
mo:2c594e836a21475aaf32d3f5602a9df5,mo001,401,491,,pb:fca5fd2859f04ff4ac32659738211646
mo:5c695bbf33534778b150a6e937792770,mo002,289,349,,pb:fca5fd2859f04ff4ac32659738211646
mo:73c9dc2583264928b9d2a36981851ecc,mo003,496,556,,pb:fca5fd2859f04ff4ac32659738211646
mo:4a53eb4c7a6c4da7a6c380bf81ada66d,mo004,258,338,,pb:fca5fd2859f04ff4ac32659738211646
mo:def4e56164774cf1874b4c7b2a145410,mo005,227,307,,pb:fca5fd2859f04ff4ac32659738211646
mo:106013591ade46a19935d9cd4707d557,mo006,180,250,,pb:fca5fd2859f04ff4ac32659738211646
mo:6a0c2abfc9a149558b99190ede7d3d15,mo007,240,320,,pb:fca5fd2859f04ff4ac32659738211646
mo:956801d6299b4875beb1aea675c43db4,mo008,239,309,,pb:fca5fd2859f04ff4ac32659738211646
mo:edc5209e5b74460c80359be3a427adbe,mo009,195,265,,pb:fca5fd2859f04ff4ac32659738211646
mo:0c0e95d7d70642dab6f752f9d793ba57,mo010,201,251,,pb:fca5fd2859f04ff4ac32659738211646
mo:b834fe6130bc4f9081868a40a509657d,mo011,501,551,,pb:fca5fd2859f04ff4ac32659738211646
mo:1442dc705bfd4b33a6a4a856593abdc7,mo012,500,560,,pb:fca5fd2859f04ff4ac32659738211646
mo:e650e42754f64a598c08e39e84fa530c,mo013,259,349,,pb:fca5fd2859f04ff4ac32659738211646
mo:29c68715e28d4b738516069b3f306fd6,mo014,45,135,,pb:fca5fd2859f04ff4ac32659738211646
mo:a5dd2eb629fa40c29ef4670e53bc709c,mo015,472,542,,pb:fca5fd2859f04ff4ac32659738211646
mo:0a1cfeed790247c6b836e864a209e692,mo016,227,287,,pb:fca5fd2859f04ff4ac32659738211646
mo:a5bc394463a045309b78782623e318f4,mo017,451,521,,pb:fca5fd2859f04ff4ac32659738211646
mo:a508f0e6f53b437fbc9bbc165a862478,mo018,132,202,,pb:fca5fd2859f04ff4ac32659738211646
mo:1a1c11e5855b4a88a8afeb9870c8a82b,mo019,238,318,,pb:fca5fd2859f04ff4ac32659738211646
mo:b61e5c216c374528a77dfa474211f49f,mo020,169,249,,pb:fca5fd2859f04ff4ac32659738211646
mo:8ea86c7599a944c29d697dc45ff50e4d,mo001,256,306,,pb:ee7018a2859c462287b463d2d23a64c6
mo:e7cd7b001d8b422d9947011972effc94,mo002,15,105,,pb:ee7018a2859c462287b463d2d23a64c6
mo:71438a3185d742099c7ddd2b43402841,mo003,429,519,,pb:ee7018a2859c462287b463d2d23a64c6
mo:e5857960ed134619ba46fdf1758e9d9a,mo004,237,307,,pb:ee7018a2859c462287b463d2d23a64c6
mo:6fd6c0da281d4678a4878214d2a8c252,mo005,194,244,,pb:ee7018a2859c462287b463d2d23a64c6
mo:1dcd8947316845a2b5d44908e7c11119,mo006,97,157,,pb:ee7018a2859c462287b463d2d23a64c6
mo:666f22ba5bac4da4a309cab4c157377f,mo007,195,245,,pb:ee7018a2859c462287b463d2d23a64c6
mo:ac9a03abcabd49aba9d30acf288dcb0a,mo008,253,323,,pb:ee7018a2859c462287b463d2d23a64c6
mo:65db4f290c6b48c5b319670bbfe011ad,mo009,190,260,,pb:ee7018a2859c462287b463d2d23a64c6
mo:5f52691465174604ae6afd25e91826de,mo010,110,190,,pb:ee7018a2859c462287b463d2d23a64c6
mo:4f9cb9bbebb345eca6d5dbb311aee8d8,mo011,253,343,,pb:ee7018a2859c462287b463d2d23a64c6
mo:9965bc6b2f21474fa6a46dba2638ade6,mo012,444,514,,pb:ee7018a2859c462287b463d2d23a64c6
mo:d562cb74dc554163a498cdf07c1652b6,mo013,215,305,,pb:ee7018a2859c462287b463d2d23a64c6
mo:82d5ae1b8f3242379167f970394a7fd6,mo014,276,356,,pb:ee7018a2859c462287b463d2d23a64c6
mo:dceee237c4664c158dca089b3efc64c2,mo015,232,282,,pb:ee7018a2859c462287b463d2d23a64c6
mo:0a54a481ddbc42c48605c7816e4d534a,mo016,437,507,,pb:ee7018a2859c462287b463d2d23a64c6
mo:70f9937e47a04bde93ca893d9c984804,mo017,414,504,,pb:ee7018a2859c462287b463d2d23a64c6
mo:bc0c3a03194f465784d5cc3fae5b0ff6,mo018,4,74,,pb:ee7018a2859c462287b463d2d23a64c6
mo:3ee87d49792f48138d665b6e52798d7f,mo019,207,257,,pb:ee7018a2859c462287b463d2d23a64c6
mo:f03968b076664f33b3dda24c076955f0,mo020,492,572,,pb:ee7018a2859c462287b463d2d23a64c6
mo:484bd2ac06144c679eff1ff58ee25d56,mo001,123,193,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:bb8b90fd61af450a8d9593b5221d394a,mo002,506,566,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:4aa27abd435c42e5885beb94371d3e30,mo003,307,397,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:3e5a78cfdaef400c85593c5666c81c6c,mo004,241,311,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:af4766fc67ae45d8bd3558aa3ff945c1,mo005,515,585,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:121636b3288c4655bd7603752af25f63,mo006,187,247,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:7dee042f09514bcfbb23e69f34250a33,mo007,14,64,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:2af2d0a0bed54432885a87662a411a23,mo008,76,166,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:86fe297ea4c9448394da0f17759c01f2,mo009,450,510,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:eafe9222f787463988f7b6f802ef815a,mo010,363,413,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:a28c31fa7e9b4b6ca3c955c8365c91d4,mo011,244,324,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:b33f3cf48f5f472fa967971133302418,mo012,236,316,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:429074aa0ca04627bab645990922caf8,mo013,242,302,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:85d40c6255c64b65b1a51c6a05f3cf97,mo014,418,478,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:9497881b5a664ecfb0e2f1f8fcaae17b,mo015,279,359,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:91aaf621f6a544818dc0c200a4df0d5b,mo016,227,317,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:507ce729e96a4b8a843fe5307c7b271c,mo017,433,493,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:71cb6e268bb44ac3b2114eeca4a2cb66,mo018,333,423,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:9877b5037eb848f5a398e125641f5ea1,mo019,36,116,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:742b2eafbbe74ff08b6b1cb58b1df490,mo020,312,392,,pb:37766bfa1e78486fa97d3bd308809ed4
mo:9b93384d79344c03b42d580f021a43fd,mo001,253,333,,pb:c01363ac023f400197748068add00d54
mo:0b15fc9e0a314b098c57d0b135e61a9c,mo002,515,575,,pb:c01363ac023f400197748068add00d54
mo:c62815e1e3a6444985128a23bf6934ef,mo003,208,288,,pb:c01363ac023f400197748068add00d54
mo:fa11d75c8d554bae881ac8c76447819d,mo004,1,81,,pb:c01363ac023f400197748068add00d54
mo:e636f1e45d794d038f040d1cdafb62ab,mo005,384,464,,pb:c01363ac023f400197748068add00d54
mo:d83aab98115441c49a1ebc5e02d5cbe6,mo006,381,461,,pb:c01363ac023f400197748068add00d54
mo:eccf6dfe480548f3a567674226c3d234,mo007,37,117,,pb:c01363ac023f400197748068add00d54
mo:c282ffc876df4b22ade768af04060b54,mo008,40,120,,pb:c01363ac023f400197748068add00d54
mo:5ac37232017542f98f96d4ba01f1fb45,mo009,174,224,,pb:c01363ac023f400197748068add00d54
mo:e7d179a5584e44b495ae23b6f01ad403,mo010,513,573,,pb:c01363ac023f400197748068add00d54
mo:5fde90d3a889422883f66f965f6ea680,mo011,425,485,,pb:c01363ac023f400197748068add00d54
mo:16bcf4aca7e2465b9c21b5d2f317aff1,mo012,158,218,,pb:c01363ac023f400197748068add00d54
mo:a84c6668dc1a471bacb7b86554c5536b,mo013,440,530,,pb:c01363ac023f400197748068add00d54
mo:e8ad4c2c4f4a4295954df5d63d7d7567,mo014,320,410,,pb:c01363ac023f400197748068add00d54
mo:529cdf5ef4134a5588162b30a9bbb742,mo015,493,583,,pb:c01363ac023f400197748068add00d54
mo:066d7fd7b7764f5b9aa1846e72f3e8c2,mo016,285,355,,pb:c01363ac023f400197748068add00d54
mo:04044032b3194fddb841c9da06cdd7d4,mo017,152,232,,pb:c01363ac023f400197748068add00d54
mo:2e0c28f21f6549e5b2ea30a02d1a3ae0,mo018,480,530,,pb:c01363ac023f400197748068add00d54
mo:5f461dde0c4e4adfa028fa98cb243d9d,mo019,463,543,,pb:c01363ac023f400197748068add00d54
mo:9527c870e1c14916a709e35a4d7cf661,mo020,157,237,,pb:c01363ac023f400197748068add00d54
mo:0850d7c0e28741f4a01a905126c1a3d6,mo001,76,166,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:04cd4e4539e6497f933bfcda75cd276f,mo002,444,494,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:32f56b59dcb3431cb8b8af8b95538783,mo003,302,382,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:131feb4d3d004e3385ce103a06cf1aaf,mo004,234,304,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:6dd80ac8ce444a53b9a71d4d7eed583f,mo005,191,261,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:40705d9a0edc47a08de5c93c7bcd32de,mo006,296,346,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:bef91e97e5224dda8db6333bfe2bd708,mo007,56,106,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:0af48038d36a447d9a9e5992b6155d9f,mo008,264,314,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:38d7199f30bf4d2db78ebbfa1c2ff549,mo009,21,81,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:da90eb68b7aa49b2a0a5fabf32dc8f1e,mo010,400,450,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:92205b6f1bc149738967b7ee672d50a6,mo011,468,518,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:4a4c8ef6d8f944ff99ec92fc9b350476,mo012,320,410,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:1f6b8320ab9349dabadccd76db4dd5d2,mo013,484,534,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:5ae499145ead4192a532245e833aab1b,mo014,7,67,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:9e69b2e75cce420989f2c72625f766be,mo015,181,251,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:7517577a4d3a43e09455c2dcc61c22c0,mo016,319,379,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:890c9ae99bbf4986ae60399130faa365,mo017,55,105,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:cc79546b89bd499e8ccfe710f6de882b,mo018,412,472,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:ca0bfb282fda4fcea5f711166ff785f0,mo019,315,365,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:6301433eb6a9440081da03b03de12925,mo020,513,573,,pb:3e22cd8c584b429d86a36dc0c399fb4a
mo:742283ab37434538ae2bb872155c117f,mo001,213,293,,pb:5a3350e607934a28b2a975d1fe72351a
mo:dad14b4d14d34144a7269478209b0aa3,mo002,17,87,,pb:5a3350e607934a28b2a975d1fe72351a
mo:ae1a50e27e014a72be73333f1c641400,mo003,94,174,,pb:5a3350e607934a28b2a975d1fe72351a
mo:78e275c99b704f5aac1216a59d776e40,mo004,269,319,,pb:5a3350e607934a28b2a975d1fe72351a
mo:1858a773c6b04554959318f20081e9f1,mo005,211,281,,pb:5a3350e607934a28b2a975d1fe72351a
mo:e41ffd13ef40409aad79979c5f6bbb79,mo006,313,383,,pb:5a3350e607934a28b2a975d1fe72351a
mo:5e428f2e0d1549fc90ff78cdff172382,mo007,96,176,,pb:5a3350e607934a28b2a975d1fe72351a
mo:89cf611f9c314bb6831fe11788815c0d,mo008,242,322,,pb:5a3350e607934a28b2a975d1fe72351a
mo:60af0a0bf0ad470189fc1cf897a93288,mo009,342,402,,pb:5a3350e607934a28b2a975d1fe72351a
mo:96fea11bfadd4e958c3b80a264b67379,mo010,357,417,,pb:5a3350e607934a28b2a975d1fe72351a
mo:ea211f4cfe0542ef9ba80a500aa46917,mo011,157,227,,pb:5a3350e607934a28b2a975d1fe72351a
mo:2ff91f95bd904849878845773cf901d8,mo012,222,292,,pb:5a3350e607934a28b2a975d1fe72351a
