positions.task_id,positions.exp_id,positions.start_time,positions.end_time,positions.ressource_id
tf:f537b50390a74bcd869558a85b96014e,exp:727c13d92af445569ffa41240aa5f87c,401.0,407.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:fc7538c5e64d47bda28b34f95e2b2ecb,exp:727c13d92af445569ffa41240aa5f87c,407.0,408.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:eb5dec93a8c0428cb2252b98f6b1c5c2,exp:727c13d92af445569ffa41240aa5f87c,408.0,415.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:ac42d0206e6c4a0da0f8044241e7178c,exp:727c13d92af445569ffa41240aa5f87c,415.0,417.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:b2843b7ac5424264a099e8aabaff84bb,exp:727c13d92af445569ffa41240aa5f87c,417.0,421.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:f6e0d53bb04c4720bb9c72c2a4945045,exp:727c13d92af445569ffa41240aa5f87c,421.0,425.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:74626aee93034fe997326451e6127a87,exp:727c13d92af445569ffa41240aa5f87c,425.0,433.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:752da714ec314b8e8d2eb1c2c6f52253,exp:727c13d92af445569ffa41240aa5f87c,433.0,436.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:5137f7f53e614387ac39a550594e8b81,exp:727c13d92af445569ffa41240aa5f87c,436.0,444.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:05cd91f3f4b54e3d908a7613aa5e381a,exp:727c13d92af445569ffa41240aa5f87c,444.0,449.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:63b27f8364f34ccd89233ce1d2475399,exp:727c13d92af445569ffa41240aa5f87c,496.0,497.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:3ca13953a5be434e89dc5da2436b6aad,exp:727c13d92af445569ffa41240aa5f87c,497.0,499.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:229f45c331f9439a87b0a2b82dbc45ac,exp:727c13d92af445569ffa41240aa5f87c,499.0,502.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:26bcc1fcb0af48eb8ecbb4e8e4c83a9e,exp:727c13d92af445569ffa41240aa5f87c,502.0,510.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:88b5b98074b64c7cb202cee627432ce2,exp:727c13d92af445569ffa41240aa5f87c,510.0,513.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:6adb3c86eabd4485bf7b499634c6ac40,exp:727c13d92af445569ffa41240aa5f87c,513.0,515.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:79b1487a5bb24bafb2f9207a49c64da3,exp:727c13d92af445569ffa41240aa5f87c,502.0,503.0,ma:8fb0aa48979149ccaa27c32f54a499be
