production_tasks.uid,production_tasks.duration,production_tasks.routing_id
tf:990ecbe13d3b4e97b041a1d41fad34ad,9.0,ro:50b5d442e68841fab64fc16ee047bb44
tf:bd14eca317224542a56bf18472a671ea,8.0,ro:50b5d442e68841fab64fc16ee047bb44
tf:16903f55b4894cc898537ee295b19a41,1.0,ro:50b5d442e68841fab64fc16ee047bb44
tf:bdab6b74c91042d4ab9c2061c1898401,9.0,ro:50b5d442e68841fab64fc16ee047bb44
tf:1c165858f5f5478fac11daf94cdff19e,1.0,ro:50b5d442e68841fab64fc16ee047bb44
tf:f699028c91cb48d19b27c275102eebd9,7.0,ro:50b5d442e68841fab64fc16ee047bb44
tf:2bec5ae5a3ce40a6bf73c8927c18b9f0,7.0,ro:000ea99c745c4a21971f88fa76b1601b
tf:fdc6f804eb54445d8c2f3b852e5deefc,2.0,ro:000ea99c745c4a21971f88fa76b1601b
tf:58ff370b71ba4deaa8fe7a5284b294eb,5.0,ro:000ea99c745c4a21971f88fa76b1601b
tf:4cd7800ccc93451897a0c87bccf7c766,4.0,ro:000ea99c745c4a21971f88fa76b1601b
tf:47b92b19786f442b9f610d948f03b431,3.0,ro:000ea99c745c4a21971f88fa76b1601b
tf:2412d1307b02471fba48451a9d97d329,2.0,ro:000ea99c745c4a21971f88fa76b1601b
tf:5b76496050ee466e885b7400db19b948,9.0,ro:000ea99c745c4a21971f88fa76b1601b
tf:cc9f674d64b945a6aea0d425ef485e93,6.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:4f3903b4a2bc4e16bf6913f2325db5be,2.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:3030e8f6a4934ff98d04a9806deb52de,8.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:0f4c680d2b2543b299102f5d3c128e49,5.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:5c3580160f0340e5a0731198c8946bf2,2.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:225bfa6937de476282b751eaa2c3f828,7.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:10fbfe99a435408d9cd14b651185bd6c,8.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:c19b6556361742d6a6eeb8ff59c625ac,2.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:7d49afd32a274d45b97aaa2540987db4,9.0,ro:12bf06c90b3f4fe6a8fa7d69a95e7b33
tf:dc8489a2007a48079d34728f942dcf79,2.0,ro:199331ea548d45bbbfbc1f4b49aaa55f
tf:3784a47f8a3345deaf9adfa6189f5714,5.0,ro:199331ea548d45bbbfbc1f4b49aaa55f
tf:f0afadaadc2143c8ba2459210f0a290c,2.0,ro:199331ea548d45bbbfbc1f4b49aaa55f
tf:3977c08e9313418799131d83742b90d0,6.0,ro:199331ea548d45bbbfbc1f4b49aaa55f
tf:5982acc1d66f4c3b8269d4e89667fedf,1.0,ro:199331ea548d45bbbfbc1f4b49aaa55f
tf:53712e9dcbf34faf8a61d701678fe6b9,1.0,ro:199331ea548d45bbbfbc1f4b49aaa55f
tf:242ddc2991674dd2bfd9a87a5fe70685,1.0,ro:e749636e5797451687b204d9296deb5b
tf:9d870c0505b34c349ec4e1abaa0740ae,5.0,ro:e749636e5797451687b204d9296deb5b
tf:977d08f1e41d4a5cadb6ca7e96060a48,6.0,ro:e749636e5797451687b204d9296deb5b
tf:bf8104c2b76d4876a64bee02a5ca44d7,1.0,ro:e749636e5797451687b204d9296deb5b
tf:62f67e2dbb02497486f208877ddff212,9.0,ro:e749636e5797451687b204d9296deb5b
tf:215b94869ff8446fb65fe9e9addb3d18,7.0,ro:e749636e5797451687b204d9296deb5b
tf:f7c760831fde43c0879846bd36fe7f40,8.0,ro:e749636e5797451687b204d9296deb5b
tf:b61cedf43e034efc820231a50f15de37,1.0,ro:e749636e5797451687b204d9296deb5b
tf:8650ede79611406aaf331538fda13021,8.0,ro:112a66da52234baea10b1110c50b9c29
tf:254ab0a4d5334fdaaa25b2d6a3236f14,8.0,ro:112a66da52234baea10b1110c50b9c29
tf:57230c0d61784b64befda31c94479d5b,8.0,ro:112a66da52234baea10b1110c50b9c29
tf:f9bdf03a0dc84d2ab371e82954d42ed4,3.0,ro:112a66da52234baea10b1110c50b9c29
tf:60e895bd19ec4ae4b5db976bb6fe32a0,9.0,ro:112a66da52234baea10b1110c50b9c29
tf:7bd1c9ac5e28479c805411d80ac8e874,5.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:2fe7447fe0b94a51ac7cd1563b6b69a6,2.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:9d80d96e801748a78d8f313367703705,3.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:2d515d22ad474e01aeef40cd7b475fcf,5.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:7336e2f335344cb0a529066032b155b3,9.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:0c8c615aab9244fb807ecd514611c82c,3.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:2881c1e1e6a94aed872f4b798a00c1f3,3.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:5b9e5b57c1d9480ba59393b0618b6584,8.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:ff1cfdb1eb504ad18bb34ff89f1af425,2.0,ro:f44e36cc41d44378afc55456769a4cf2
tf:c4fccf30dde14c23bec301ca8917519e,2.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:bcb361376101499ea2e55425bafb39c4,2.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:cb2318d0b1c04147b654833cde0de49b,8.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:bc27b0006b33422296c006bb8d79ddb4,2.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:28a4b99ca98941c792756672a3754a61,9.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:26b3688f2ab94e7f95410565383411f9,5.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:011033112e3841e5aeff647543a41fb7,4.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:43df611f773848be86a129aece19c9a4,1.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:c4c90e85045240f5afb3b34fa93b4d31,1.0,ro:dc7545c7a1724645a39ed4dd397f9b84
tf:c95543d50e3249ec8b4e88954717d0fd,9.0,ro:b4a7974b3fdb4298a8bda61e74a4a3e2
tf:0ff7e7ff3d3a41468187d29af9f88a7f,1.0,ro:b4a7974b3fdb4298a8bda61e74a4a3e2
tf:183333a2eebe4b62b81662100107c646,1.0,ro:b4a7974b3fdb4298a8bda61e74a4a3e2
tf:09658afada2942f594d9fb4f89a5918a,4.0,ro:b4a7974b3fdb4298a8bda61e74a4a3e2
tf:f5a5e5e4273f4d58bbcc01ca0703030a,6.0,ro:b4a7974b3fdb4298a8bda61e74a4a3e2
tf:63551e94464449f586610dc136d0d511,6.0,ro:c68181b6b13543ca8d4d7bb606306c2a
tf:ca1e9794828c4dd2b9e0f5a505a29c1a,4.0,ro:c68181b6b13543ca8d4d7bb606306c2a
tf:c0bfc1136bda4006ac38572fb138c70d,9.0,ro:c68181b6b13543ca8d4d7bb606306c2a
tf:cc277e57e2d446d3b8282c521f891326,9.0,ro:c68181b6b13543ca8d4d7bb606306c2a
tf:ec81abc1fbae4f15b114f7fd431a93b1,1.0,ro:c68181b6b13543ca8d4d7bb606306c2a
tf:1b95d0b4989e42a5b27038306b227511,8.0,ro:c68181b6b13543ca8d4d7bb606306c2a
tf:e43f32afc87042d7b2489483fa73975d,9.0,ro:c68181b6b13543ca8d4d7bb606306c2a
tf:3e688face951467592f49a81e5a2e223,6.0,ro:069bbd7369cf47628335774e54608637
tf:ac03367acccd4f2a94b53f3e30a1f99b,2.0,ro:069bbd7369cf47628335774e54608637
tf:ebcbfb68d6f843a89c34fb3200c79b67,4.0,ro:069bbd7369cf47628335774e54608637
tf:f88a0ccbbeb24b25bc05648159b9f2b6,6.0,ro:069bbd7369cf47628335774e54608637
tf:fbb148e573974ce5a998240cc2499f7f,4.0,ro:069bbd7369cf47628335774e54608637
tf:4fa8f9cbf87f42babe65ff93b3e34440,3.0,ro:069bbd7369cf47628335774e54608637
tf:c2b31363aaad45fda9e751ae062e5063,2.0,ro:069bbd7369cf47628335774e54608637
tf:8af555e07e924fad85cfcb2c7e49270b,4.0,ro:069bbd7369cf47628335774e54608637
tf:310763941fa6467d84e0f87bc24b7107,3.0,ro:069bbd7369cf47628335774e54608637
tf:d43cff0173c74fbfa1ee04696571a009,1.0,ro:6460aa643a844289890c7aecaddadbbb
tf:fe2cfea858ba42bca6fabcae59172fb6,5.0,ro:6460aa643a844289890c7aecaddadbbb
tf:fb002981a4ef47cf89e500b63bc34f52,5.0,ro:6460aa643a844289890c7aecaddadbbb
tf:18cf4cbcc15c488ba4c4a46198b7bac0,2.0,ro:6460aa643a844289890c7aecaddadbbb
