uid,activity,capability,cost,type,ressource_id
comp:0006a4c37bf242ca8abbb5efbdb542f1,R15,1.0,0.0,maintenance_competencies,mr:e39dbe022ea8404fbe5ad3e9d6622cbb
comp:001a748c75524607be07bbff9065d963,R10,1.0,0.0,maintenance_competencies,mr:bc2f270c986a4c859bfa9fe2c4af2e19
comp:001c792698644337bef4754f8f40e3fb,R11,1.0,0.0,maintenance_competencies,mr:dc3d885226d544179ffc203c21c83f73
comp:001d7abb2a7e4c8a9309e8b5ba159e84,R2,1.0,0.0,maintenance_competencies,mr:8564000aa9a04f438350963449b26137
comp:001e5fadbd124677b9192bc6e75c3cb5,R2,1.0,0.0,maintenance_competencies,mr:83221dc39f6a4681b57022ad7b4632bf
comp:0026326a7aad46ac8c21d13191163281,R12,1.0,0.0,maintenance_competencies,mr:94a3f61b90584b32abb9a159a143bd1d
comp:0053c064f2594e9cb21ae8b19e303f71,R10,1.0,0.0,maintenance_competencies,mr:d8dc49f55eed409e9bc8485326afe9ef
comp:00570646229849bda5c82cdd7a628885,R5,1.0,0.0,maintenance_competencies,mr:3af7c993486c4110a743d3e5f1bd9b58
comp:00592a97feef4ea0aa19c4c3484fc0e0,R14,1.0,0.0,maintenance_competencies,mr:4e8876bc32a54e22bde690eb739c2d9c
comp:0073e7a794564e92ac6bd114e9efada2,R9,1.0,0.0,maintenance_competencies,mr:f521c4a0c1484877aaf0e3c4fb9c829f
comp:0078aef35d91407b92fd4c6f652db0c9,R9,1.0,0.0,maintenance_competencies,mr:b23df4c6aafb4067be657410d60c0c99
comp:0085e9cef3d54e62abe3829973258ada,R12,1.0,0.0,maintenance_competencies,mr:7065951305b8486a8e842440ea26c8e1
comp:008760cd95f34143b35aa5161b65daa2,R14,1.0,0.0,maintenance_competencies,mr:ec24209931764e1391aa6972cf5913d0
comp:0087c35eb4da4948bd45a2d4f4b02945,R2,1.0,0.0,maintenance_competencies,mr:d0f601171e854b31ae008d4cf468b642
comp:00941818f0a84b36b8a5f055996ebd2f,R3,1.0,0.0,maintenance_competencies,mr:02f2fb7f2c8542bfaa0e294b47050349
comp:009859c7d8444f0b8d3d53513f036d49,R10,1.0,0.0,maintenance_competencies,mr:ff9c3180d3d34d789c13f587e801f024
comp:00aa3154fd594eff8b83ef4491300938,R15,1.0,0.0,maintenance_competencies,mr:d88bf41f14734d1e8546eabcd323066c
