function_id,device_id
fn:01443d2d181b41d6bd1aeb5c67b6042a,dev:321056cdca8e4fd3ad3c1c9a78de4d1f
fn:01443d2d181b41d6bd1aeb5c67b6042a,dev:0feb6903d511447b93fe8beac21e9e50
fn:01443d2d181b41d6bd1aeb5c67b6042a,dev:3407314f323b4bf1a3d8a7a0a342a9b4
fn:01443d2d181b41d6bd1aeb5c67b6042a,dev:fd931f49d0594b1885367c0600138005
fn:01443d2d181b41d6bd1aeb5c67b6042a,dev:9ef16e05dcbd42f8a376a6d8ac088002
fn:01443d2d181b41d6bd1aeb5c67b6042a,dev:954c17b2541d4e59a0361fbe5fa213b1
fn:c91d298f6117405ea6071efb7b45d7bf,dev:954c17b2541d4e59a0361fbe5fa213b1
fn:c91d298f6117405ea6071efb7b45d7bf,dev:a3e37bc67d3c42ae8a3500cfad9c0efa
fn:c91d298f6117405ea6071efb7b45d7bf,dev:a40075bb11af48ee858f98a8b555a0c7
fn:c91d298f6117405ea6071efb7b45d7bf,dev:1b4e9a18f62f41ca992ee5051599572d
fn:c91d298f6117405ea6071efb7b45d7bf,dev:5e0d7271a70140ad94e77f0e0e105a55
fn:c91d298f6117405ea6071efb7b45d7bf,dev:e9283c1a92ff41ea8372c4310f1d3fce
fn:c91d298f6117405ea6071efb7b45d7bf,dev:a1adee2423af4d019267ca44c12840fb
fn:c91d298f6117405ea6071efb7b45d7bf,dev:e70b9034ecac4a08975fc5a2309ea836
fn:c91d298f6117405ea6071efb7b45d7bf,dev:f92b8436e8cb41ba8c28a610ad810a6b
fn:c91d298f6117405ea6071efb7b45d7bf,dev:6d086f67f654467b969071dce711de28
fn:70ab9d6a20f641e089895ec230a23036,dev:6705c4bb731549c6be0f4078944d0ea7
fn:70ab9d6a20f641e089895ec230a23036,dev:e68085fbbcdd40f9a814c0c7b406bd3a
fn:70ab9d6a20f641e089895ec230a23036,dev:8588aa61080e42c7ad072ed4982fb477
fn:70ab9d6a20f641e089895ec230a23036,dev:d3e2920650e140999ab5fd63dcf0293b
fn:70ab9d6a20f641e089895ec230a23036,dev:c860fe4893264e44990d90793ce530fc
fn:70ab9d6a20f641e089895ec230a23036,dev:7170d20d56d04d32bf85b4869dd923ba
fn:70ab9d6a20f641e089895ec230a23036,dev:7836cfd539fc47e4aa55a1b38a10cdc9
fn:70ab9d6a20f641e089895ec230a23036,dev:5387c8c309554c7897bb34eeb238c628
fn:70ab9d6a20f641e089895ec230a23036,dev:55e225421e4441b3a9866ea1708ee0a1
fn:70ab9d6a20f641e089895ec230a23036,dev:e1de3c63fb1a4157a47ac2ccbe873bc5
fn:75d90e335dc14e0291cc0df734f640b7,dev:dd4059d9f6d14f1388f10cd32145fa79
fn:75d90e335dc14e0291cc0df734f640b7,dev:353d3d11f2c04927819e8e78900d24a1
fn:75d90e335dc14e0291cc0df734f640b7,dev:4c1feb81ffdb4af1a570677a792fd08c
fn:75d90e335dc14e0291cc0df734f640b7,dev:8365506c4f834b0da6f0972cb4351343
fn:75d90e335dc14e0291cc0df734f640b7,dev:690825b1d4a7433b880f3f4a05b1857a
fn:75d90e335dc14e0291cc0df734f640b7,dev:6705c4bb731549c6be0f4078944d0ea7
fn:593b9a7f093c43a396773eddbaaa1f78,dev:ab84523168034fedab0de9bfb64ea10f
fn:593b9a7f093c43a396773eddbaaa1f78,dev:fd828bef19f9459592737fb837558b41
fn:593b9a7f093c43a396773eddbaaa1f78,dev:7518f4a545e34d4a9246e0ce3a289fb1
fn:593b9a7f093c43a396773eddbaaa1f78,dev:0cd3ade151234b078ad345e99633f88c
fn:593b9a7f093c43a396773eddbaaa1f78,dev:d8ce96ca140642b497b6a65dd34868e1
fn:593b9a7f093c43a396773eddbaaa1f78,dev:c406bfeb1d6c466e8b236b3f23d18427
fn:fc556be4c97c41caa765f832b526cdc4,dev:c406bfeb1d6c466e8b236b3f23d18427
fn:fc556be4c97c41caa765f832b526cdc4,dev:8bddb448ebcc4c0db84e598ed841f34a
fn:fc556be4c97c41caa765f832b526cdc4,dev:57b006b6b21b43cbabf75344f8052caf
fn:fc556be4c97c41caa765f832b526cdc4,dev:fd2fb9e331fd424b873fe555e562dc2f
fn:fc556be4c97c41caa765f832b526cdc4,dev:3e2018be6f7f4250a43f2f4c357cf4b8
fn:fc556be4c97c41caa765f832b526cdc4,dev:d14f4a714b6e4d49b5606ad3ef472522
fn:fc556be4c97c41caa765f832b526cdc4,dev:f0655289831046d8aca02a0dd7710512
fn:fc556be4c97c41caa765f832b526cdc4,dev:7c93658869964b4aa16ee6b417c678cc
fn:fc556be4c97c41caa765f832b526cdc4,dev:6fed86f2ecf54e7187b66ba1dc4f0d42
fn:fc556be4c97c41caa765f832b526cdc4,dev:827ac3d8e98e4a1395dc374e37e6b8b1
fn:dc66d9e4680e4720b9aff4590ccc5df7,dev:c345f0ffe38c4da6beac616bf1d063a2
fn:dc66d9e4680e4720b9aff4590ccc5df7,dev:df37ebebe5b9448598270d5a71895e4b
fn:dc66d9e4680e4720b9aff4590ccc5df7,dev:08528d54490d4d88ba83e054fe228870
fn:dc66d9e4680e4720b9aff4590ccc5df7,dev:86924b7765634045a84cc774cc68a44b
fn:dc66d9e4680e4720b9aff4590ccc5df7,dev:5bc15619b47b43ad81b38e78bb7925cb
fn:dc66d9e4680e4720b9aff4590ccc5df7,dev:8d3b71d1c97d48d48092eea78069aee6
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:8d3b71d1c97d48d48092eea78069aee6
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:8a8688f497864a7b9c8bc9f82b4ad093
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:bddf5f5461c74ac38ea279f3c248540f
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:61a4e9cdd94c4fb6a92c7639885bb7b6
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:a354da0b1d724205b51e73e611f3ebaf
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:d4ba67190e3f4e5887962b04871d6536
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:276b66d3fb34414988ce17133ef6088b
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:dc6bff9bd9344d21ac2ea8e650ae7905
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:513648c597b24a82a07a3a9dbd972995
fn:3e710fd3e5d04abb8d2c4b299388e961,dev:30ab7d16b9fd4dd28d0b4553534287f6
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:ded0d57aeea849b2b4911a58080ff6bb
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:df9b7cc8be2e4bc890992b7a3fe202a8
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:fe25839225ef4e6d8fa00e604852d7c0
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:e1eedab920ac417b9c05b6af3d445c48
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:882a3a36f96a4f79b161a91c6abb9cc2
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:0c370a1195284f12b8ce44de4a2cd457
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:0d4232839cf549cd80dd1e0d96808bdc
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:dd1521a99a9442349cd126cacb87b68c
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:ffe5f2ca65074823a04250caa4aaa0e8
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,dev:3dbc00e7203b4f2b94f8b15ce8f51b3f
fn:4506bb92141541b5bb82039975cb9d4d,dev:cd611e5d5e194b649ef30dfcc6443051
fn:4506bb92141541b5bb82039975cb9d4d,dev:6b0cdeb7881f42a68db273aa2b0b307d
fn:4506bb92141541b5bb82039975cb9d4d,dev:f0a72483d15f433285df2f65f03f0095
fn:4506bb92141541b5bb82039975cb9d4d,dev:23e6c4b948144c1687ac1e0310191bb7
fn:4506bb92141541b5bb82039975cb9d4d,dev:3769ed16dcfd459a9181c78072373757
fn:4506bb92141541b5bb82039975cb9d4d,dev:ded0d57aeea849b2b4911a58080ff6bb
fn:f1db0503d46046448ca95c983d5a5d7a,dev:98057de001fc469c8c6ca66aead4cac1
fn:f1db0503d46046448ca95c983d5a5d7a,dev:f47d68ced713403ab975fb431b7ec74a
fn:f1db0503d46046448ca95c983d5a5d7a,dev:39d520737fc2497c86c8d89493cf073b
fn:f1db0503d46046448ca95c983d5a5d7a,dev:658eeedd4a4f47029bac6eac4a5a180e
fn:f1db0503d46046448ca95c983d5a5d7a,dev:c7f3137ff0904f07912047830ff933c4
fn:f1db0503d46046448ca95c983d5a5d7a,dev:98274e44510e49a4b49a732a767e38c5
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:98274e44510e49a4b49a732a767e38c5
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:65d29d7ed13148778e7ac7727ab2400d
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:74a37685a6e145758b2ec0469df5b7ee
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:47f7c6edc61c47b4a23d09440a9c5857
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:f7abaaf9ffa34f8685bafca03e6ffef2
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:4bba53290ab144bb8dc1ba7c95f8f40b
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:21f1d346e4ed481fb9ab2794ca62844c
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:89ea196d45e54526aaf8ae169736e995
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:b2102bbab07648f4abd6a7bc93aef5d6
fn:8cbfc4b8e56a46a3821ad557deee7b21,dev:4189ad5a8ae042f2a756e981d4b01ef0
fn:a2de837d66464aa09a70c9249855027d,dev:2c27d14406bf4dfdaa7931fb0bc22da2
fn:a2de837d66464aa09a70c9249855027d,dev:183732ddb355483badc8e0e385582ffe
fn:a2de837d66464aa09a70c9249855027d,dev:2578a68803dc4b95880cfd8d3c137fa6
fn:a2de837d66464aa09a70c9249855027d,dev:100c74f45f7a4d38aa81a4d530d08a52
fn:a2de837d66464aa09a70c9249855027d,dev:15bd9083be1e438189129e3e25c91505
