parent_id,child_id
fn:e6c89b2b9dc7471a888643bf4d9f4eac,fn:01443d2d181b41d6bd1aeb5c67b6042a
fn:e6c89b2b9dc7471a888643bf4d9f4eac,fn:c91d298f6117405ea6071efb7b45d7bf
fn:2b8cc578d6db4b54a94f43e04e1f510e,fn:75d90e335dc14e0291cc0df734f640b7
fn:2b8cc578d6db4b54a94f43e04e1f510e,fn:70ab9d6a20f641e089895ec230a23036
fn:da6e28c9e9144318834265cf4dd9670b,fn:593b9a7f093c43a396773eddbaaa1f78
fn:da6e28c9e9144318834265cf4dd9670b,fn:fc556be4c97c41caa765f832b526cdc4
fn:1ba21fb369d24d40892bf524c4d1785f,fn:dc66d9e4680e4720b9aff4590ccc5df7
fn:1ba21fb369d24d40892bf524c4d1785f,fn:3e710fd3e5d04abb8d2c4b299388e961
fn:1586b83a10d74821b1c93c9a321eb925,fn:4506bb92141541b5bb82039975cb9d4d
fn:1586b83a10d74821b1c93c9a321eb925,fn:03ebd9ffbbd740ab85725b63cb7fb7a9
fn:e5e6d558ba9148aebee531ffe53352fd,fn:f1db0503d46046448ca95c983d5a5d7a
fn:e5e6d558ba9148aebee531ffe53352fd,fn:8cbfc4b8e56a46a3821ad557deee7b21
fn:6a5e411462044c43981ac3aed97f69f1,fn:a2de837d66464aa09a70c9249855027d
fn:6a5e411462044c43981ac3aed97f69f1,fn:9a3b364e99394720aa3ca8dfa8691d24
fn:1a4f56fd19a44b90850e2c647eb27451,fn:97233085281841bd81712f0447ee1db6
fn:1a4f56fd19a44b90850e2c647eb27451,fn:226867d5492c4ca492feb2e1881e4aad
fn:0659c319ee224a0baf31bf016c469710,fn:1474cccf0a0548b1877a4e51496f9a4c
fn:0659c319ee224a0baf31bf016c469710,fn:c8807132d8334722b9a8e524357b4574
fn:34303defe5224349b553feff0b0e9f96,fn:890ae695059642b1803811912e4f24db
fn:34303defe5224349b553feff0b0e9f96,fn:132aeda5f6004649a980be405739e389
fn:7b0ed147465c4f1e87caab5d74123050,fn:b57fa9b0695a427291464bbc3c16a4eb
fn:7b0ed147465c4f1e87caab5d74123050,fn:44d714ae129247caa28f16e4f6818287
fn:9c47a45a56714638af4512c3a4a29086,fn:517122df14c64e378ed2bcc53a94068d
fn:9c47a45a56714638af4512c3a4a29086,fn:c35837d77a4a429996592663a42aaa6b
fn:3323132bb0b4435e9314a6099962ccd0,fn:d771ddf34bb246d58e85dadab82cb8fa
fn:3323132bb0b4435e9314a6099962ccd0,fn:1c9e5c8281d048ada932e6be50068d1d
fn:271336a6f1904038b1e085112f3d26a0,fn:da12a9cecfc4494ab966554fbbc12f8e
fn:271336a6f1904038b1e085112f3d26a0,fn:b9b83ca95d184d6fa312ea3701bc5be0
fn:b1d36585e05e4250949494be2dd90acb,fn:e7975b7cf93c4f94b3e78618eca3ff4a
fn:b1d36585e05e4250949494be2dd90acb,fn:cafecffef93c44c6a14cac3150cc4201
fn:1db9fb58ef3c4c489d70321c286773e1,fn:047711ce488f4f0abc9a1ff9b528db68
fn:1db9fb58ef3c4c489d70321c286773e1,fn:2a3949aaa49445519e98913efac7166a
fn:823520964b6549d5934b0f3f51379fdb,fn:43bcdbe3b681405ca0286c15c8b65ac8
fn:823520964b6549d5934b0f3f51379fdb,fn:fe65945ded324d5493c706b5f562aabd
fn:5b25f76069cc48559c08bc0fd522de5e,fn:21bc0c5711024515b63bfdfb39d5bae3
fn:5b25f76069cc48559c08bc0fd522de5e,fn:8dab710b3da6495e95a9540221acf370
fn:2b48b6c6080a40ee8f0aba03c3ae0f9d,fn:d0ea793084a54c8b97672b1f6c336db1
fn:2b48b6c6080a40ee8f0aba03c3ae0f9d,fn:6bd9da74b0a4428392eeb8fd11649e7f
fn:e24d0da7d11a47f7bda02b168fa4a67d,fn:40c219635c7a4a9784695b087af4c6cb
fn:e24d0da7d11a47f7bda02b168fa4a67d,fn:24151b13b81045f9b759ecf8eb438f67
fn:210ee3b6a4534e7fbbb5a7c084e163f2,fn:68682541cf9b4e249cf153e7b4da95db
fn:210ee3b6a4534e7fbbb5a7c084e163f2,fn:321943f21d17479db12fd1c9131116f4
fn:f91349374143403d8d9d048ead9799dd,fn:d62ba61cf7624250a3350de1baef3b75
fn:f91349374143403d8d9d048ead9799dd,fn:0130078157dc431b97f448662efea2ac
fn:61067c179fce49cbbdf148cdcaeca621,fn:7649376cd9054f7c957c3d0ef135342d
fn:61067c179fce49cbbdf148cdcaeca621,fn:e664b35946ba4eb1bbc30e41732817a5
fn:60256c43575a485eac6c9b9d035be7b7,fn:0f610fa02b164e3b88b22e4bd2e9cb5a
fn:60256c43575a485eac6c9b9d035be7b7,fn:48e8da9683e746ada520a4195e4cdb16
fn:4dcfafb1cb374ba383751e6b3b959bf4,fn:9c1a5f7538ed456db34f042d6f0728b7
fn:4dcfafb1cb374ba383751e6b3b959bf4,fn:599fb2d94f98487c8095d1c0aff44377
fn:5055e6ace84c4e40961fb43da6615e71,fn:8268a8f0698c40a2b59586e68f82227e
fn:5055e6ace84c4e40961fb43da6615e71,fn:da65707fdb374093a45db2cda99b0fe2
fn:c6e222f51f02484284fe8e86d6fe9142,fn:5e6777bca9eb47d7b0d7ce75638f83cc
fn:c6e222f51f02484284fe8e86d6fe9142,fn:5782b10a60854cdc83954c045216129a
fn:f97b2dbfb1fe43a4bd91229eab1c734e,fn:3eafd920aa5b4f7f9ef453081fb0961d
fn:f97b2dbfb1fe43a4bd91229eab1c734e,fn:c25603e98e314f8780e0673e78982e43
fn:0d6f07b38e2549b493b497b44bc57ecd,fn:e8b68f5c9d4e4c1f9bccd98280a72df4
fn:0d6f07b38e2549b493b497b44bc57ecd,fn:dfe4aa8377774a07bb80e163fb629fab
fn:023f7b57fff944ef961d02f3af4854a1,fn:36dda96df47842caa628a68741ef21e4
fn:023f7b57fff944ef961d02f3af4854a1,fn:73be7b73975d48cf99d0a5f007011df6
fn:ff63cd23b45c451c87ec2dbc87ae44ac,fn:83cb86edbb33421690e46d6ebe06666d
fn:ff63cd23b45c451c87ec2dbc87ae44ac,fn:907973ed721e4fc0b06f77eb0ab522ce
fn:49e11d5db60c443c861fe090bb9d3aca,fn:32925a7909c04019b59948a27aad521b
fn:49e11d5db60c443c861fe090bb9d3aca,fn:cbabb625f00c4554877aedf9a4bce7d4
fn:98e68f67b5b8450ab2980d4bf6a781ff,fn:73c75981029e4eaea457c5091be688ec
fn:98e68f67b5b8450ab2980d4bf6a781ff,fn:b939091539bc4f87a5d2d66c62a6dbaf
fn:c1aadc3d855f40d6be7d8e1a10a45b68,fn:828469683f25471fbad5c1927e0f2bbc
fn:c1aadc3d855f40d6be7d8e1a10a45b68,fn:b3c1d263b8e54b1897226c26b1f79eff
fn:8c4e2e4ab79748f7ad2ef19a92765cb4,fn:159822d66a634af4a4b1de174552996d
fn:8c4e2e4ab79748f7ad2ef19a92765cb4,fn:90c4842d6b494456a28274963f0e9dd3
fn:956fb7ddb4dc46c7a82ca380cbdabada,fn:1f7902de470348d9a0ccd3b60ac69dcf
fn:956fb7ddb4dc46c7a82ca380cbdabada,fn:c4442d4e5a3547f4b3f7782fc72c65aa
fn:af84f0e51fd5473a95a1452500eb3b75,fn:4f76ae26a07e4690bee7c140660e0ef8
fn:af84f0e51fd5473a95a1452500eb3b75,fn:d97b624ed77b455dbe3e3ddf82b6b92c
fn:af22feee1aeb4083961bc82b96ae211a,fn:560cabfff20744fe8e35b5449a879dbf
fn:af22feee1aeb4083961bc82b96ae211a,fn:78d21ad22c3b429db6783b3d25425248
fn:622c80fb3cf44d2e90466f0ec2e07014,fn:bbb12ea818db4bceba4d57140a49c161
fn:622c80fb3cf44d2e90466f0ec2e07014,fn:00c6ff08bdfa497cb845a6881e60390f
fn:fa9439a744a64f01835fd125000e44aa,fn:52cee3942ec547dfb0ea96ab575cb145
fn:fa9439a744a64f01835fd125000e44aa,fn:ed2fcd5111b34b22930316664bbb79a5
fn:f61b6457162349b4bd55a0efa185b777,fn:891639384fd84e1ab78b1034f0f7b772
fn:f61b6457162349b4bd55a0efa185b777,fn:10e95de66730458fa884012a25cc65fe
fn:9d96fbfbdb5d466dbf707a0260531139,fn:219b6b1290134fdaa552e2652a5bf8bd
fn:9d96fbfbdb5d466dbf707a0260531139,fn:51e5aff60a2b461bace71863d7242773
fn:5d020cc2d8fd4f8fb28f87edd1c89e70,fn:da83e1a5e77b47fe9fb4647725b5702d
fn:5d020cc2d8fd4f8fb28f87edd1c89e70,fn:f7014f56f8984739a464896422e536cb
fn:606b3ce0d03f4bf28878094201974155,fn:d7272105e82e4c3cb4cad1945ff6c46a
fn:606b3ce0d03f4bf28878094201974155,fn:b7a958fed9764a61a04fed9db7d104e6
fn:65dc8746f00c4a9da354a6f2e36ca4ff,fn:8955e0b057244e39940023248dffcf0c
fn:65dc8746f00c4a9da354a6f2e36ca4ff,fn:d9ee3d6895714d50a8566f753a09edc5
fn:2fd69db6390c4947911ea77a041cb069,fn:01c0912f052f427da032fcd9b81d79c5
fn:2fd69db6390c4947911ea77a041cb069,fn:f01c12e160104e96a21c4795c642ea1a
fn:b1011b3bccfa4c1c88b5b212137843c3,fn:62b91de17c564abea5499082fc84b0a6
fn:b1011b3bccfa4c1c88b5b212137843c3,fn:e2b98181131d404aafef1956af5dbd32
fn:b7b61d90436c4292b828dc3da8dda3b4,fn:b19923261f3f4bdbaa91a638d4023ba0
fn:b7b61d90436c4292b828dc3da8dda3b4,fn:ebb2c6e3e44447a48a76bdf3c3065553
fn:c720e2b7fbb34e1aa76d210fb5617f13,fn:4b1107e6d9c44932afecf48a06fbe566
fn:c720e2b7fbb34e1aa76d210fb5617f13,fn:cd656788a07f4c05b4dbeded2115d87b
fn:d0cdd4da8e984646b1c9ee2f5427c7ba,fn:e6b7e4382a034abea0348653c3bee57b
fn:d0cdd4da8e984646b1c9ee2f5427c7ba,fn:1e1a0863aad54ef6ae2316b11f66644d
