uid,name,risk_threshold,repair_time,use_duration,initial_duration,next_duration,repair_skill,json_law,machine_id,phm_module_id
dev:0004fc2298b94df0a08a8f2e7e0e3b49,Dv6,0.01,1.0,3594,3404,3614,R6,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:0d8804838408403d8a3013744812eec6,phm:324c4c61ea644e448b88f76246d2d514
dev:0010b7a58c1a45b1889781fbdf90c28d,Dv11,0.01,1.0,6092,5992,6102,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:97882bea90a34ab988fac90f314088b1,phm:88ab25329c864efcbb5e5eb14adec4db
dev:0018d42e2c7e4c639caedd34a86378cd,Dv3,0.01,1.0,1602,1512,1617,R3,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:41a391c0cde841fbb9b9cf54ad3ca322,phm:d4a83b91804c4503b5e41d0c2e592455
dev:001a6c8e382d4b27bd56ab747da35ca7,Dv9,0.01,1.0,5987,5892,5997,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:602741d7c7424f62980f07b680f00b73,phm:91065205f14f4270b05112c2da0a5ba2
dev:001bee089cba4780a30a648c6e5cc4b0,Dv14,0.01,1.0,3066,2976,3076,R14,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:e62f96e609d04c97b10312c7827deb2d,phm:5595fffb3dba4c419b3dcdf406058eae
dev:001f088a67774f92b3382183f6771287,Dv7,0.01,1.0,90,0,95,R7,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:5620d8a03ad34b439635088f26cc8e2e,phm:6bc52ba44ad54aab93a1f29919321a46
dev:002f930b74404861a67c816a1e57c1f3,Dv5,0.01,1.0,1875,1780,1885,R5,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:0aaecd55f7a3407296bfe5246fa0f775,phm:890d2b198113496780cbcc20ac11f8b2
dev:003aa90be1824782aad467cd4fed25a3,Dv15,0.01,1.0,568,468,573,R15,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:118d0171d57548f0b267701306f0817f,phm:7cda3f283f194e86b7a2c441b848108f
dev:004c3797eada465db09f9f9b9a67d047,Dv11,0.01,1.0,5224,5124,5234,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:4102404f40d34e8f89816f5f4ce2f956,phm:8684069791d44dcb8d995be246849280
dev:0050f2b4e6ff4dcea2cf14a308267f69,Dv13,0.01,1.0,4038,3968,4058,R13,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:fb4246d788dd409193c9d09637c3f684,phm:24a3fd2cc12a4e7c91badb4fe99f9337
dev:00562d9699ba4e4d9fb68db94d86991b,Dv2,0.01,1.0,5059,4964,5074,R2,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:11734ba05c7a485f919aed5ac4fe9f5c,phm:4f4a3eb4884e4fedad8d65b03017e426
dev:005999afb8844d7faa4f236f19ffe090,Dv12,0.01,1.0,4448,4348,4458,R12,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:56044539f9ee4c0faa1e93fe0cbb87f7,phm:4937af60e59b4f65a9d9a0ed58312613
dev:005c092792204e669a694aa42527f256,Dv12,0.01,1.0,4379,4284,4389,R12,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:621c91ac7d904c569f7b3ab56e5f53e8,phm:da1299b06f3b4c64b2cc8b5e8d47f7fa
dev:00640c706796495c9dfec5b46920b4ed,Dv2,0.01,1.0,3455,3360,3470,R2,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:ff3bce84889e4f9b8bdb48f5c5dfb572,phm:c98bc719573c474d8e3cfd749471783c
dev:0064629766ba4a328076075445d77eff,Dv4,0.01,1.0,3997,3912,4007,R4,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:37c19d23e0d940fb917c1687fe111106,phm:2cdd152b16124711a241f2a40250520e
dev:00674958089242ef815222dcd31080c7,Dv4,0.01,1.0,2258,2168,2268,R4,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:5dd1b07080f84bed95744d6a74c67eb0,phm:180a013fc20c45619caba9a79d98ae83
dev:006c48c88c3b41a394776526b8ed3d67,Dv7,0.01,1.0,7923,7828,7933,R7,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:7453c696a5554a099803288351c751e9,phm:22e43b7f2ade41a6a57be578b84fe794
dev:006e420530624f91951e4fc1dc7e1d64,Dv8,0.01,1.0,6368,6268,6378,R8,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:7f9907d43dcc4491adbbae050fa5fecd,phm:b874e435c0904751b7e2c4f0c31b9f39
dev:007a2d4e3a04406c8398a523129fbf74,Dv11,0.01,1.0,430,340,435,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:e5414d3fa32846a0b0c951ab8acb6aac,phm:2fbe6121d0ab42bfb0c576b0991baba3
dev:0097cc98b6094ba49326888ae6bc6bc2,Dv10,0.01,1.0,0,644,95,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:0d29c289a72b42cb8688370ea63176f7,phm:0fabc2f950c34322b874fd645b59a22b
dev:00a3d42d965e4c0f84ecba3d228a0d67,Dv5,0.01,1.0,3579,3484,3589,R5,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:c3290d9dc1cb47448b3ff8a08369be28,phm:3acf3a09ed3a4d19a03f158e8dfdeff4
