uid,name,redundant,machine_id,competency_id
fn:00317a37fcf2475e9cc5e86c54e714ef,f1,False,,
fn:0049af45349c4497b7352b176b9cdac0,f2,False,,
fn:0079b5ed84854815a4c03d1b733499a8,F1,False,ma:d1178975526343d0a23a95bdf89251fa,comp:119efee8aad94f60b0f8326f9749fa5b
fn:00b6546b1a7c4c6f87d22561f5690e2a,f1,False,,
fn:00f35100610d4558a2c2009fe0c7dc30,f1,False,,
fn:00f65f6dbc4c49a1bba2d61870caef6d,F1,False,ma:d21f7622b8404cdc8f9526e0c83915a8,comp:2aed793497ba4d1a9bfe34428ebf32b6
fn:012a9e2c102949cfa55d464b39dd05b0,F1,False,ma:2bc5b081170f43eb968d3f978d93dd83,comp:7986a20acd154d0e9c72ec43f9e03ceb
fn:01402f9074fe4715866a806fa8861c62,f1,False,,
fn:0169b74095dd4fa7a4b99171aaa7d4f6,f1,False,,
fn:01aa1155f50c43958f4e25b209e21fec,f2,False,,
fn:01ff0d5dcd484a429db9c313a40a19df,f2,False,,
fn:021049d3fe4d40afa591ef5d0471b542,f2,False,,
fn:022b9da530874808b2d45a827787256e,f1,False,,
fn:025e9899f216423096e7f8ad1081aeb0,f2,False,,
fn:0266a40a7d8a47e4a22974387d1899f4,f2,False,,
fn:028a7d582494404086331f0dd0e0b107,f1,False,,
fn:02d78def699b4121b5a6d7fcf46c4ce2,f1,False,,
fn:02fb604331f44f50a580f51c312cd0fd,f1,False,,
fn:031aa2ebdf634db18670eb14aeb3aa94,F1,False,ma:8c5c3b97517d460cb6108b8c63c2ce6d,comp:98202890519b4b3da88a778b14a12f92
fn:0320f7a9707842e0a8446fce0a8f01ff,F1,False,ma:f7db3fee516945dea17471ba1561ca63,comp:fa14f28b4e4045d19656117dd06cb8e8
fn:0339c53fff5e4e9e9532a5fabb817ff0,f2,False,,
fn:03453c3d4ea84341963ad058631565dc,F1,False,ma:5dddb5607c6842d9b6b73a6210191939,comp:c65c522f840146c0b267934afc4eaad1
fn:035ba10d7d0a433c9e772ab87e6e0a46,f2,False,,
fn:0362cd23c4d042959a39d14338fb5f6e,F1,False,ma:2cb8d3eeae9b4220bae7f471ab2104d1,comp:ce18fd859f66470fa35e6c213a676733
fn:038861a359a24edaa226d145423269af,F1,False,ma:26d044aafdd04446bae9773ec1ba17ab,comp:4621dcb7169d4c4bb20a24cddc3dbe67
fn:0396570dfe7d4046849296ff31f57eb1,f1,False,,
fn:039a73b0ef7f4cff828d2d75215f0aad,F1,False,ma:428757207fe749c7838942e7a1a53963,comp:91aec90338c94ef3b2130a1cb7a4dc80
fn:03a1a48d5d53457baf5583c2b8d727b0,f2,False,,
fn:042b6bc13a6f452ab2c88e845fdc34d0,f1,False,,
fn:0470ce55ba4a4e57a17f7b408839e012,F1,False,ma:1b728c693e7a4194b6de10dfd876eef5,comp:407132b219d347919901b1a0eb52077d
fn:048e53742af64b3d957d69e0b6c78142,f2,False,,
fn:04d426815f94458aa2096b7400c66c01,f1,False,,
fn:04dd60031f554b2eb3d61ed05dc00186,f1,False,,
fn:04e037d6a7a04a969cc67965592255ce,F1,False,ma:54ea533e2af942f3932abb2b1e248163,comp:cd0f062fc4554516846c3fae8b8ee5c5
fn:04f61af0540d436d8ef2c4350d05442a,f2,False,,
fn:04f6410f9e0047aeb65a021506b1a5ae,f2,False,,
fn:0508bdbdb2d84bdb95d4b5ecede11992,F1,False,ma:8b1ab3dc4fa8472082660d36cf4490a9,comp:c7503b40cfca4a12837b17a8203a0da5
fn:0514b50a6cfd4142a10dc8cc5d0f5991,F1,False,ma:50ca1b15980348e0ba20486ae1c154be,comp:91da0549ec2a4c5babe7d9c8528358c8
fn:05445f8c76204cbb9bde48c47d1401b8,f2,False,,
fn:058a905a91ac4599b91ce3c682eca15d,f1,False,,
fn:05a0df1fb1724ea791f295330bdf44a8,f1,False,,
fn:05a55edcf17a430f96e526709c29ecc0,f1,False,,
fn:05ae8015d1d44a5fa76342545f281033,F1,False,ma:6ecdbf6556a240d49d378f44f70484c0,comp:c2fba70a724e44d3804b15f0649b0df9
fn:05b4ec35a5424796b276a3d3fc40c7c7,f2,False,,
fn:05e21c69305f43ad8e03160e9225f950,f2,False,,
fn:0604d6d33ef641cb9b8028c5b2efa526,f2,False,,
fn:062405f116934635ac4406e9b1b5a440,f2,False,,
fn:065062185390419a896b6824eab47e1b,f2,False,,
fn:06527501310e4233965624e7df1be3bc,f1,False,,
fn:0680a272509940dc89e7e31a6a807617,F1,False,ma:b5f8e33f9232455c8dbce756dff02e1d,comp:d245776d4118459b8ac61c46e175aee3
fn:0695ff8519444719883d3171ca419d12,f1,False,,
fn:08044051756c4e83af17ae64856d37f7,f2,False,,
fn:080dc05ab49e4ed9b9b34d84a95cfdd1,f1,False,,
fn:080e375cf2fe42cb8f7e3a03b0d0fd55,f1,False,,
fn:08875dfba65d460090c8d6bb87e2b4d5,f1,False,,
fn:0897e6abd3e9451ba41d633043991369,F1,False,ma:ab21916ee5d64552b340522cfc55d90e,comp:0b6491a017bd470d873da5ff7da2910c
fn:08d9920a78d94c12a6c9928243b4bfd7,f2,False,,
fn:08ec13ecfa5d46c3902169363ba00dd7,F1,False,ma:5862b809656644f7b8fa6f4b4b579bfd,comp:06b47c90c3cc4a1a8fa8065160b13405
fn:08f20da24f8b48c68c7cc8b8dbaeb98f,F1,False,ma:436a7410fbb542b4a84127c1d25649a1,comp:66e448d3cb7243318f1ac39bf05dedd3
fn:0900580b69b442e8831b44a71ffdbbf1,f1,False,,
fn:09401c01e061487f82c5e16baca566d1,F1,False,ma:1b56982da2344a8e820dbffd53ece20e,comp:46fe2b2a328f4b938036aafa8868f347
fn:098f845a13f44e5085def24295ec412c,F1,False,ma:d3e9dd128d14422b9c887c6bc5f3615c,comp:d88a3bdf237b4ae8a63aa2e8da2c3b86
fn:09a1eaf915134e2299af6a003dcbceef,F1,False,ma:53c54f5d229647b3b16cd1b03988bdf1,comp:7fcb67e9ae574328b98766d76dda132d
fn:09ee9591338f4b489c524e43c532b6b3,f1,False,,
fn:0a1db5458b984ca3b20d1f6a87ed6f1b,f2,False,,
fn:0a2cbd95d5104b2fbdd910ede815965d,f2,False,,
fn:0a34fafa643b4498930625802a99eaef,f2,False,,
fn:0a3b1c5d719f43948b8d2c933aef184d,f1,False,,
fn:0a3b8b8ce43a4a59bbfcb25f676ca391,f1,False,,
fn:0a55c5c5c9ac418d847fd3a88ff48461,F1,False,ma:be9a08409d8446ba94686654c3997e60,comp:836bf9d716fa41279f264ad123baecf7
fn:0a58a7c3dcc448729385f1c89b295d90,f1,False,,
fn:0a5e0c124a684f81b8bbafb11e7222db,f1,False,,
fn:0a6259d532d543b99a26216f9a4330a8,f2,False,,
fn:0a9d87e1b07b4c14b8b1b9ca5f7df90c,f1,False,,
fn:0ab0a42393804167ac5bb8147c685124,f2,False,,
fn:0ab5c99dc2bb41ae9667e4de5b696802,f2,False,,
fn:0ac9bdaa64dc4d258ba85bd0220e5423,F1,False,ma:a1af70544ed44b37870cab0f4f004fe2,comp:454d564a1e1e4b2ab56d24ef27c4a248
fn:0b1dbf99d1fd4d94868a9b10a9f2612c,F1,False,ma:9e76f6e253534594ae8ca1e24a907917,comp:ced25e81cb3b42cfb0c37fa29f842c6a
fn:0b304699c54d4f22ab841f5d486ebd89,f2,False,,
fn:0b5107d88f2f497b83cf34ba5385a6d3,f1,False,,
fn:0b5d934804934a368c61d9c19aa879a5,f2,False,,
fn:0b8edee0bf82484591531d6caf1e7017,f2,False,,
fn:0c70eca93ff946f385a0cca7cb803204,f1,False,,
fn:0d0900a8b2ca4beaba22ec1675c734a1,f2,False,,
fn:0d20a75a8dc54d7fa9dd7a6b41c3eeb5,f1,False,,
fn:0d453185b3cf46b8bc5d764ec98a6548,f2,False,,
