uid,rule,problem_id
ma:0040a1f431d24eea944566cec4446ed9,FIFO,pb:3db2b0fdd08644f88fdb469153a62b09
ma:0134d9ccef3e4a7691144f3022c9c93b,FIFO,pb:55eb7f4480d34647954bd645d97d435f
ma:013706b7966a4e1a9ae4adb58f360919,FIFO,pb:84fba4f67b6940bd88de9b6764d56203
ma:0158e2df672644a5af5e918570b593ce,FIFO,pb:21749b88ab5d448298dd4d71bdbb7642
ma:023942c7a31044e3966435f8189e857e,FIFO,pb:174644aa778a4d78a9d992369a2f7f94
ma:0318c7777f8c43ef8430a64808148864,FIFO,pb:11a117d6ad7d46eaa8c0baca175c90ac
ma:0368d285b24b4318b8509544ed75218f,FIFO,pb:9f2f989121b246768b0a817a815c14cd
ma:03e2bcd09612413bada2352fcb85793c,FIFO,pb:ae28c8341d6d4ac4b7005090083756a5
ma:044d1b490d4d4b9b8a8f71456222a753,FIFO,pb:ff37c0935c9b4d88bf5c694798f88c10
ma:045cce98770248629c56a2d16c26ce0a,FIFO,pb:1c92f4f9e4aa431a9fe2371bc8a6416b
ma:04b56497ba9a4e49a599f33624183a19,FIFO,pb:c7f149c03e544bba81c804ab54f90c0a
ma:0519a9972a7a4d179815c5dcb92a6d19,FIFO,pb:11a117d6ad7d46eaa8c0baca175c90ac
ma:05808522638645039815f2e25e362641,FIFO,pb:b589dead27ba4cfa9420a2f10c4689b0
ma:0585e98f6a624f91b822b5a478d49ae3,FIFO,pb:f7aa15115b9b4007abe4c3b45a72448b
ma:0593c21aa23645488bfc75e59841207a,FIFO,pb:ae65cbfcf390487e83830da4cfe038e9
ma:060434bf797f4e4b9b81770486e819db,FIFO,pb:b589dead27ba4cfa9420a2f10c4689b0
ma:06466877cea6464e8494b7f4579c6039,FIFO,pb:c76e01b20c1043748bc423a1743c236b
ma:06ad0211c804479eaf27dabcda32608f,FIFO,pb:3c992d942fdc4f6189d88165160c4135
ma:06c38a435ac541e09ad820153c289562,FIFO,pb:086ee52fe5fb47a78fc687f1f3beb27f
ma:06cff3a6312442dea19790fe762013b2,FIFO,pb:23356c9714e640d6b56306cd9ed58d46
ma:06e4c2e158e64eaeb282d5a32aa92609,FIFO,pb:11a117d6ad7d46eaa8c0baca175c90ac
ma:0727c763a75c48a183429dbcfb8c07d9,FIFO,pb:b589dead27ba4cfa9420a2f10c4689b0
ma:077c30e8f2174fabbf63ce53d4b6266e,FIFO,pb:c979b34139bb4d45b9a2ba8f8961dfe0
ma:0785a21562e14e01bc7540473dd6749a,FIFO,pb:c979b34139bb4d45b9a2ba8f8961dfe0
ma:07d9785e2c614d96b5c2654e53761637,FIFO,pb:1c92f4f9e4aa431a9fe2371bc8a6416b
ma:088dfd1ce96f4b6cb349cc87666b5f25,FIFO,pb:1c92f4f9e4aa431a9fe2371bc8a6416b
ma:089ecc5f97d34d019252055de774524a,FIFO,pb:f12ec1beb8f644809ada679a121d8659
ma:08fdabb82e6e4ab3a7ba9d23d406bd83,FIFO,pb:eeae4ff3cf9441b7a74ee59b4bf368fa
ma:09a88246b4704601b6e6368d800a0f81,FIFO,pb:9f2f989121b246768b0a817a815c14cd
ma:09ee2fa6b163492094a86372f16b7b16,FIFO,pb:75a644b8ed8c4ff4bda8b13350b8f545
ma:0a28ba0d6c1644368ae7bc302330483c,FIFO,pb:3db2b0fdd08644f88fdb469153a62b09
ma:0aaecd55f7a3407296bfe5246fa0f775,FIFO,pb:f0bc65eb9ed340649c272ff6986b189a
ma:0ac158641e3047a0949fb883636f10b5,FIFO,pb:6b24bf8425a8417ebcd7fc5502f5bc7e
ma:0b80d78064494138885792fd8e05d3cd,FIFO,pb:21749b88ab5d448298dd4d71bdbb7642
ma:0d0f6875718d4ef7b4ff064dcc981661,FIFO,pb:0e69cd33f8fd4145974d44b6a8c8c28d
ma:0d29c289a72b42cb8688370ea63176f7,FIFO,pb:ae28c8341d6d4ac4b7005090083756a5
ma:0d3dbb6d679243e685787b27429b8e65,FIFO,pb:9cce3cc298814c50b76431e7c558ab50
ma:0d44b687cf4b4bf2a5d22a813c198554,FIFO,pb:9cce3cc298814c50b76431e7c558ab50
