uid,need_date,device_id
tm:000131a0e12d4e3c811fb3838b431cb9,5,dev:653ad42d2f7142cab82daff3280fbfbb
tm:00314ddc81c24b919a1cf9b0d7e85aa2,15,dev:1a3c57bfff974b86aef0793c998f9c97
tm:0034e767d02f487da37659fa9b0a8945,5,dev:17c94dec775f44a4a8340f01ba3dc679
tm:0073779ebfe8473cbfa06959016c9b2d,5,dev:4d1be0046a6f4ad3bd26f96b88f5328f
tm:0074255cc1dd4e02bd0e8fb90ddcaece,5,dev:d2f3d6d8d4e04b05a8c43fcad466d573
tm:007dce7065b24c17899c3291bc3d95dc,77,dev:ed7660b826ad4a82b22affa29e8e3551
tm:00911de6e0e6479f9fbef49d1982b4c1,5,dev:9ebb1d9d4aa34283b411a4edd3ba80cf
tm:00bbfe0f15b547c9a3f6f891bc79404d,5,dev:c165eccb43c8487e9cf941978ef92ea6
tm:00c46a6994514272b65fd907ee8fe414,5,dev:d0a1f5118d39497aaca40ab5cbee0cd7
tm:00f0ec01a2a440bb8b97a555d7d686c1,5,dev:642e522779e841a7a6c8dc5304a27d74
tm:00fbe75518134bc6aa901def9e57f12f,5,dev:858679241aab4f4f876e6819fb69ee5a
tm:0101fea71fa44bfe85d367a776ffd470,2,dev:4e67d9f99c8646baa198e6e1bfd6c2bc
tm:0104ebae3a5b453fbb8c2e9a7b91b262,5,dev:18dbf8a6a19b4a14aa17ca9d820fef00
tm:0109c6d964844ef7adde8090391e173f,5,dev:ec28651ac53140de94eeef27331076e6
tm:011a0f744daa4ac39c2d1d330b5df9cb,5,dev:ff5b1860bd6643ad9ae5228bad85fa59
tm:0142499729654b3eb612593cfa1cb512,7,dev:0f8b6ff8a04a4bb68f03565ceafd14ed
tm:015363603e8c4c8f9ed700a5fae1704f,5,dev:456f958c5a764f318cc1b69e29a3994f
tm:016c8f763c06453eb99bc3c5103770ad,5,dev:858679241aab4f4f876e6819fb69ee5a
tm:01a68acc1ad1455cbaf5d287ab3ceae5,5,dev:ff5b1860bd6643ad9ae5228bad85fa59
tm:01ab2412e027468db532531b96149d76,7,dev:ef9bb392992c424c855f806f53f27d50
tm:0208b7f5295343b6aa2e99fffecee1de,5,dev:aa5f29c5efd84d1699704c5dce7ed54e
tm:020920cf60b943f288d583cdf7f9ef42,10,dev:b04e3467571643a98ed5c5e38a649899
tm:0264b7fcb86845bbaffe9dbd82cd3c20,5,dev:30d59975458a431e8bab4162ecd611fe
tm:02a2378b0fc149329614f3424c40f739,7,dev:0f8b6ff8a04a4bb68f03565ceafd14ed
tm:02b56928032544f7a042f8fc5742bde6,5,dev:e957b73dc9174a2f836bd801a90b01c4
tm:02d80ab66c68458382f4e40d2d9c6293,5,dev:34d07eaadc394eb5b4ae678519127275
tm:02dbb9e9f35242259e4b58fee145e233,5,dev:788e8164a66b45e58011a9a5c1c7ee2b
tm:02e04d7d118e4253a43db839f4ba6efb,5,dev:d33a42bbc4cf4924af007c9bd6067ccf
tm:02edeab374f44f4b897c0cba70502dc2,11,dev:5721b22d74234fe68e57f1fa3e5b0883
tm:0326fff4b4dc4150ab870edf5bb8a298,29,dev:4c412ef5ceb94752821c450b9e199837
tm:0347d3dc04fd430da1b971ec348e960d,125,dev:3575b2e6f7d44f6b80e23fefff829869
tm:038ad93b176c47ccbaa118f75637f86d,5,dev:657564d129e74e3d9dba60ae2b164732
tm:03b70a1667504c8881c549cf16c2b5fb,9,dev:9929681f10844c58aca4da10653034bd
tm:03f40531d7a44463b7683a6eb07970cd,39,dev:e26bf7afc32a4c639eebc356eb9ec720
tm:040a6b5f273747efbd88e675615386e1,5,dev:01a7ad4e158044168265739a1da1a222
tm:0411b1c84e3b4ae892f7a11504d60010,12,dev:420ba8a43db74940a4d2383ea155c5b7
tm:042189a4e9fc470dbf0314ea8959812a,5,dev:24269442c6814d72a65d3f8ad17e162d
tm:04492682382a49f3874b905cd2986ca8,5,dev:d2e6bb3d9e854ffcaa8c93d5b2ce207e
tm:050b524720794d14a84794d9035d4538,5,dev:a2c955c34fc8489284c30e174b538ef3
tm:0514c09b52a54a75a219614db964149a,5,dev:e957b73dc9174a2f836bd801a90b01c4
tm:052ddb115bbe4005b1901156aec54352,5,dev:30e12531f85b4cd28206114694b6aa07
tm:05b307d2ceea4936a64d8168613dca36,5,dev:dfead15646cc44c5a5dcd5abc225a1e5
tm:05ce8770e2ec487a986f572cda1156e4,5,dev:ec3afd103f9142a5babec6feb913a899
tm:05d5f00c576248c798eae3036dde0513,13,dev:9989611204a5415fbc59890446716d68
tm:060d356ff38c463da6ffd6cf451c193b,5,dev:ebd819b8828041a3816a6266ce3ad2aa
tm:06a5a82c29c84d10ae1a4e4d3c9c7e9d,5,dev:3575b2e6f7d44f6b80e23fefff829869
tm:0738b16d970d4e13b8453312ec581bfb,8,dev:c884e6f9bcde4ab480cefbe135f033d1
tm:076aa2eb7f0c4045baec2ad05c719660,12,dev:420ba8a43db74940a4d2383ea155c5b7
tm:077bc07195164c10a86894d37c062c28,5,dev:e957b73dc9174a2f836bd801a90b01c4
tm:07a29f0d6402416fa347b07d73dd7fda,5,dev:c165eccb43c8487e9cf941978ef92ea6
tm:080b9928799e41f1a87a0c449cfabd37,5,dev:b2792e871cf949eeb836dbe80d36a94d
tm:081b35f80fa94bfba087188e7e416b9a,5,dev:81ad2a1e2c114112b69e6ef393fdf31f
tm:084979a0250f4434b72a72918f9ed0dc,14,dev:98ed4af612724c4681bc970a9531fcfb
tm:0889148b4f1f4ad599e31b393aa2a1b9,6,dev:dadcc6bf1da94806b4b904f55e46c185
tm:08a85d5fa2cc499ea39676f835cf905d,11,dev:d4f954bc5fdc4a92a4f0aa0b641ca638
tm:08f8348a14f04bfdac3b99820b026fff,5,dev:0942ddee74a44b778d905788c8561a75
tm:0928894f37da4c029608250210896a26,5,dev:043a57c7d1ea4130b696846a624c41b2
tm:094b6517ce194ff4b3095a38cb64ca38,5,dev:cc137d00858f4750b307734338988b9e
tm:09794a5cf2dd496288df0c173eb93cc6,5,dev:d17b6da0fc024d0b961153ce18b199ab
tm:09d0ec2407024fdba67ccff301379f64,5,dev:a94d9fba39c645d48f1cf7013981fa93
tm:0a0442321ac54246bf7b34ee32aadd88,15,dev:905a6595b79e4a3b80d7574caab88442
tm:0a04af6a78464ac5b4e9bc16b07d93a4,5,dev:2e69eb42e7b24e7c8ae287641236b4e9
tm:0a1724656a8746c2b7664ec8a4a40808,5,dev:28e8c56a562b4a9f8f0fb60c4b8aecc8
tm:0a4efbe0ffc84714b512c80879489bb5,5,dev:d7d75a3a8b6d41d0ab65b302dffc37f0
tm:0ad20d2f044f48638012d2a3cddc7c78,5,dev:1e00d95210574592af60607f83ef3b48
tm:0af5ce0eae6044b283a5dbbd177fcdf3,12,dev:88563fbfb21e4d87969f7bbb6114acff
tm:0b0b9b228c7742d9a2ee5061f0958188,14,dev:106972af75ff42c7bbe038d73a7bbebf
tm:0b3533a15c674bb4b997ee7af2fb6cd4,5,dev:2e2b2c880e804adfab655501717c5302
tm:0b4ec8fd8b684d2b82203d511cedc721,5,dev:3650b2764e8144f28594aacfd85a1042
tm:0b9835ff19b74892b2cdef00f42faa2c,5,dev:d9b1b70c7ae441cfa577ad5fdf4f0921
tm:0c0aa4e3e48f487eb8e9f38543e00643,5,dev:c165eccb43c8487e9cf941978ef92ea6
