uid,start_time,end_time,ressource_id
ts:0000ba585c554e549da74a3b3092104c,146.0,168.0,ma:0f1c0292161544ac94df752471126d89
ts:00062fbaebba48c1b0cd3221df815fb8,49.0,51.0,mr:274de1c45f984049b3d33a964a7ced4b
ts:00075126de6048daae0f531346cfc649,25.0,27.0,mr:5cc550252829472a8f4baecac5a33240
ts:0008dbd75b2e4bceb56090f667d7a333,146.0,168.0,ma:56cb8fce27fd4cb1bf17a43621a6dee4
ts:0009229af9084a2ab3946485e163fc00,74.0,77.0,ma:f6c09c7d1f6343579b7bec005056e110
ts:000bbc0f91eb44a4b7f5c1b0d499fc8d,49.0,51.0,mr:7f400f69d6fb4962bd515c183601dd61
ts:000ffb38575b4088a2d7ffcc5e4fb371,122.0,125.0,ma:c00e8c6f7e6949c99d53258246198d83
ts:00160e7a3c5444fda7125bb77c775d2d,0.0,5.0,ma:274506adaa32423aa3f68202074730a1
ts:0017efcc5d874449b00a51f71ca804d7,25.0,27.0,mr:ddc196d1f99743aebc83ff2bf5ac8cc1
ts:001e6fc7e1804b1b86f4853f987ce710,122.0,125.0,ma:e9fe106ae9bf4a3f8b4910b79c69f0e0
ts:001ef7ed6cc4421b96e2f386edcae615,49.0,51.0,mr:81ca932f3a99463fa1e90c89b7e00150
ts:002883b9d7364201bc2c9557d3a9de9b,121.0,123.0,mr:07da17f6f2b7484696451c4823548427
ts:002fe79e33174b9ab0898c63c2cba24f,25.0,27.0,mr:faf32687b9b04dbeb8033574d8d908d9
ts:003200b5cfa84f94a63db94df904f9ed,122.0,125.0,ma:c1f0daedfffa46bcbed2033ff5f2d4d5
ts:00359f0c530d4c35b4c2225b70d92e75,146.0,168.0,ma:b4e2fe0f6a3544ba8acb45eb779648f0
ts:0048efcff5f6471187928a72465a6986,26.0,29.0,ma:8feb90b4bc794582839d68fc9c37a1dc
ts:004f10ea6d624644bce09bb9afded280,0.0,5.0,ma:0d3dbb6d679243e685787b27429b8e65
ts:0053486bd3b848938cfc1c4307fce2df,26.0,29.0,ma:e0502db34e854fc49a649614d2a011c1
ts:0056e7214ead4751a02b13a99be88339,49.0,51.0,mr:92926aa0823e4a14836dee6b1403dd6d
ts:0059dd15ee4f4431924a4d33e7c7841b,146.0,168.0,ma:85f474775d854de0aa37409f2b5669a4
ts:005b0d5453de45e2a844cfec04bb9a5c,73.0,75.0,mr:59b1c880a1ee4bb89ba872f4aa46f5cd
ts:0087f0ca29174481bf9e0b219aa460cd,146.0,168.0,ma:58614a4b17de4e969a32ed10d3c312fe
ts:008a6337940141f5ac6aa014a45280f7,74.0,77.0,ma:f851849c3e394d7fb8b5ca62c907c799
ts:008b1e64015143968b89b9bcbc630bd3,146.0,168.0,ma:21201fdd13d44806b743678348be54fb
ts:00a3c13b66f34080a8b4cf6f874ae337,145.0,168.0,mr:62d5a18c4dab44eaa2f96ff8faa03670
ts:00b0f3a867f54ab58a8c93d23a9aa5a2,0.0,3.0,mr:97f08185d3764f239d929a8636099ec2
ts:00b6b9385cfa4659a01fe33dd7cd428d,0.0,5.0,ma:b15e706882b34feaad0ab793913dc675
ts:00bc4dbb18304887bacf91afdf229067,73.0,75.0,mr:269660e3a77d4fef9e870177d3c28ff9
ts:00dbf2f8a66b42cba25306b5884dc3c7,49.0,51.0,mr:32522434c5fe440cbea432f0685235ff
ts:00f473c95c6d446ea0a7221cd534cdb4,146.0,168.0,ma:21998bde8e19458e87e0eec673afdd2c
ts:01078bc2584743ef8bdad2284eb81941,50.0,53.0,ma:c431fbb247924881a5adf4de59af0a0e
ts:0108d48162ad4af3a726abf4f05c9bad,49.0,51.0,mr:49a882f5c3f9437fb61ce7501b7e0b31
ts:011658ee40b4468d851410ff9589530f,74.0,77.0,ma:7b889a525ba2483ea145eaf2639869fb
ts:0116c240435a4843b138cc461a0df276,122.0,125.0,ma:85cb368ec7504aa6a316c8b6571d72cf
ts:01243e39cdfd40618ea378c1f455114d,97.0,99.0,mr:cb115f800d9641c498458512629a5d21
ts:01244a7ea0e047f4858267bf17093ea5,26.0,29.0,ma:118d0171d57548f0b267701306f0817f
ts:012bb90ab6f44497ae5235e7adc9b099,73.0,75.0,mr:17571940c92740ee96e4ba55e5bc1927
ts:012c9890223048e8ac8ca3f5163ba3ff,98.0,101.0,ma:6796490bf2434411a213de6f18b5ec87
ts:012d9a2ebf8c459981bb8ed6edaa3a93,74.0,77.0,ma:d2d1d0ce305b464790c739cd45654e58
ts:013338365d2b4c2b9fec00637d480714,122.0,125.0,ma:9f77ac9ec2a947509e6bc4fd9ab99274
ts:01362a018c374827ad54df7fa7ccf50d,146.0,168.0,ma:f114f6026fd64d35a497ca7bdf3fbb7c
ts:013b6b6dd588463ca330e731c072562e,49.0,51.0,mr:e00035c6a43d4f5b95880c1269412a40
ts:013d19f6c1c944e6b0ec531f8a6343af,146.0,168.0,ma:7b889a525ba2483ea145eaf2639869fb
ts:013d3b9f84f04a2ab5db6f9a7ce87364,0.0,3.0,mr:53b9fb1f32b9444289326c270c07ef30
ts:01422a71b72f436b9af3dd8ef6004d10,146.0,168.0,ma:0aaecd55f7a3407296bfe5246fa0f775
ts:01449598d78844e1a57084b3d6168429,49.0,51.0,mr:34d85686b80a4bd7952142e9710aef64
ts:0145152c1bad4d21b4570eba174863f7,145.0,168.0,mr:6225faba97644fbcab83463ce828ec56
ts:0150d6e37fda4be8965e51491be00bb2,50.0,53.0,ma:90c50e604f7748c589ee42050c2aad67
ts:01621bd044574992865e3fc2b9490968,50.0,53.0,ma:b52f98b2a2f3408b9da19d5facb34bd8
ts:0162c04939794cb4b1afeb27626f608a,25.0,27.0,mr:44b797f6626048f181f76863c0f990ee
