uid,duration,routing_id
tf:001623469ca94461a619585a7bd2aebf,5.0,ro:2b5815a50b7843ae9ab0c81b701c7430
tf:001636981cc545b99241d04036e6f675,5.0,ro:4708a62032914b5f8f32f67200cf697d
tf:00174cf67d0e47e6be3cca3ca9a21b25,5.0,ro:ff3a57b12d6e41bbbe89ad37a804c06e
tf:001ae0b865e2478789832f6176386534,5.0,ro:ee133716da1a4e6e98bf31c6f0f71cbe
tf:001d04473a4e45c5abe4d27aa8d9f1a4,5.0,ro:516e7577848542b7847269e8d40fd193
tf:001e031043ad4b05a571010e2fd6306a,5.0,ro:1c7bf6f591e442aa87c9fe215a8d3393
tf:00243fa11b4747c1a76b87dc115a7200,5.0,ro:99ba6617bbfc4281818086588caad60d
tf:0026589fcd2740df9e8f433b5dceb946,5.0,ro:c77d035f855244cd993a3fce5406bb40
tf:002d2807fd604978aa0c903e50833318,5.0,ro:061adb33d32d48528ad5c93d34c2ab11
tf:00414c2da3e0479e9b1532ff951447a8,5.0,ro:ad7fedec40d1443db7dd0607792a48e5
tf:0041ed932f4941f38ed3262e0e4433df,5.0,ro:cce9d5cee2eb489aa1b9bf32ac8442fa
tf:004cc2a5ccb54531b14aeb2a7b3b80b9,5.0,ro:97b1fef9fa204fbb9048d51993087273
tf:004dc8e2442e4d0f86cb3db37d957811,5.0,ro:4151a92d80a448518c61bbb9ce3d3ea9
tf:004e9d4e5f4b45278843400cefdfaeff,5.0,ro:90e80e6aa7a24c5b874158618635041c
tf:005bd5813f004eb1960cbf31a654e64f,5.0,ro:183c7dd0b8104d1b91ee68b9e3ebd837
tf:0063c2890a2c46e5b76ed6f5adf3b7e2,5.0,ro:6a225f77d1cd4544b39db04082febf7b
tf:006ad85930fd4fb5916191fb8fd80b94,5.0,ro:32f6f642d39f49c4b516c7140a5672a5
tf:006c27f1077c4ce7a76d067698b7787b,5.0,ro:bfd0ae6157da4c6fb568e4b64d734538
tf:0074889f2f304bbdbff691609dc40cb0,5.0,ro:aa932abf94884f4f8fcc85e00a6793d9
tf:007847780cd24ffc8400d20dfd5f3e11,5.0,ro:1890dcb9488a49abb08ac6a5ce5dd7da
tf:0090dda2511940ea84dbf9a167301455,5.0,ro:5509a627a8c349998f8ae19c3eeda7d8
tf:00977a24418a43118efe6a0f25af2d24,5.0,ro:e6947207b181426c91fb7cf78f30ecb7
tf:00a4596d5c4d46f1a44af61c899b1dec,5.0,ro:3e1bc8d6f2b649e5bc36d1788ee30e52
tf:00a475b75751407ea7da00ddfb7126ad,5.0,ro:c07cffb760e545bab71fb5098047d4a4
tf:00a4f163600140429d1bcbd4c49aff14,5.0,ro:0507bb9373b84753893d5dd8f202df7d
tf:00a51c60ca8f4dce84f7109802eb0327,5.0,ro:2bec3191be0f4bb58c1031b74e9f03fd
tf:00a71abb497f49178f384ca920cd773e,5.0,ro:470f2261f6ce4418a803ab79acaea1df
tf:00aed777878f45afa497213189b847fb,5.0,ro:5c305f271772473b9d6eb8233a24b6be
tf:00b01a6461f34720af5263c7a1509e70,5.0,ro:82a681154a2e4981960668344b7ebc3d
tf:00b37b2fafba4f46b14da9bce827d374,5.0,ro:6e09bc011f524b3d9ad2409d09427b6a
tf:00b4f50203194ff19165a293aa6d6474,5.0,ro:84ae02702cd34247939b234b64e5177e
tf:00bb3706268d4804b850ae9eed6e422f,5.0,ro:17894fb5aa4d44a385ab606ae2436ae8
tf:00bb4a0cf8ba40fd8345b6e6abdd3306,5.0,ro:f42b3e4359cd4461988b2c8cec63b836
tf:00c78fb3abfb4f958cbe745c9e9069c0,5.0,ro:15c4d011e8394842900e0a8775f1b65c
tf:00dcd34dd0f641268a8b2ac2024d5d1a,5.0,ro:98a42ce524a644a49adf4751cf25c27e
tf:00e1955008ba45d8a194d306a4ff32cc,5.0,ro:73403243d1df47ce8ab76061c4b478a3
tf:00e698970eee4310824b4c1341b171d5,5.0,ro:cd8b9875ffbd4564b0dc6d1cd601a56a
tf:011a8cfbc7df4f48838729e7d8fa9bd8,5.0,ro:4454a6c4cb644a638324e513cadf992a
tf:011f517782644a87853a96432236e429,5.0,ro:ec640bfbfd0342a4bc1af5196c90c2e6
tf:01270a661f8a4f118f1ff2828133def8,5.0,ro:0936bbb0011c4705b73394df29bab079
tf:012da7bec2e74d4792515912b40f1406,5.0,ro:1e4d44a820914e1e895d53992473189b
tf:01303340a1b944d081435f4e5cd23bed,5.0,ro:b9aa108b7409465784f69c9951a71a31
tf:0136f4ec21ed44d1a9a9faa228c81b19,5.0,ro:86a6ea28da1e413082d46c653c4628bf
tf:013b191078bd4600bcf8e1ce6789c4c4,5.0,ro:de6ad7ef5f20405a9195d70d01cd53a6
tf:013cec8720364aafbefd29f3037e3251,5.0,ro:ebbd5eb64fc14f42b9322712fa335272
tf:014773a20be5483a9567774e98715b5b,5.0,ro:14c1f91c3c044db980af90e4729037bd
tf:0151a9f3948e43e49f8a4364b98a54e4,5.0,ro:274a2662dbb34db49e3d18808b4543c2
tf:0153e8a5114642c4815c5e032bb3e65f,5.0,ro:c26651d5fc234730bc51bf4fc07c39a2
tf:01556a1331c94eecb320ae266195a8ad,5.0,ro:9d114d33a7504af3a344d0d1ceae7f06
tf:015a0b8b47c34d0a94d4f86021f3e00b,5.0,ro:9c730c173c464a9fbb21ac02ac21ddb8
tf:01648705c754423b884570a782d4f7d1,5.0,ro:86b4c6555751499abab85cabb6f6dcb4
tf:016ef4ab3110446192cfcfc792479983,5.0,ro:8a050edd9eec475eade4a0647e038f7e
tf:01797bce502245b3bdec7910c51a4864,5.0,ro:1cb91f0b0de7475a8e5ff0e573333e4c
tf:017cd49d0b2c4bfcbcc100142b23a044,5.0,ro:506c1496938745a099fd074920f4dd7b
tf:018356866e3f4f769305f04d85069aef,5.0,ro:88d69c2eca2a4405885b22c292dc6ee7
tf:0197aba94ccc48a1a16feae4082e25fc,5.0,ro:a0c041bf7c4049cfa9b4922b63826d9c
tf:019d5a1f6adc47ac9c4822d9abe20e4f,5.0,ro:588a1b8a28fc47d492ea66fe7ac8fe8f
tf:01b1bbfb1909462aaca926734033f960,5.0,ro:dfc87454f19b407189274702b4260f4c
tf:01c2ded4c3ad4639b0515e7eca00cc85,5.0,ro:3b9345b8ee5048cc84b3fbd6b7362f07
tf:01cf71afe34a4fc685c5a0ff434d140e,5.0,ro:dd45fe0374804e2fb52e491d65bad375
tf:01d15df361f94cf29495b3aa57cc530a,5.0,ro:f735798c7e3f44b6bc66b39521c50bab
tf:01d46f3c5976479880c9928abfa92264,5.0,ro:9d79bc0c371841078d7686f42d970066
tf:01d55d5d92244455b04a2cfe2a863396,5.0,ro:ecb8555b575247edb5e9fa983b6ac843
tf:01d58918173841b2ad639610a15e08ac,5.0,ro:23dcf0d94edc41339cd80b064bb9db04
tf:01dbc643ec16462f9fadae9d47bf3023,5.0,ro:c34d66be094345b9bf058db091605b74
tf:01df265e2e0e4ba88ef0abb44ad906ff,5.0,ro:93c5046d936940fb83d42a2f58d9e172
tf:01e4fb46cb7c4447a3dc7f65636385de,5.0,ro:d3a59d9b9f69429aa30618b6514bd28f
tf:01e7939c15f34bfe957d8563688d5321,5.0,ro:297dd4ebb5404c3894f80b8cc69375a8
tf:01efb852f6704b01ad958f1825bf736f,5.0,ro:a09667f0a55441c9bb2514ea93641fe9
tf:01f0f25a8b794df09fcfab491ee31cf1,5.0,ro:4ea06a9027f8446da78dee0d9cddbedf
tf:01f1b0f548b7437bb3c8969df31273de,5.0,ro:752bc5ff6b7348909927008c5ffa28e9
tf:01f6474652074b97914046b77386ceaa,5.0,ro:4969d60ccb0849dbb1a002df00ad7e36
tf:01fcc43880514666a36031dfe3be06f7,5.0,ro:8c8f8d0979b24d39866dda87a62c9b3b
tf:020e13ba839e4272bf5f1c05f0707456,5.0,ro:b4e59a20cfad46ea8aeb8c2e19d555a5
tf:0213e0cae5454faa864cf31d984af711,5.0,ro:2a55f46382cf42b39b820385118f49cc
tf:021c5bdbbd1742b7b1fe84ffcd915887,5.0,ro:e5fe5f45c7134ffa8d869443b4be0fa2
tf:021ccde77d894769949934e77cf61dd6,5.0,ro:268e4c5743f54446878b120a776803a3
tf:021cea98cd8947de845008bfc0cd2e2e,5.0,ro:d04f38e065244cf29f91499c2af100e5
tf:0221e101ef664bedbb29c4cf183874cc,5.0,ro:408a29277b35493cabbfda05b0b34c7b
tf:02226629be7b4d6b84408dec63654771,5.0,ro:ca09d74706c44ababf2b5b21d5069014
tf:0222e5f87c7e43d7a5b08a2d861f29be,5.0,ro:11e441197f2d42eb98d04432f172f196
tf:0227edb2f93744919e158a571f1d6877,5.0,ro:d3f3d63d20224427980c18e75f9c5e80
tf:022ae954df4e4ee78290378cd1edc197,5.0,ro:fc863c8a56a44154970cc3a9d884df2b
tf:022ff629133e401b90539623764545da,5.0,ro:c1f280a526114c5cbe853261abf0f947
tf:02322073f61d41209b1e7b341ab2ac4a,5.0,ro:4817a405966742e6b61e3d559e69af78
tf:0234a889c5d747afb435bb71ea2a4379,5.0,ro:21ba3985f58746cbba313f72452d62ac
tf:0235dc7518d04c8da49b68a40636cc7d,5.0,ro:5ba74a34eb5b44ffbfeaeb62fcaa734c
tf:0237e4c72f7642db843cbdad46f03867,5.0,ro:878b1336905743438c2f7ded7c9010d5
tf:023cfa87bdfd4ab4aee5ba984f045fca,5.0,ro:df89d385be3b4c029ddf2c64f3e728f8
tf:024452bd648e4300b4c45aa22e151afa,5.0,ro:ff3bbbee433e4f3caa564702e78a202f
tf:024957e91d6746afb7194b4929fc88a4,5.0,ro:2f09af5d92c74a9397d5772f16ec29a5
tf:024c3a0d10a54d7dac4e33e93489edb5,5.0,ro:40511c3fde1d44c1ab0e34c17107aac9
tf:0264a7a903744096854be802b3d69d94,5.0,ro:6937de9d24a94ea6be536ea52de5e8c3
tf:0268c96248c04ab2a6f0d409703c0fcf,5.0,ro:17c9708ff44641db815187935ea38df8
tf:02693165153848ec99a3f71e283a5ec0,5.0,ro:638e752fb91940ab91767b02b3d217ec
tf:02710ff1ff6546c2a5069661b09fd9f6,5.0,ro:e64fcd6f9a3548579ca4568f8b377561
