uid,name,type
ma:0040a1f431d24eea944566cec4446ed9,7SXAWT98,machines
ma:0134d9ccef3e4a7691144f3022c9c93b,7SXAWU97,machines
ma:013706b7966a4e1a9ae4adb58f360919,7SXAWS81,machines
ma:0158e2df672644a5af5e918570b593ce,7SXAWU97,machines
ma:023942c7a31044e3966435f8189e857e,7SXAWU87,machines
ma:0318c7777f8c43ef8430a64808148864,7SXAWU91,machines
ma:0368d285b24b4318b8509544ed75218f,7SXAWU94,machines
ma:03e2bcd09612413bada2352fcb85793c,7SXAWU97,machines
ma:044d1b490d4d4b9b8a8f71456222a753,7SXAWU95,machines
ma:045cce98770248629c56a2d16c26ce0a,7SXAWU95,machines
ma:04b56497ba9a4e49a599f33624183a19,7SXAWU91,machines
ma:0519a9972a7a4d179815c5dcb92a6d19,7SXAWU96,machines
ma:05808522638645039815f2e25e362641,7SXAWT98,machines
ma:0585e98f6a624f91b822b5a478d49ae3,7SXAWU89,machines
ma:0593c21aa23645488bfc75e59841207a,7SXAWU82,machines
ma:060434bf797f4e4b9b81770486e819db,7SXAWU81,machines
ma:06466877cea6464e8494b7f4579c6039,7SXAWU98,machines
ma:06ad0211c804479eaf27dabcda32608f,7SXAWU87,machines
ma:06c38a435ac541e09ad820153c289562,7SXAWU81,machines
ma:06cff3a6312442dea19790fe762013b2,7SXAWT97,machines
ma:06e4c2e158e64eaeb282d5a32aa92609,7SXAWU94,machines
ma:0727c763a75c48a183429dbcfb8c07d9,7SXAWU89,machines
ma:077c30e8f2174fabbf63ce53d4b6266e,7SXAWU80,machines
ma:0785a21562e14e01bc7540473dd6749a,7SXAWU97,machines
ma:07d9785e2c614d96b5c2654e53761637,7SXAWU85,machines
ma:088dfd1ce96f4b6cb349cc87666b5f25,7SXAWU82,machines
ma:089ecc5f97d34d019252055de774524a,7SXAWU85,machines
ma:08fdabb82e6e4ab3a7ba9d23d406bd83,6SX4LV10,machines
ma:09a88246b4704601b6e6368d800a0f81,7SXAWU82,machines
ma:09ee2fa6b163492094a86372f16b7b16,7SXAWU97,machines
ma:0a28ba0d6c1644368ae7bc302330483c,7SXAWU82,machines
ma:0aaecd55f7a3407296bfe5246fa0f775,7SXAWU91,machines
ma:0ac158641e3047a0949fb883636f10b5,7SXAWU79,machines
ma:0b80d78064494138885792fd8e05d3cd,7SXAWU82,machines
ma:0d0f6875718d4ef7b4ff064dcc981661,7SXAWU94,machines
ma:0d29c289a72b42cb8688370ea63176f7,7SXAWU82,machines
ma:0d3dbb6d679243e685787b27429b8e65,7SXAWU93,machines
ma:0d44b687cf4b4bf2a5d22a813c198554,7SXAWS82,machines
ma:0d558d5e1d694b44a9488c621d11f616,7SXAWU95,machines
ma:0d56eb784cf44cf68f0f4166923f734b,7SXAWS82,machines
ma:0d8804838408403d8a3013744812eec6,7SXAWU94,machines
ma:0ee3af2cf1634dd287c170d2a780af1c,7SXAWU83,machines
ma:0f1c0292161544ac94df752471126d89,7SXAWU94,machines
ma:0fc6ecd7848b49e9a8ffd11dd5ca866d,7SXAWU83,machines
ma:107b6540271545c8bfeab2da0049ea8f,7SXAWT98,machines
ma:10a0b9ddb4174ef28b39d4408c13dcb0,7SXAWS80,machines
ma:10ee314b211045fba01a227f5949bb94,7SXAWU87,machines
ma:11734ba05c7a485f919aed5ac4fe9f5c,7SXAWU96,machines
ma:118d0171d57548f0b267701306f0817f,7SXAWT97,machines
ma:11c81ed238e74825954a7da0eebd5c7e,7SXAWU95,machines
ma:11e5a1bc4ae44d2c964fb52dd4493442,7SXAWT98,machines
ma:11f7c7ca71f44d788797bb3921f80096,7SXAWS82,machines
ma:120db96b7a1a45f281aadb6f15d3d003,7SXAWU79,machines
ma:1221102aa4d54844b84dbfd21c60925c,7SXAWU89,machines
ma:1320d8ca703f4371a507d5f706bd5b0c,7SXAWS81,machines
ma:134877ab9996402786c0fc0cf64de8bb,7SXAWU87,machines
ma:13d2d82d9ba24f7a96a6c7e45e83d344,7SXAWU91,machines
ma:146e8f34be5d4194b54bcfc971719c6b,7SXAWU98,machines
ma:14b78309eb0a4f8387f9b0fa09c36038,7SXAWU93,machines
ma:14fd3c1c45b547e3a89488e0ed458212,7SXAWU80,machines
ma:150f0c6af79c4ba4a0a37cb343911ac1,7SXAWU86,machines
ma:1516a63fee3a4136945adea563af52f0,7SXAWT98,machines
ma:15a250c96a8e481dac58bb739cf69159,7SXAWU82,machines
ma:15ad9b78119f46d1818575bfaa5ede28,7SXAWU86,machines
ma:15fbd1a0bea44a8cb21c992b8a6dd8f4,7SXAWU84,machines
ma:1640bb9b83a64009937de8494ec8d885,7SXAWU84,machines
ma:1682170963cb4076abbf041c4a38322f,7SXAWT98,machines
ma:168b3fbb60154681aefe5dfb87ee34ef,7SXAWU85,machines
ma:16a540a02ced4de9b51094d42694c298,7SXAWS81,machines
ma:16cdd2c65a504ff0a462f0d1b589fc2e,7SXAWU97,machines
ma:16ce96d2406c4e8f873623731108cbd3,7SXAWU91,machines
ma:16d085964cd645ba8643e1ef0fcaea5c,7SXAWU80,machines
ma:182970272c0644c7a1de44e85fcb23d2,7SXAWU85,machines
ma:18648e9d49304b789a10bbde090aa5ab,7SXAWU94,machines
ma:18af0eff47e04d87b326e021516b2147,7SXAWU96,machines
ma:193bb45f1d1e4a05b2ab5d06cf3dfd48,7SXAWU90,machines
ma:194d1d4a39a04c4b814330b22727aa03,7SXAWU80,machines
ma:19c5396eb99249008b7a88208d0f087f,7SXAWU79,machines
ma:1a32000effdd4d889b7efba87f78e786,7SXAWU91,machines
ma:1a58995e611340c5bf0c68b223032a99,7SXAWU84,machines
ma:1b4d9def56df4f38baeb8fba7e1ad1c0,7SXAWU87,machines
ma:1b56982da2344a8e820dbffd53ece20e,7SXAWS80,machines
ma:1b5ba73f33b1481983108aee5afee966,7SXAWS80,machines
ma:1b728c693e7a4194b6de10dfd876eef5,7SXAWS81,machines
ma:1e5dc3ebc4024069944945556a8163cf,7SXAWS81,machines
ma:1e6c8ec4a7f7422faa21636d8c65ed35,7SXAWS82,machines
ma:1e9a4b1e1f094b1ca411ba1ba319ef21,7SXAWS82,machines
ma:1faead35cf2547db82ef0203f3f142a9,7SXAWU97,machines
ma:21201fdd13d44806b743678348be54fb,7SXAWU95,machines
ma:213568f8b9184990874faff512b3f209,7SXAWU95,machines
ma:2159a97b112641ca9c9a44f7b2ee997f,7SXAWT97,machines
ma:21998bde8e19458e87e0eec673afdd2c,7SXAWU97,machines
ma:21b7530789b84de485e65360bcca11e6,7SXAWU85,machines
ma:231572a50bf24797bda40ac26177ec0d,7SXAWU96,machines
ma:238d3edc2796480cada76f69fa168e08,7SXAWU90,machines
ma:239e5ef255214d3da3d2fec51da42b7e,7SXAWU95,machines
ma:243570ae3cd340b1987524ae66dfd5cf,7SXAWU98,machines
ma:2467836dbfc04f10b1e8252f4264a7ea,7SXAWU94,machines
ma:25666381eedf432a8dc9544019496988,7SXAWU87,machines
ma:25895ee3091e4355a531448296ce7bfc,7SXAWU87,machines
ma:25c354f02a074b589dd1cecf82fac21b,7SXAWU95,machines
ma:266ba62467cc4f7aa4d345d217638f99,7SXAWU87,machines
ma:26d044aafdd04446bae9773ec1ba17ab,7SXAWU97,machines
ma:271938682ec94b9f86c4830b4d0e525b,7SXAWU85,machines
ma:274506adaa32423aa3f68202074730a1,7SXAWU98,machines
ma:274d134900e247539a79d3c9a57c6303,7SXAWU85,machines
ma:277c7bb41de84af2a7f6ad5baee07740,7SXAWU96,machines
ma:27a14bd6ec554977849983f651ef8e34,7SXAWU96,machines
ma:282ba8de02514423b3e78223c98f6f35,7SXAWU93,machines
ma:289641648a1843b9b25b73433937a078,7SXAWU93,machines
ma:28ea49469bfc48dd80ad1bdd497be77c,7SXAWS80,machines
ma:29cc000fc0514d6692d4328083d05f34,7SXAWS82,machines
ma:2b1a3e935deb49128f3b2cee2ee80f04,7SXAWU91,machines
ma:2bc5b081170f43eb968d3f978d93dd83,7SXAWU80,machines
ma:2c81930c027b46b4ae3720606d37d22f,6SX4LV10,machines
ma:2c842352090e451faf767b321072f72c,6SX4LV10,machines
ma:2cb8d3eeae9b4220bae7f471ab2104d1,7SXAWS82,machines
ma:2cda1e48dcb349c28e07552929ae974b,7SXAWU91,machines
ma:2d05273754254ba294b61159f96bb9e6,7SXAWU96,machines
ma:2e7fa01881654e57b8d6a00c32f41602,7SXAWU95,machines
ma:2f236baf82224011a5e11264c9804661,7SXAWU84,machines
ma:2fa489ac055e4d8ba8d613da5229d56f,7SXAWU89,machines
ma:2fe018cc794f4cc4b6d22d41da0d9b01,6SX4LV10,machines
ma:306e4756ea0d4d26905e988e0f14c4c8,6SX4LV10,machines
ma:30b90f61ce154f3c8ecf601e92595f0c,7SXAWS80,machines
ma:30baa016df4b4b95838b17a738abaafc,7SXAWU83,machines
ma:3191e85fcd6d4e2c810efcd3f998b494,7SXAWU87,machines
ma:319ba25ad6d24ac4bc8313c7c16e63d4,7SXAWU89,machines
ma:32425401ac5c4848887c2ea385028666,7SXAWU83,machines
ma:3288b83cd86344b2bb1ff82857c195a2,7SXAWU89,machines
ma:32f201394f8d40c1ba67673b83b66c4a,7SXAWU79,machines
ma:32f811a82af44cc8b8eef8938e4cb007,7SXAWT98,machines
ma:334f0d5916a8401da260f001a11e1350,7SXAWU94,machines
ma:335c761362b14f7581d6e0a02ff6218f,6SX4LV10,machines
ma:33ae43d5cfea49ae98a80e37ebcad73c,7SXAWU91,machines
ma:33c03e50bfa5469abdac48e36d59b048,7SXAWU79,machines
ma:34786084a5c54a24b44aa4c1d0bc0cfd,7SXAWU96,machines
ma:35beda95760c439298772ba135d8c606,7SXAWU82,machines
ma:35f8cf66317c482bbe16f3886104da6b,7SXAWU83,machines
ma:36221c8f6a9b4171b1b09d2a1be25228,7SXAWS82,machines
ma:36894ccf94584079b77321b457e30a8f,7SXAWU90,machines
ma:37b7251da5b1407da1fb8608d6f245f7,7SXAWS82,machines
ma:37b7645afe984e9dbc635cf522137bbb,6SX4LV10,machines
ma:37c19d23e0d940fb917c1687fe111106,7SXAWU97,machines
ma:38ba32329684431581ab08d1bc44ef27,7SXAWU98,machines
ma:3aa965582a7d42cc95c1edfbd39a4929,7SXAWS81,machines
ma:3be48a1f613e48c3a820fc359a2d5a10,7SXAWT98,machines
ma:3c5bd9f9e10047c581676747b3e3ef65,6SX4LV10,machines
ma:3ca0cfe1fdc64fae80f48d1cf0527967,7SXAWS81,machines
ma:3e40564040094a93afa88659337aa738,7SXAWS82,machines
ma:3e425f6427fa4a06bc427c18c9954369,7SXAWU80,machines
ma:3ef0bcdf3ba841ee8458aa6969e2fa56,7SXAWU98,machines
