uid,rank,activity,type
tf:001623469ca94461a619585a7bd2aebf,0,soin,production_tasks
tf:001636981cc545b99241d04036e6f675,0,soin,production_tasks
tf:00174cf67d0e47e6be3cca3ca9a21b25,0,soin,production_tasks
tf:001ae0b865e2478789832f6176386534,0,soin,production_tasks
tf:001d04473a4e45c5abe4d27aa8d9f1a4,0,soin,production_tasks
tf:001e031043ad4b05a571010e2fd6306a,0,soin,production_tasks
tf:00243fa11b4747c1a76b87dc115a7200,0,soin,production_tasks
tf:0026589fcd2740df9e8f433b5dceb946,0,soin,production_tasks
tf:002d2807fd604978aa0c903e50833318,0,soin,production_tasks
tf:00414c2da3e0479e9b1532ff951447a8,0,soin,production_tasks
tf:0041ed932f4941f38ed3262e0e4433df,0,soin,production_tasks
tf:004cc2a5ccb54531b14aeb2a7b3b80b9,0,soin,production_tasks
tf:004dc8e2442e4d0f86cb3db37d957811,0,soin,production_tasks
tf:004e9d4e5f4b45278843400cefdfaeff,0,soin,production_tasks
tf:005bd5813f004eb1960cbf31a654e64f,0,soin,production_tasks
tf:0063c2890a2c46e5b76ed6f5adf3b7e2,0,soin,production_tasks
tf:006ad85930fd4fb5916191fb8fd80b94,0,soin,production_tasks
tf:006c27f1077c4ce7a76d067698b7787b,0,soin,production_tasks
tf:0074889f2f304bbdbff691609dc40cb0,0,soin,production_tasks
tf:007847780cd24ffc8400d20dfd5f3e11,0,soin,production_tasks
tf:0090dda2511940ea84dbf9a167301455,0,soin,production_tasks
tf:00977a24418a43118efe6a0f25af2d24,0,soin,production_tasks
tf:00a4596d5c4d46f1a44af61c899b1dec,0,soin,production_tasks
tf:00a475b75751407ea7da00ddfb7126ad,0,soin,production_tasks
tf:00a4f163600140429d1bcbd4c49aff14,0,soin,production_tasks
tf:00a51c60ca8f4dce84f7109802eb0327,0,soin,production_tasks
tf:00a71abb497f49178f384ca920cd773e,0,soin,production_tasks
tf:00aed777878f45afa497213189b847fb,0,soin,production_tasks
tf:00b01a6461f34720af5263c7a1509e70,0,soin,production_tasks
tf:00b37b2fafba4f46b14da9bce827d374,0,soin,production_tasks
tf:00b4f50203194ff19165a293aa6d6474,0,soin,production_tasks
tf:00bb3706268d4804b850ae9eed6e422f,0,soin,production_tasks
tf:00bb4a0cf8ba40fd8345b6e6abdd3306,0,soin,production_tasks
tf:00c78fb3abfb4f958cbe745c9e9069c0,0,soin,production_tasks
tf:00dcd34dd0f641268a8b2ac2024d5d1a,0,soin,production_tasks
tf:00e1955008ba45d8a194d306a4ff32cc,0,soin,production_tasks
tf:00e698970eee4310824b4c1341b171d5,0,soin,production_tasks
tf:011a8cfbc7df4f48838729e7d8fa9bd8,0,soin,production_tasks
tf:011f517782644a87853a96432236e429,0,soin,production_tasks
tf:01270a661f8a4f118f1ff2828133def8,0,soin,production_tasks
tf:012da7bec2e74d4792515912b40f1406,0,soin,production_tasks
tf:01303340a1b944d081435f4e5cd23bed,0,soin,production_tasks
tf:0136f4ec21ed44d1a9a9faa228c81b19,0,soin,production_tasks
tf:013b191078bd4600bcf8e1ce6789c4c4,0,soin,production_tasks
tf:013cec8720364aafbefd29f3037e3251,0,soin,production_tasks
tf:014773a20be5483a9567774e98715b5b,0,soin,production_tasks
tf:0151a9f3948e43e49f8a4364b98a54e4,0,soin,production_tasks
tf:0153e8a5114642c4815c5e032bb3e65f,0,soin,production_tasks
tf:01556a1331c94eecb320ae266195a8ad,0,soin,production_tasks
tf:015a0b8b47c34d0a94d4f86021f3e00b,0,soin,production_tasks
tf:01648705c754423b884570a782d4f7d1,0,soin,production_tasks
tf:016ef4ab3110446192cfcfc792479983,0,soin,production_tasks
tf:01797bce502245b3bdec7910c51a4864,0,soin,production_tasks
tf:017cd49d0b2c4bfcbcc100142b23a044,0,soin,production_tasks
tf:018356866e3f4f769305f04d85069aef,0,soin,production_tasks
tf:0197aba94ccc48a1a16feae4082e25fc,0,soin,production_tasks
tf:019d5a1f6adc47ac9c4822d9abe20e4f,0,soin,production_tasks
tf:01b1bbfb1909462aaca926734033f960,0,soin,production_tasks
tf:01c2ded4c3ad4639b0515e7eca00cc85,0,soin,production_tasks
tf:01cf71afe34a4fc685c5a0ff434d140e,0,soin,production_tasks
tf:01d15df361f94cf29495b3aa57cc530a,0,soin,production_tasks
tf:01d46f3c5976479880c9928abfa92264,0,soin,production_tasks
tf:01d55d5d92244455b04a2cfe2a863396,0,soin,production_tasks
tf:01d58918173841b2ad639610a15e08ac,0,soin,production_tasks
tf:01dbc643ec16462f9fadae9d47bf3023,0,soin,production_tasks
tf:01df265e2e0e4ba88ef0abb44ad906ff,0,soin,production_tasks
tf:01e4fb46cb7c4447a3dc7f65636385de,0,soin,production_tasks
tf:01e7939c15f34bfe957d8563688d5321,0,soin,production_tasks
tf:01efb852f6704b01ad958f1825bf736f,0,soin,production_tasks
tf:01f0f25a8b794df09fcfab491ee31cf1,0,soin,production_tasks
tf:01f1b0f548b7437bb3c8969df31273de,0,soin,production_tasks
tf:01f6474652074b97914046b77386ceaa,0,soin,production_tasks
tf:01fcc43880514666a36031dfe3be06f7,0,soin,production_tasks
tf:020e13ba839e4272bf5f1c05f0707456,0,soin,production_tasks
tf:0213e0cae5454faa864cf31d984af711,0,soin,production_tasks
tf:021c5bdbbd1742b7b1fe84ffcd915887,0,soin,production_tasks
tf:021ccde77d894769949934e77cf61dd6,0,soin,production_tasks
tf:021cea98cd8947de845008bfc0cd2e2e,0,soin,production_tasks
tf:0221e101ef664bedbb29c4cf183874cc,0,soin,production_tasks
tf:02226629be7b4d6b84408dec63654771,0,soin,production_tasks
tf:0222e5f87c7e43d7a5b08a2d861f29be,0,soin,production_tasks
tf:0227edb2f93744919e158a571f1d6877,0,soin,production_tasks
tf:022ae954df4e4ee78290378cd1edc197,0,soin,production_tasks
tf:022ff629133e401b90539623764545da,0,soin,production_tasks
tf:02322073f61d41209b1e7b341ab2ac4a,0,soin,production_tasks
tf:0234a889c5d747afb435bb71ea2a4379,0,soin,production_tasks
tf:0235dc7518d04c8da49b68a40636cc7d,0,soin,production_tasks
tf:0237e4c72f7642db843cbdad46f03867,0,soin,production_tasks
tf:023cfa87bdfd4ab4aee5ba984f045fca,0,soin,production_tasks
tf:024452bd648e4300b4c45aa22e151afa,0,soin,production_tasks
tf:024957e91d6746afb7194b4929fc88a4,0,soin,production_tasks
tf:024c3a0d10a54d7dac4e33e93489edb5,0,soin,production_tasks
tf:0264a7a903744096854be802b3d69d94,0,soin,production_tasks
tf:0268c96248c04ab2a6f0d409703c0fcf,0,soin,production_tasks
tf:02693165153848ec99a3f71e283a5ec0,0,soin,production_tasks
tf:02710ff1ff6546c2a5069661b09fd9f6,0,soin,production_tasks
tf:027503cc72eb4e8bbde3446ac22aab19,0,soin,production_tasks
tf:0283bdc5657044079b1fff73d3ae7502,0,soin,production_tasks
tf:02863c88127d4acf9c5c897452e6ada3,0,soin,production_tasks
tf:02872ebac56449059967438e035cebeb,0,soin,production_tasks
tf:028e49c8999a47aeac139aa945ad5f3e,0,soin,production_tasks
tf:029960f95aac46159c11e9b58f383b45,0,soin,production_tasks
tf:029fe05aa97c4a76aa0c6bc614c22fcc,0,soin,production_tasks
tf:02b0dabdad2c4fe8a4bb1c9216afe58b,0,soin,production_tasks
tf:02b16a7b5b984adbbc0920e43ad7c6fa,0,soin,production_tasks
tf:02b1b8f8eaf0408ca44988025965bd72,0,soin,production_tasks
tf:02b30c9d1d6b4130a89a91623fbbb174,0,soin,production_tasks
tf:02c1849a06544d51899b538621d60cfb,0,soin,production_tasks
tf:02c50186a64b44d08434e5892886a583,0,soin,production_tasks
tf:02cabea590f346048690a36f68ff6e7d,0,soin,production_tasks
tf:02d31885002f417f82be974b351fa0e3,0,soin,production_tasks
tf:02d523e14e8f4b18a0a2b34f90e86ec7,0,soin,production_tasks
tf:02d5d072f13740ffa3ce6611c83bb2ab,0,soin,production_tasks
tf:02d8b6b77b6746a1ac769c8ee5b10d59,0,soin,production_tasks
tf:02da1bf923694a7da4566a01f9b97ef3,0,soin,production_tasks
tf:02ecedde12d649e780db5f6e2b994993,0,soin,production_tasks
tf:02edf4bc28494687a25e7818b4b9ee8a,0,soin,production_tasks
tf:02f778a8ba5f4575a1342cf3df991690,0,soin,production_tasks
tf:02f7f1333844475ba0ef7a9986ae65b4,0,soin,production_tasks
tf:02f897db2ea74ae68dac3cf6eedab0f5,0,soin,production_tasks
tf:02face7db2274291ac1c7984b76d500a,0,soin,production_tasks
tf:031e01e9919240909614fc8924b972cd,0,soin,production_tasks
tf:031eea1b24bd4975949ed8b92f69a1be,0,soin,production_tasks
tf:0329ccb39162497db02ae4bfd8dfb87f,0,soin,production_tasks
tf:032dd4471f2f4ec2b3c329664c7a65cd,0,soin,production_tasks
tf:03354451fb86410ebdf2f8439fd45f31,0,soin,production_tasks
tf:0338bb89123d400da5e2070e62fd5580,0,soin,production_tasks
tf:033a527d2e984cebbe828efa8dc860f5,0,soin,production_tasks
tf:033e7e84849649b491aa616a517cc124,0,soin,production_tasks
tf:034477e1dc7349ab958f2e51e2812635,0,soin,production_tasks
tf:0344d182bab2409a9313bdf5092d89d7,0,soin,production_tasks
tf:034566cd730f4a8f82198260aa296069,0,soin,production_tasks
tf:034655aa91b840848a8bed82b158bd3a,0,soin,production_tasks
tf:034880189bcf4a14b581ee96b86dd997,0,soin,production_tasks
tf:034b39dc32224faa9a0c8b712153db3a,0,soin,production_tasks
tf:034c30acd1844b2ca9ddc9187e0b11c7,0,soin,production_tasks
tf:034c95393d32416980776671f2d3d6d4,0,soin,production_tasks
tf:034dde1139b1496497308f35b46eb6f1,0,soin,production_tasks
tf:0363efc7e79b429aa2957d728f86dad5,0,soin,production_tasks
tf:036ad46b178d438fa4834125f036d24a,0,soin,production_tasks
tf:036c60afba7845d2a579fbcb694f817b,0,soin,production_tasks
tf:03704e5f20ea42ce877889f8ec0dcccb,0,soin,production_tasks
tf:037578d0c0154cf389092a2c30903bcc,0,soin,production_tasks
