ID;Tour;Patients;Date;Debut;Duree
1;Tour1;21;26/03/2018;5;5
2;Tour2;21;26/03/2018;10;5
3;Tour3;21;26/03/2018;15;5
4;Tour4;8;26/03/2018;20;5
5;Tour1;21;27/03/2018;5;5
6;Tour2;21;27/03/2018;10;5
7;Tour3;21;27/03/2018;15;5
8;Tour4;9;27/03/2018;20;5
9;Tour1;21;28/03/2018;5;5
10;Tour2;21;28/03/2018;10;5
11;Tour3;21;28/03/2018;15;5
12;Tour4;5;28/03/2018;20;5
13;Tour1;21;29/03/2018;5;5
14;Tour2;21;29/03/2018;10;5
15;Tour3;21;29/03/2018;15;5
16;Tour4;4;29/03/2018;20;5
17;Tour1;21;30/03/2018;5;5
18;Tour2;21;30/03/2018;10;5
19;Tour3;21;30/03/2018;15;5
20;Tour4;9;30/03/2018;20;5
21;Tour1;21;31/03/2018;5;5
22;Tour2;21;31/03/2018;10;5
23;Tour3;18;31/03/2018;15;5
24;Tour4;0;31/03/2018;20;5
25;Tour1;21;02/04/2018;5;5
26;Tour2;21;02/04/2018;10;5
27;Tour3;21;02/04/2018;15;5
28;Tour4;13;02/04/2018;20;5
29;Tour1;21;03/04/2018;5;5
30;Tour2;21;03/04/2018;10;5
31;Tour3;21;03/04/2018;15;5
32;Tour4;4;03/04/2018;20;5
33;Tour1;21;04/04/2018;5;5
34;Tour2;21;04/04/2018;10;5
35;Tour3;20;04/04/2018;15;5
36;Tour4;0;04/04/2018;20;5
37;Tour1;21;05/04/2018;5;5
38;Tour2;21;05/04/2018;10;5
39;Tour3;21;05/04/2018;15;5
40;Tour4;6;05/04/2018;20;5
41;Tour1;21;06/04/2018;5;5
42;Tour2;21;06/04/2018;10;5
43;Tour3;21;06/04/2018;15;5
44;Tour4;9;06/04/2018;20;5
45;Tour1;21;07/04/2018;5;5
46;Tour2;21;07/04/2018;10;5
47;Tour3;20;07/04/2018;15;5
48;Tour4;0;07/04/2018;20;5
49;Tour1;21;09/04/2018;5;5
50;Tour2;21;09/04/2018;10;5
51;Tour3;21;09/04/2018;15;5
52;Tour4;16;09/04/2018;20;5
53;Tour1;21;10/04/2018;5;5
54;Tour2;21;10/04/2018;10;5
55;Tour3;21;10/04/2018;15;5
56;Tour4;6;10/04/2018;20;5
57;Tour1;21;11/04/2018;5;5
58;Tour2;21;11/04/2018;10;5
59;Tour3;21;11/04/2018;15;5
60;Tour4;0;11/04/2018;20;5
61;Tour1;21;12/04/2018;5;5
62;Tour2;21;12/04/2018;10;5
63;Tour3;21;12/04/2018;15;5
64;Tour4;13;12/04/2018;20;5
65;Tour1;21;13/04/2018;5;5
66;Tour2;21;13/04/2018;10;5
67;Tour3;21;13/04/2018;15;5
68;Tour4;4;13/04/2018;20;5
69;Tour1;21;14/04/2018;5;5
70;Tour2;21;14/04/2018;10;5
71;Tour3;20;14/04/2018;15;5
72;Tour4;0;14/04/2018;20;5
73;Tour1;21;16/04/2018;5;5
74;Tour2;21;16/04/2018;10;5
75;Tour3;21;16/04/2018;15;5
76;Tour4;11;16/04/2018;20;5
77;Tour1;21;17/04/2018;5;5
78;Tour2;21;17/04/2018;10;5
79;Tour3;21;17/04/2018;15;5
80;Tour4;12;17/04/2018;20;5
81;Tour1;21;18/04/2018;5;5
82;Tour2;21;18/04/2018;10;5
83;Tour3;18;18/04/2018;15;5
84;Tour4;0;18/04/2018;20;5
85;Tour1;20;19/04/2018;5;5
86;Tour2;21;19/04/2018;10;5
87;Tour3;21;19/04/2018;15;5
88;Tour4;10;19/04/2018;20;5
89;Tour1;21;20/04/2018;5;5
90;Tour2;21;20/04/2018;10;5
91;Tour3;16;20/04/2018;15;5
92;Tour4;7;20/04/2018;20;5
93;Tour1;21;21/04/2018;5;5
94;Tour2;21;21/04/2018;10;5
95;Tour3;20;21/04/2018;15;5
