Date,number,day,release_date,due_date,duration,period,instance
2018-05-14,75,1,5,20,5,2018-05-20,w2018-05-20-a
2018-05-15,66,2,5,20,5,2018-05-20,w2018-05-20-a
2018-05-16,62,3,5,20,5,2018-05-20,w2018-05-20-a
2018-05-17,68,4,5,20,5,2018-05-20,w2018-05-20-a
2018-05-18,70,5,5,20,5,2018-05-20,w2018-05-20-a
2018-05-19,62,6,5,20,5,2018-05-20,w2018-05-20-a
2018-10-01,75,1,5,20,5,2018-10-07,w2018-10-07-a
2018-10-02,68,2,5,20,5,2018-10-07,w2018-10-07-a
2018-10-03,64,3,5,20,5,2018-10-07,w2018-10-07-a
2018-10-04,70,4,5,20,5,2018-10-07,w2018-10-07-a
2018-10-05,69,5,5,20,5,2018-10-07,w2018-10-07-a
2018-10-06,66,6,5,20,5,2018-10-07,w2018-10-07-a
2018-12-17,72,1,5,20,5,2018-12-23,w2018-12-23-a
2018-12-18,73,2,5,20,5,2018-12-23,w2018-12-23-a
2018-12-19,66,3,5,20,5,2018-12-23,w2018-12-23-a
2018-12-20,63,4,5,20,5,2018-12-23,w2018-12-23-a
2018-12-21,64,5,5,20,5,2018-12-23,w2018-12-23-a
2018-12-23,72,7,5,20,5,2018-12-23,w2018-12-23-a
2019-02-11,74,1,5,20,5,2019-02-17,w2019-02-17-a
2019-02-12,64,2,5,20,5,2019-02-17,w2019-02-17-a
2019-02-13,64,3,5,20,5,2019-02-17,w2019-02-17-a
2019-02-14,70,4,5,20,5,2019-02-17,w2019-02-17-a
2019-02-15,65,5,5,20,5,2019-02-17,w2019-02-17-a
2019-02-16,68,6,5,20,5,2019-02-17,w2019-02-17-a
2019-04-22,76,1,5,20,5,2019-04-28,w2019-04-28-a
2019-04-23,70,2,5,20,5,2019-04-28,w2019-04-28-a
2019-04-24,65,3,5,20,5,2019-04-28,w2019-04-28-a
2019-04-25,72,4,5,20,5,2019-04-28,w2019-04-28-a
2019-04-26,68,5,5,20,5,2019-04-28,w2019-04-28-a
2019-04-27,69,6,5,20,5,2019-04-28,w2019-04-28-a
2019-06-17,72,1,5,20,5,2019-06-23,w2019-06-23-a
2019-06-18,71,2,5,20,5,2019-06-23,w2019-06-23-a
2019-06-19,68,3,5,20,5,2019-06-23,w2019-06-23-a
2019-06-20,71,4,5,20,5,2019-06-23,w2019-06-23-a
2019-06-21,65,5,5,20,5,2019-06-23,w2019-06-23-a
2019-06-22,71,6,5,20,5,2019-06-23,w2019-06-23-a
2019-09-02,69,1,5,20,5,2019-09-08,w2019-09-08-a
2019-09-03,70,2,5,20,5,2019-09-08,w2019-09-08-a
2019-09-04,72,3,5,20,5,2019-09-08,w2019-09-08-a
2019-09-05,71,4,5,20,5,2019-09-08,w2019-09-08-a
2019-09-06,71,5,5,20,5,2019-09-08,w2019-09-08-a
2019-09-07,72,6,5,20,5,2019-09-08,w2019-09-08-a
2019-10-21,77,1,5,20,5,2019-10-27,w2019-10-27-a
2019-10-22,68,2,5,20,5,2019-10-27,w2019-10-27-a
2019-10-23,65,3,5,20,5,2019-10-27,w2019-10-27-a
2019-10-24,73,4,5,20,5,2019-10-27,w2019-10-27-a
2019-10-25,61,5,5,20,5,2019-10-27,w2019-10-27-a
2019-10-26,75,6,5,20,5,2019-10-27,w2019-10-27-a
2019-12-30,70,1,5,20,5,2020-01-05,w2020-01-05-a
2019-12-31,67,2,5,20,5,2020-01-05,w2020-01-05-a
2020-01-01,68,3,5,20,5,2020-01-05,w2020-01-05-a
2020-01-02,71,4,5,20,5,2020-01-05,w2020-01-05-a
2020-01-03,72,5,5,20,5,2020-01-05,w2020-01-05-a
2020-01-27,72,1,5,20,5,2020-02-02,w2020-02-02-a
2020-01-28,72,2,5,20,5,2020-02-02,w2020-02-02-a
2020-01-29,72,3,5,20,5,2020-02-02,w2020-02-02-a
2020-01-30,69,4,5,20,5,2020-02-02,w2020-02-02-a
2020-01-31,70,5,5,20,5,2020-02-02,w2020-02-02-a
2020-02-01,69,6,5,20,5,2020-02-02,w2020-02-02-a
2020-03-09,73,1,5,20,5,2020-03-15,w2020-03-15-a
2020-03-10,66,2,5,20,5,2020-03-15,w2020-03-15-a
2020-03-11,68,3,5,20,5,2020-03-15,w2020-03-15-a
2020-03-12,74,4,5,20,5,2020-03-15,w2020-03-15-a
2020-03-13,76,5,5,20,5,2020-03-15,w2020-03-15-a
2020-03-14,72,6,5,20,5,2020-03-15,w2020-03-15-a
2020-03-16,75,1,5,20,5,2020-03-22,w2020-03-22-a
2020-03-17,74,2,5,20,5,2020-03-22,w2020-03-22-a
2020-03-18,72,3,5,20,5,2020-03-22,w2020-03-22-a
2020-03-19,76,4,5,20,5,2020-03-22,w2020-03-22-a
2020-03-20,67,5,5,20,5,2020-03-22,w2020-03-22-a
2020-03-21,69,6,5,20,5,2020-03-22,w2020-03-22-a
2020-07-20,66,1,5,20,5,2020-07-26,w2020-07-26-a
2020-07-21,68,2,5,20,5,2020-07-26,w2020-07-26-a
2020-07-22,58,3,5,20,5,2020-07-26,w2020-07-26-a
2020-07-23,65,4,5,20,5,2020-07-26,w2020-07-26-a
2020-07-24,65,5,5,20,5,2020-07-26,w2020-07-26-a
2020-07-25,59,6,5,20,5,2020-07-26,w2020-07-26-a
2020-08-31,62,1,5,20,5,2020-09-06,w2020-09-06-a
2020-09-01,72,2,5,20,5,2020-09-06,w2020-09-06-a
2020-09-02,61,3,5,20,5,2020-09-06,w2020-09-06-a
2020-09-03,61,4,5,20,5,2020-09-06,w2020-09-06-a
2020-09-04,71,5,5,20,5,2020-09-06,w2020-09-06-a
2020-09-05,65,6,5,20,5,2020-09-06,w2020-09-06-a
2020-10-12,63,1,5,20,5,2020-10-18,w2020-10-18-a
2020-10-13,68,2,5,20,5,2020-10-18,w2020-10-18-a
2020-10-14,57,3,5,20,5,2020-10-18,w2020-10-18-a
2020-10-15,68,4,5,20,5,2020-10-18,w2020-10-18-a
2020-10-16,67,5,5,20,5,2020-10-18,w2020-10-18-a
2020-10-17,61,6,5,20,5,2020-10-18,w2020-10-18-a
2020-11-16,65,1,5,20,5,2020-11-22,w2020-11-22-a
2020-11-17,65,2,5,20,5,2020-11-22,w2020-11-22-a
2020-11-18,65,3,5,20,5,2020-11-22,w2020-11-22-a
2020-11-19,70,4,5,20,5,2020-11-22,w2020-11-22-a
2020-11-20,66,5,5,20,5,2020-11-22,w2020-11-22-a
2020-11-21,61,6,5,20,5,2020-11-22,w2020-11-22-a
2020-12-28,71,1,5,20,5,2021-01-03,w2021-01-03-a
2020-12-29,66,2,5,20,5,2021-01-03,w2021-01-03-a
2020-12-30,70,3,5,20,5,2021-01-03,w2021-01-03-a
2020-12-31,69,4,5,20,5,2021-01-03,w2021-01-03-a
2021-01-01,70,5,5,20,5,2021-01-03,w2021-01-03-a
2021-01-02,63,6,5,20,5,2021-01-03,w2021-01-03-a
2021-02-15,75,1,5,20,5,2021-02-21,w2021-02-21-a
2021-02-16,72,2,5,20,5,2021-02-21,w2021-02-21-a
