,date,mainteners,capability
0,2018-04-01,1,2
1,2018-04-08,1,2
2,2018-04-15,1,2
3,2018-04-22,1,2
4,2018-04-29,1,2
5,2018-05-06,1,2
6,2018-05-13,1,2
7,2018-05-20,1,2
8,2018-05-27,1,2
9,2018-06-03,1,2
10,2018-06-10,1,2
11,2018-06-17,1,2
12,2018-06-24,1,2
13,2018-07-01,1,2
14,2018-07-08,1,2
15,2018-07-15,1,2
16,2018-07-22,1,2
17,2018-07-29,1,2
18,2018-08-05,1,2
19,2018-08-12,1,2
20,2018-08-19,1,2
21,2018-08-26,1,2
22,2018-09-02,1,2
23,2018-09-09,1,2
24,2018-09-16,1,2
25,2018-09-23,1,2
26,2018-09-30,1,2
27,2018-10-07,1,2
28,2018-10-14,1,2
29,2018-10-21,1,2
30,2018-10-28,1,2
31,2018-11-04,1,2
32,2018-11-11,1,2
33,2018-11-18,1,2
34,2018-11-25,1,2
35,2018-12-02,1,2
36,2018-12-09,1,2
37,2018-12-16,1,2
38,2018-12-23,1,2
39,2018-12-30,1,2
40,2019-01-06,1,2
41,2019-01-13,1,2
42,2019-01-20,1,2
43,2019-01-27,1,2
44,2019-02-03,1,2
45,2019-02-10,1,2
46,2019-02-17,1,2
47,2019-02-24,1,2
48,2019-03-03,1,2
49,2019-03-10,1,2
50,2019-03-17,1,2
51,2019-03-24,1,2
52,2019-03-31,1,2
53,2019-04-07,1,2
54,2019-04-14,1,2
55,2019-04-21,1,2
56,2019-04-28,1,2
57,2019-05-05,1,2
58,2019-05-12,1,2
59,2019-05-19,1,2
60,2019-05-26,1,2
61,2019-06-02,1,2
62,2019-06-09,1,2
63,2019-06-16,1,2
64,2019-06-23,1,2
65,2019-06-30,1,2
66,2019-07-07,1,2
67,2019-07-14,1,2
68,2019-07-21,1,2
69,2019-07-28,1,2
70,2019-08-04,1,2
71,2019-08-11,1,2
72,2019-08-18,1,2
73,2019-08-25,1,2
74,2019-09-01,1,2
75,2019-09-08,1,2
76,2019-09-15,1,2
77,2019-09-22,1,2
78,2019-09-29,1,2
79,2019-10-06,1,2
80,2019-10-13,1,2
81,2019-10-20,1,2
82,2019-10-27,1,2
83,2019-11-03,1,2
84,2019-11-10,1,2
85,2019-11-17,1,2
86,2019-11-24,1,2
87,2019-12-01,1,2
88,2019-12-08,1,2
89,2019-12-15,1,2
90,2019-12-22,1,2
91,2019-12-29,1,2
92,2020-01-05,1,2
93,2020-01-12,1,2
94,2020-01-19,1,2
95,2020-01-26,1,2
96,2020-02-02,1,2
97,2020-02-09,1,2
98,2020-02-16,1,2
99,2020-02-23,1,2
100,2020-03-01,1,2
101,2020-03-08,1,2
102,2020-03-15,1,2
103,2020-03-22,1,2
104,2020-03-29,1,2
105,2020-04-05,1,2
106,2020-04-12,1,2
107,2020-04-19,1,2
108,2020-04-26,1,2
109,2020-05-03,1,2
110,2020-05-10,1,2
111,2020-05-17,1,2
112,2020-05-24,1,2
113,2020-05-31,1,2
114,2020-06-07,1,2
115,2020-06-14,1,2
116,2020-06-21,1,2
117,2020-06-28,1,2
118,2020-07-05,1,2
119,2020-07-12,1,2
120,2020-07-19,1,2
121,2020-07-26,1,2
122,2020-08-02,1,2
123,2020-08-09,1,2
124,2020-08-16,1,2
125,2020-08-23,1,2
126,2020-08-30,1,2
127,2020-09-06,1,2
128,2020-09-13,1,2
129,2020-09-20,1,2
130,2020-09-27,1,2
131,2020-10-04,1,2
132,2020-10-11,1,2
133,2020-10-18,1,2
134,2020-10-25,1,2
135,2020-11-01,1,2
136,2020-11-08,1,2
137,2020-11-15,1,2
138,2020-11-22,1,2
139,2020-11-29,1,2
140,2020-12-06,1,2
141,2020-12-13,1,2
142,2020-12-20,1,2
143,2020-12-27,1,2
144,2021-01-03,1,2
145,2021-01-10,1,2
146,2021-01-17,1,2
147,2021-01-24,1,2
148,2021-01-31,1,2
149,2021-02-07,1,2
150,2021-02-14,1,2
151,2021-02-21,1,2
152,2021-02-28,1,2
153,2021-03-07,1,2
154,2021-03-14,1,2
155,2021-03-21,1,2
156,2021-03-28,1,2
157,2021-04-04,1,2
158,2021-04-11,1,2
159,2021-04-18,1,2
160,2021-04-25,1,2
161,2021-05-02,1,2
162,2021-05-09,1,2
163,2021-05-16,1,2
164,2021-05-23,1,2
