ID;Tour;Patients;Date;Debut;Duree;jour
1;Tour1;21;26/03/2018;5;5;0
2;Tour2;21;26/03/2018;10;5;0
3;Tour3;21;26/03/2018;15;5;0
4;Tour4;8;26/03/2018;20;5;0
5;Tour1;21;27/03/2018;5;5;1
6;Tour2;21;27/03/2018;10;5;1
7;Tour3;21;27/03/2018;15;5;1
8;Tour4;9;27/03/2018;20;5;1
9;Tour1;21;28/03/2018;5;5;2
10;Tour2;21;28/03/2018;10;5;2
11;Tour3;21;28/03/2018;15;5;2
12;Tour4;5;28/03/2018;20;5;2
13;Tour1;21;29/03/2018;5;5;3
14;Tour2;21;29/03/2018;10;5;3
15;Tour3;21;29/03/2018;15;5;3
16;Tour4;4;29/03/2018;20;5;3
17;Tour1;21;30/03/2018;5;5;4
18;Tour2;21;30/03/2018;10;5;4
19;Tour3;21;30/03/2018;15;5;4
20;Tour4;9;30/03/2018;20;5;4
21;Tour1;21;31/03/2018;5;5;5
22;Tour2;21;31/03/2018;10;5;5
23;Tour3;18;31/03/2018;15;5;5
24;Tour4;0;31/03/2018;20;5;5
25;Tour1;21;02/04/2018;5;5;0
26;Tour2;21;02/04/2018;10;5;0
27;Tour3;21;02/04/2018;15;5;0
28;Tour4;13;02/04/2018;20;5;0
29;Tour1;21;03/04/2018;5;5;1
30;Tour2;21;03/04/2018;10;5;1
31;Tour3;21;03/04/2018;15;5;1
32;Tour4;4;03/04/2018;20;5;1
33;Tour1;21;04/04/2018;5;5;2
34;Tour2;21;04/04/2018;10;5;2
35;Tour3;20;04/04/2018;15;5;2
36;Tour4;0;04/04/2018;20;5;2
37;Tour1;21;05/04/2018;5;5;3
38;Tour2;21;05/04/2018;10;5;3
39;Tour3;21;05/04/2018;15;5;3
40;Tour4;6;05/04/2018;20;5;3
41;Tour1;21;06/04/2018;5;5;4
42;Tour2;21;06/04/2018;10;5;4
43;Tour3;21;06/04/2018;15;5;4
44;Tour4;9;06/04/2018;20;5;4
45;Tour1;21;07/04/2018;5;5;5
46;Tour2;21;07/04/2018;10;5;5
47;Tour3;20;07/04/2018;15;5;5
48;Tour4;0;07/04/2018;20;5;5
49;Tour1;21;09/04/2018;5;5;0
50;Tour2;21;09/04/2018;10;5;0
51;Tour3;21;09/04/2018;15;5;0
52;Tour4;16;09/04/2018;20;5;0
53;Tour1;21;10/04/2018;5;5;1
54;Tour2;21;10/04/2018;10;5;1
55;Tour3;21;10/04/2018;15;5;1
56;Tour4;6;10/04/2018;20;5;1
57;Tour1;21;11/04/2018;5;5;2
58;Tour2;21;11/04/2018;10;5;2
59;Tour3;21;11/04/2018;15;5;2
60;Tour4;0;11/04/2018;20;5;2
61;Tour1;21;12/04/2018;5;5;3
62;Tour2;21;12/04/2018;10;5;3
63;Tour3;21;12/04/2018;15;5;3
64;Tour4;13;12/04/2018;20;5;3
65;Tour1;21;13/04/2018;5;5;4
66;Tour2;21;13/04/2018;10;5;4
67;Tour3;21;13/04/2018;15;5;4
68;Tour4;4;13/04/2018;20;5;4
69;Tour1;21;14/04/2018;5;5;5
70;Tour2;21;14/04/2018;10;5;5
71;Tour3;20;14/04/2018;15;5;5
72;Tour4;0;14/04/2018;20;5;5
73;Tour1;21;16/04/2018;5;5;0
74;Tour2;21;16/04/2018;10;5;0
75;Tour3;21;16/04/2018;15;5;0
76;Tour4;11;16/04/2018;20;5;0
77;Tour1;21;17/04/2018;5;5;1
78;Tour2;21;17/04/2018;10;5;1
79;Tour3;21;17/04/2018;15;5;1
80;Tour4;12;17/04/2018;20;5;1
81;Tour1;21;18/04/2018;5;5;2
82;Tour2;21;18/04/2018;10;5;2
83;Tour3;18;18/04/2018;15;5;2
84;Tour4;0;18/04/2018;20;5;2
85;Tour1;20;19/04/2018;5;5;3
86;Tour2;21;19/04/2018;10;5;3
87;Tour3;21;19/04/2018;15;5;3
88;Tour4;10;19/04/2018;20;5;3
89;Tour1;21;20/04/2018;5;5;4
90;Tour2;21;20/04/2018;10;5;4
91;Tour3;16;20/04/2018;15;5;4
92;Tour4;7;20/04/2018;20;5;4
93;Tour1;21;21/04/2018;5;5;5
94;Tour2;21;21/04/2018;10;5;5
95;Tour3;20;21/04/2018;15;5;5
96;Tour4;0;21/04/2018;20;5;5
97;Tour1;21;23/04/2018;5;5;0
98;Tour2;21;23/04/2018;10;5;0
99;Tour3;21;23/04/2018;15;5;0
100;Tour4;8;23/04/2018;20;5;0
101;Tour1;21;24/04/2018;5;5;1
102;Tour2;21;24/04/2018;10;5;1
103;Tour3;21;24/04/2018;15;5;1
104;Tour4;10;24/04/2018;20;5;1
105;Tour1;21;25/04/2018;5;5;2
106;Tour2;21;25/04/2018;10;5;2
