numero,date,preference,patients,debut,duree,day,period
0,2018-03-26,Tour1,2,5,5,1,2018-04-01
1,2018-03-26,Tour2,2,10,5,1,2018-04-01
2,2018-03-26,Tour3,4,15,5,1,2018-04-01
3,2018-03-27,Tour1,2,5,5,2,2018-04-01
4,2018-03-27,Tour2,2,10,5,2,2018-04-01
5,2018-03-27,Tour3,4,15,5,2,2018-04-01
6,2018-03-28,Tour1,2,5,5,3,2018-04-01
7,2018-03-28,Tour2,2,10,5,3,2018-04-01
8,2018-03-28,Tour3,3,15,5,3,2018-04-01
9,2018-03-29,Tour1,2,5,5,4,2018-04-01
10,2018-03-29,Tour2,2,10,5,4,2018-04-01
11,2018-03-29,Tour3,3,15,5,4,2018-04-01
12,2018-03-30,Tour1,2,5,5,5,2018-04-01
13,2018-03-30,Tour2,2,10,5,5,2018-04-01
14,2018-03-30,Tour3,4,15,5,5,2018-04-01
15,2018-03-31,Tour1,2,5,5,6,2018-04-01
16,2018-03-31,Tour2,2,10,5,6,2018-04-01
17,2018-03-31,Tour3,2,15,5,6,2018-04-01
18,2018-04-02,Tour1,2,5,5,1,2018-04-08
19,2018-04-02,Tour2,2,10,5,1,2018-04-08
20,2018-04-02,Tour3,4,15,5,1,2018-04-08
21,2018-04-03,Tour1,2,5,5,2,2018-04-08
22,2018-04-03,Tour2,2,10,5,2,2018-04-08
23,2018-04-03,Tour3,3,15,5,2,2018-04-08
24,2018-04-04,Tour1,2,5,5,3,2018-04-08
25,2018-04-04,Tour2,2,10,5,3,2018-04-08
26,2018-04-04,Tour3,2,15,5,3,2018-04-08
27,2018-04-05,Tour1,2,5,5,4,2018-04-08
28,2018-04-05,Tour2,2,10,5,4,2018-04-08
29,2018-04-05,Tour3,3,15,5,4,2018-04-08
30,2018-04-06,Tour1,2,5,5,5,2018-04-08
31,2018-04-06,Tour2,2,10,5,5,2018-04-08
32,2018-04-06,Tour3,4,15,5,5,2018-04-08
33,2018-04-07,Tour1,2,5,5,6,2018-04-08
34,2018-04-07,Tour2,2,10,5,6,2018-04-08
35,2018-04-07,Tour3,2,15,5,6,2018-04-08
36,2018-04-09,Tour1,2,5,5,1,2018-04-15
37,2018-04-09,Tour2,2,10,5,1,2018-04-15
38,2018-04-09,Tour3,5,15,5,1,2018-04-15
39,2018-04-10,Tour1,2,5,5,2,2018-04-15
40,2018-04-10,Tour2,2,10,5,2,2018-04-15
41,2018-04-10,Tour3,3,15,5,2,2018-04-15
42,2018-04-11,Tour1,2,5,5,3,2018-04-15
43,2018-04-11,Tour2,2,10,5,3,2018-04-15
44,2018-04-11,Tour3,2,15,5,3,2018-04-15
45,2018-04-12,Tour1,2,5,5,4,2018-04-15
46,2018-04-12,Tour2,2,10,5,4,2018-04-15
47,2018-04-12,Tour3,4,15,5,4,2018-04-15
48,2018-04-13,Tour1,2,5,5,5,2018-04-15
49,2018-04-13,Tour2,2,10,5,5,2018-04-15
50,2018-04-13,Tour3,3,15,5,5,2018-04-15
51,2018-04-14,Tour1,2,5,5,6,2018-04-15
52,2018-04-14,Tour2,2,10,5,6,2018-04-15
53,2018-04-14,Tour3,2,15,5,6,2018-04-15
54,2018-04-16,Tour1,2,5,5,1,2018-04-22
55,2018-04-16,Tour2,2,10,5,1,2018-04-22
56,2018-04-16,Tour3,4,15,5,1,2018-04-22
57,2018-04-17,Tour1,2,5,5,2,2018-04-22
58,2018-04-17,Tour2,2,10,5,2,2018-04-22
59,2018-04-17,Tour3,4,15,5,2,2018-04-22
60,2018-04-18,Tour1,2,5,5,3,2018-04-22
61,2018-04-18,Tour2,2,10,5,3,2018-04-22
62,2018-04-18,Tour3,2,15,5,3,2018-04-22
63,2018-04-19,Tour1,2,5,5,4,2018-04-22
64,2018-04-19,Tour2,2,10,5,4,2018-04-22
65,2018-04-19,Tour3,4,15,5,4,2018-04-22
66,2018-04-20,Tour1,2,5,5,5,2018-04-22
67,2018-04-20,Tour2,2,10,5,5,2018-04-22
68,2018-04-20,Tour3,3,15,5,5,2018-04-22
69,2018-04-21,Tour1,2,5,5,6,2018-04-22
70,2018-04-21,Tour2,2,10,5,6,2018-04-22
71,2018-04-21,Tour3,2,15,5,6,2018-04-22
72,2018-04-23,Tour1,2,5,5,1,2018-04-29
73,2018-04-23,Tour2,2,10,5,1,2018-04-29
74,2018-04-23,Tour3,4,15,5,1,2018-04-29
75,2018-04-24,Tour1,2,5,5,2,2018-04-29
76,2018-04-24,Tour2,2,10,5,2,2018-04-29
77,2018-04-24,Tour3,4,15,5,2,2018-04-29
78,2018-04-25,Tour1,2,5,5,3,2018-04-29
79,2018-04-25,Tour2,2,10,5,3,2018-04-29
80,2018-04-25,Tour3,3,15,5,3,2018-04-29
81,2018-04-26,Tour1,2,5,5,4,2018-04-29
82,2018-04-26,Tour2,2,10,5,4,2018-04-29
83,2018-04-26,Tour3,2,15,5,4,2018-04-29
84,2018-04-27,Tour1,2,5,5,5,2018-04-29
85,2018-04-27,Tour2,2,10,5,5,2018-04-29
86,2018-04-27,Tour3,3,15,5,5,2018-04-29
87,2018-04-28,Tour1,2,5,5,6,2018-04-29
88,2018-04-28,Tour2,2,10,5,6,2018-04-29
89,2018-04-28,Tour3,3,15,5,6,2018-04-29
90,2018-04-30,Tour1,2,5,5,1,2018-05-06
