Period,D1,D2,D3,D4,D5,D6,D7
0H-1H,--,--,--,--,--,--,--
1H-2H,--,--,--,--,--,--,--
2H-3H,--,--,--,--,--,--,--
3H-4H,--,--,--,--,--,--,--
4H-5H,service,service,service,service,service,service,--
5H-6H,service,service,service,service,service,service,--
6H-7H,service,service,service,service,service,service,--
7H-8H,service,service,service,service,service,service,--
8H-9H,service,service,service,service,service,service,--
9H-10H,service,service,service,service,service,service,--
10H-11H,service,service,service,service,service,service,--
11H-12H,service,service,service,service,service,service,--
12H-13H,service,service,service,service,service,service,--
13H-14H,service,service,service,service,service,service,--
14H-15H,service,service,service,service,service,service,--
15H-16H,service,service,service,service,service,service,--
16H-17H,service,service,service,service,service,service,--
17H-18H,service,service,service,service,service,service,--
18H-19H,service,service,service,service,service,service,--
19H-20H,service,service,service,service,service,service,--
20H-21H,service,service,service,service,service,service,--
21H-22H,service,service,service,service,service,service,--
22H-23H,service,service,service,service,service,service,--
23H-24H,service,service,service,service,service,service,--
