instance;Abar_real;Abar_sim;delta_Abar
w2018-04-08-m21;0.821095307939763;0.0;-0.821095307939763
w2018-04-15-m21;0.015295490311860838;0.0;-0.015295490311860838
w2018-05-06-m21;3.0558888752807434e-12;0.0;-3.0558888752807434e-12
w2018-06-17-m21;0.0;0.0;0.0
w2018-07-01-m21;0.0;0.0;0.0
w2018-07-08-m21;0.0;0.0;0.0
w2018-07-22-m21;0.0;0.0;0.0
w2018-07-29-m21;0.0;0.0;0.0
w2018-08-05-m21;0.0;0.0;0.0
w2018-08-12-m21;0.0;0.0;0.0
w2018-08-19-m21;0.0;0.0;0.0
w2018-09-02-m21;0.0;0.0;0.0
w2020-10-04-m21;0.9999999893639784;0.0;-0.9999999893639784
w2020-10-11-m21;0.5168535937785956;0.0;-0.5168535937785956
w2020-10-18-m21;0.42254885627949224;0.0;-0.42254885627949224
w2020-10-25-m21;0.9905383896002887;0.0;-0.9905383896002887
w2020-11-08-m21;0.0022040193136967368;0.0;-0.0022040193136967368
w2020-11-15-m21;7.37801500971802e-06;0.0;-7.37801500971802e-06
w2020-11-22-m21;0.909837178956725;0.0;-0.909837178956725
w2020-11-29-m21;0.0886950445635436;0.0;-0.0886950445635436
w2020-12-06-m21;0.9962600417867717;0.0;-0.9962600417867717
w2020-12-13-m21;0.9999946164209512;0.0;-0.9999946164209512
w2020-12-20-m21;0.9347772703892271;0.0;-0.9347772703892271
w2020-12-27-m21;0.043444974848839246;0.0;-0.043444974848839246
