problem_name,m-EDD,m-FIFO,p-EDD,p-FIFO,x-WFIFO
w2020-10-11-m4,0.0,0.0,0.0,0.0,0.0
w2020-10-18-m4,0.0,0.0,0.0,0.0,0.0
w2020-10-25-m4,0.0,0.0,0.0,0.0,0.0
w2020-11-01-m4,0.0,0.0,0.0,0.0,0.0
w2020-11-15-m4,0.0,0.0,0.0,0.0,0.0
w2020-11-22-m4,0.0,0.0,0.0,0.0,0.0
w2020-11-29-m4,0.0,0.0,0.0,0.0,0.0
w2020-12-06-m4,0.0,0.0,0.0,0.0,0.0
w2020-12-13-m4,0.0,0.0,0.0,0.0,0.0
w2020-12-20-m4,0.0,0.0,0.0,0.0,0.0
w2021-01-03-m4,0.0,0.0,0.0,0.0,0.0
w2021-01-17-m4,0.0,0.0,0.0,0.0,0.0
w2021-01-24-m4,0.0,0.0,0.0,0.0,0.0
w2021-01-31-m4,0.0,0.0,0.0,0.0,0.0
w2021-03-14-m4,0.0,0.0,0.0,0.0,0.0
w2021-03-21-m4,0.0,0.0,0.0,0.0,0.0
w2021-04-04-m4,0.0,0.0,0.0,0.0,0.0
w2021-04-25-m4,0.0,0.0,0.0,0.0,0.0
w2021-05-02-m4,0.0,0.0,0.0,0.0,0.0
w2021-05-09-m4,0.0,0.0,0.0,0.0,0.0
