problem_name;m-EDD;m-FIFO;p-EDD;p-FIFO;x-WFIFO
w2018-04-08-m4;1.0;1.0;0.908397;0.908397;1.0
w2018-04-15-m4;1.0;1.0;0.905109;0.905109;1.0
w2018-05-06-m4;1.0;1.0;0.924242;0.924242;1.0
w2018-06-17-m4;1.0;1.0;0.91791;0.91791;1.0
w2018-07-01-m4;1.0;1.0;1.0;1.0;1.0
w2018-07-08-m4;1.0;1.0;0.89781;0.89781;1.0
w2018-07-22-m4;1.0;1.0;0.897059;0.897059;1.0
w2018-07-29-m4;1.0;1.0;0.898551;0.898551;1.0
w2018-08-05-m4;1.0;1.0;0.891304;0.891304;1.0
w2018-08-12-m4;1.0;1.0;0.911111;0.911111;1.0
w2018-08-19-m4;1.0;1.0;0.904412;0.904412;1.0
w2018-09-02-m4;1.0;1.0;0.904412;0.904412;1.0
w2020-10-04-m4;1.0;1.0;0.922481;0.922481;1.0
w2020-10-11-m4;1.0;1.0;0.924138;0.924138;1.0
w2020-10-18-m4;1.0;1.0;0.930233;0.930233;1.0
w2020-10-25-m4;1.0;1.0;0.922481;0.922481;1.0
w2020-11-08-m4;1.0;1.0;0.916667;0.916667;1.0
w2020-11-15-m4;1.0;1.0;0.923664;0.923664;1.0
w2020-11-22-m4;1.0;1.0;0.909091;0.909091;1.0
w2020-11-29-m4;1.0;1.0;0.923077;0.923077;1.0
w2020-12-06-m4;1.0;1.0;0.897059;0.897059;1.0
w2020-12-13-m4;1.0;1.0;0.902256;0.902256;1.0
w2020-12-20-m4;1.0;1.0;0.9;0.9;1.0
w2020-12-27-m4;1.0;1.0;0.902985;0.902985;1.0
