instance;R_real;nR_real;R_sim;nR_sim;delta_R;delta_nR
w2018-04-08-m21;160;32;160.0;32.0;0.0;0.0
w2018-04-15-m21;195;39;195.0;39.0;0.0;0.0
w2018-05-06-m21;145;29;145.0;29.0;0.0;0.0
w2018-06-17-m21;210;42;210.0;42.0;0.0;0.0
w2018-07-01-m21;100;20;100.0;20.0;0.0;0.0
w2018-07-08-m21;180;36;180.0;36.0;0.0;0.0
w2018-07-22-m21;190;38;190.0;38.0;0.0;0.0
w2018-07-29-m21;210;42;210.0;42.0;0.0;0.0
w2018-08-05-m21;220;44;220.0;44.0;0.0;0.0
w2018-08-12-m21;205;41;205.0;41.0;0.0;0.0
w2018-08-19-m21;205;41;205.0;41.0;0.0;0.0
w2018-09-02-m21;200;40;175.0;35.0;-12.5;-12.5
w2020-10-04-m21;85;17;288.0;40.0;238.8235294117647;135.29411764705884
w2020-10-11-m21;85;17;180.0;28.0;111.76470588235294;64.70588235294117
w2020-10-18-m21;70;14;116.0;24.0;65.71428571428572;71.42857142857142
w2020-10-25-m21;50;10;100.0;19.0;100.0;89.99999999999999
w2020-11-08-m21;105;21;204.0;36.0;94.28571428571428;71.42857142857142
w2020-11-15-m21;90;18;90.0;18.0;0.0;0.0
w2020-11-22-m21;80;16;80.0;16.0;0.0;0.0
w2020-11-29-m21;80;16;80.0;16.0;0.0;0.0
w2020-12-06-m21;170;34;170.0;34.0;0.0;0.0
w2020-12-13-m21;170;34;251.0;47.0;47.64705882352942;38.23529411764706
w2020-12-20-m21;175;35;249.0;46.0;42.285714285714285;31.428571428571427
w2020-12-27-m21;160;32;279.0;50.0;74.37499999999999;56.25
